country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
ERC,Mark0Pollo,,90k active personnel,0 ships,Finest of the 19th century,1 factory,Poor,last online 2 hours ago,rankings.php?subregion=sea,,$696 million,,Indochina,Untapped,Small,http://blocgame.com/rankings.php?subregion=sea,35232 km 2,http://blocgame.com/stats.php?id=63621,167 Mbbl,,,Good,7 Hundred Tons per month,3 Mbbl per month
Khebab,Al Khebab,http://blocgame.com/alliancestats.php?allianceid=2058,41k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 7 hours ago,rankings.php?subregion=ara,Al-Qassam Brigades,$662 million,alliancestats.php?allianceid=2058,Arabia,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=ara,41798 km 2,http://blocgame.com/stats.php?id=63695,2727 Mbbl; 6 Mbbl,,,Normal,6 Hundred Tons per month,6 Mbbl per month
Barr,general hadi,http://blocgame.com/alliancestats.php?allianceid=2044,78k active personnel,0 ships,Finest of the 19th century,2 factories,Standard,last online 2 hours ago,rankings.php?subregion=pac,Aseang MMP,$551 million,alliancestats.php?allianceid=2044,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,30830 km 2,http://blocgame.com/stats.php?id=61816,201 Mbbl,,,Good,5 Hundred Tons per month,5 Mbbl per month
Uzbekistanstan,Shaikh Zayer,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,None,Standard,last online 5 hours ago,rankings.php?subregion=congo,The Order,$529 million,alliancestats.php?allianceid=2045,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,29942 km 2,http://blocgame.com/stats.php?id=47207,484 Mbbl,,,Normal,9 Hundred Tons per month,1 Mbbl per month
Darkstone,Trakel,http://blocgame.com/alliancestats.php?allianceid=2039,50k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 3 hours ago,rankings.php?subregion=ara,The High Council,$514 million,alliancestats.php?allianceid=2039,Arabia,Plentiful,Small,http://blocgame.com/rankings.php?subregion=ara,27330 km 2,http://blocgame.com/stats.php?id=57176,743 Mbbl; 4 Mbbl,,,Good,7 Hundred Tons per month,4 Mbbl per month
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=2052,39k active personnel,0 ships,First World War surplus,1 factory,Good,last online 6 hours ago,rankings.php?subregion=car,The Federal Colonies,$498 million,alliancestats.php?allianceid=2052,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,31293 km 2,http://blocgame.com/stats.php?id=43375,271 Mbbl,,,Good,20 Hundred Tons per month,1 Mbbl per month
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=2048,52k active personnel,0 ships,First World War surplus,1 factory,Good,online now,rankings.php?subregion=sea,Brotherhood of Zion,$498 million,alliancestats.php?allianceid=2048,Indochina,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=sea,31658 km 2,http://blocgame.com/stats.php?id=53068,100 Mbbl; 1 Mbbl,,,Good,10 Hundred Tons per month,1 Mbbl per month
Morovistan,Gustave Bergher,http://blocgame.com/alliancestats.php?allianceid=2049,18k active personnel,0 ships,First World War surplus,None,Good,last online 2 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$497 million,alliancestats.php?allianceid=2049,Mesopotamia,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=mes,23423 km 2,http://blocgame.com/stats.php?id=62905,3859 Mbbl; 5 Mbbl,,,Nice,5 Hundred Tons per month,5 Mbbl per month
FlySoGood,ycheez,http://blocgame.com/alliancestats.php?allianceid=2048,53k active personnel,0 ships,First World War surplus,None,Poor,last online 2 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$493 million,alliancestats.php?allianceid=2048,Atlas,Plentiful,Small,http://blocgame.com/rankings.php?subregion=atl,27728 km 2,http://blocgame.com/stats.php?id=54541,1680 Mbbl; 8 Mbbl,,,Good,8 Hundred Tons per month,8 Mbbl per month
Vilnus,Jurij Owsienko,http://blocgame.com/alliancestats.php?allianceid=2041,43k active personnel,0 ships,First World War surplus,None,Good,last online 4 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,$493 million,alliancestats.php?allianceid=2041,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,31299 km 2,http://blocgame.com/stats.php?id=61610,3023 Mbbl; 16 Mbbl,,,Good,11 Hundred Tons per month,16 Mbbl per month
Kachan,Chłodna Kaczka,http://blocgame.com/alliancestats.php?allianceid=2041,36k active personnel,0 ships,First World War surplus,None,Good,last online 5 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,$492 million,alliancestats.php?allianceid=2041,Atlas,Plentiful,Small,http://blocgame.com/rankings.php?subregion=atl,30994 km 2,http://blocgame.com/stats.php?id=62963,3509 Mbbl; 15 Mbbl,,,Good,7 Hundred Tons per month,15 Mbbl per month
German Empire,Frederick the Great,http://blocgame.com/alliancestats.php?allianceid=2064,44k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=egy,SPQR,$492 million,alliancestats.php?allianceid=2064,Egypt,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=egy,27600 km 2,http://blocgame.com/stats.php?id=63053,4533 Mbbl,,,Normal,5 Hundred Tons per month,5 Mbbl per month
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=2049,21k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,online now,rankings.php?subregion=pac,Brotherhood of Nod,$487 million,alliancestats.php?allianceid=2049,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,27854 km 2,http://blocgame.com/stats.php?id=41268,252 Mbbl; 2 Mbbl,,,Normal,5 Hundred Tons per month,2 Mbbl per month
Efren,Deling,http://blocgame.com/alliancestats.php?allianceid=2038,15k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 7 hours ago,rankings.php?subregion=mex,Che Guevara League,$487 million,alliancestats.php?allianceid=2038,Mesoamerica,Depleted,None,http://blocgame.com/rankings.php?subregion=mex,31655 km 2,http://blocgame.com/stats.php?id=62725,15 Mbbl,,,Isolated,5 Hundred Tons per month,4 Mbbl per month
Rararaland,Whiskertoes,http://blocgame.com/alliancestats.php?allianceid=2045,25k active personnel,0 ships,First World War surplus,None,Elite,last online 2 hours ago,rankings.php?subregion=ara,The Order,$482 million,alliancestats.php?allianceid=2045,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,27165 km 2,http://blocgame.com/stats.php?id=49272,4756 Mbbl; 1 Mbbl,,,Questionable,3 Hundred Tons per month,1 Mbbl per month
Pakyu,General Hamizan,http://blocgame.com/alliancestats.php?allianceid=2042,35k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 11 hours ago,rankings.php?subregion=pac,Interpol,$478 million,alliancestats.php?allianceid=2042,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,27330 km 2,http://blocgame.com/stats.php?id=61656,367 Mbbl,,,Good,6 Hundred Tons per month,5 Mbbl per month
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,37k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=sub,The Order,$471 million,alliancestats.php?allianceid=2045,The Subcontinent,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sub,27530 km 2,http://blocgame.com/stats.php?id=389,50 Mbbl; 1 Mbbl,,,Normal,11 Hundred Tons per month,1 Mbbl per month
Jangkong,Bendahara H,http://blocgame.com/alliancestats.php?allianceid=2045,10k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 11 hours ago,rankings.php?subregion=ind,The Order,$470 million,alliancestats.php?allianceid=2045,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,27656 km 2,http://blocgame.com/stats.php?id=62287,248 Mbbl; 5 Mbbl,,,Good,8 Hundred Tons per month,5 Mbbl per month
Markovia,RDM HC,http://blocgame.com/alliancestats.php?allianceid=2052,34k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=car,The Federal Colonies,$467 million,alliancestats.php?allianceid=2052,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,27165 km 2,http://blocgame.com/stats.php?id=58369,496 Mbbl; 3 Mbbl,,,Good,8 Hundred Tons per month,3 Mbbl per month
Wafflonia,Stellarwaffle,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,None,Elite,last online 1 hours ago,rankings.php?subregion=egy,SPQR,$466 million,alliancestats.php?allianceid=2064,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,27493 km 2,http://blocgame.com/stats.php?id=63064,3770 Mbbl; 6 Mbbl,,,Normal,8 Hundred Tons per month,6 Mbbl per month
Ferma,President Jacobo Vincenzo,http://blocgame.com/alliancestats.php?allianceid=2048,25k active personnel,0 ships,First World War surplus,None,Elite,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$465 million,alliancestats.php?allianceid=2048,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,27656 km 2,http://blocgame.com/stats.php?id=58784,178 Mbbl,,,Good,13 Hundred Tons per month,
RadYugoslavija,Cobraaahhh1,http://blocgame.com/alliancestats.php?allianceid=2039,40k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=pac,The High Council,$461 million,alliancestats.php?allianceid=2039,Pacific Rim,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=pac,27614 km 2,http://blocgame.com/stats.php?id=62615,164 Mbbl; 6 Mbbl,,,Normal,11 Hundred Tons per month,6 Mbbl per month
Reim,Azrael,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=pac,The High Council,$454 million,alliancestats.php?allianceid=2039,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,27656 km 2,http://blocgame.com/stats.php?id=41073,482 Mbbl; 3 Mbbl,,,Good,8 Hundred Tons per month,3 Mbbl per month
Gobi,Saint Gobi,http://blocgame.com/alliancestats.php?allianceid=2044,32k active personnel,0 ships,Finest of the 19th century,1 factory,Good,online now,rankings.php?subregion=congo,Aseang MMP,$452 million,alliancestats.php?allianceid=2044,Congo,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=congo,27330 km 2,http://blocgame.com/stats.php?id=61919,512 Mbbl,,,Good,7 Hundred Tons per month,2 Mbbl per month
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=2048,36k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 3 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$449 million,alliancestats.php?allianceid=2048,Mesopotamia,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=mes,27493 km 2,http://blocgame.com/stats.php?id=40270,2921 Mbbl; 2 Mbbl,,,Good,5 Hundred Tons per month,2 Mbbl per month
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=2045,30k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=mex,The Order,$447 million,alliancestats.php?allianceid=2045,Mesoamerica,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mex,27326 km 2,http://blocgame.com/stats.php?id=47349,174 Mbbl; 2 Mbbl,1 Tons,,Good,8 Hundred Tons per month,2 Mbbl per month
Lewd Place,Cute Girl,http://blocgame.com/alliancestats.php?allianceid=2041,37k active personnel,0 ships,First World War surplus,None,Elite,last online 14 hours ago,rankings.php?subregion=car,Lithuanian Coalition,$447 million,alliancestats.php?allianceid=2041,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,27855 km 2,http://blocgame.com/stats.php?id=61620,969 Mbbl,,,Normal,8 Hundred Tons per month,3 Mbbl per month
Kangkong,MaslanJibby,http://blocgame.com/alliancestats.php?allianceid=2049,15k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 11 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$446 million,alliancestats.php?allianceid=2049,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,26915 km 2,http://blocgame.com/stats.php?id=62468,247 Mbbl,,,Good,7 Hundred Tons per month,4 Mbbl per month
Kuto,AKMB,http://blocgame.com/alliancestats.php?allianceid=2052,38k active personnel,0 ships,First World War surplus,1 factory,Good,last online 4 hours ago,rankings.php?subregion=per,The Federal Colonies,$444 million,alliancestats.php?allianceid=2052,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,27165 km 2,http://blocgame.com/stats.php?id=40095,4693 Mbbl; 4 Mbbl,,,Good,9 Hundred Tons per month,4 Mbbl per month
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=2058,43k active personnel,0 ships,First World War surplus,1 factory,Good,online now,rankings.php?subregion=egy,Al-Qassam Brigades,$444 million,alliancestats.php?allianceid=2058,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,27566 km 2,http://blocgame.com/stats.php?id=52836,4905 Mbbl; 3 Mbbl,,,Normal,5 Hundred Tons per month,3 Mbbl per month
Arina,Hakir,http://blocgame.com/alliancestats.php?allianceid=2042,29k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=ama,Interpol,$444 million,alliancestats.php?allianceid=2042,Amazonia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ama,27330 km 2,http://blocgame.com/stats.php?id=54480,206 Mbbl; 1 Mbbl,,,Good,4 Hundred Tons per month,1 Mbbl per month
Sovngarde,Farron47,http://blocgame.com/alliancestats.php?allianceid=2044,27k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 7 hours ago,rankings.php?subregion=ind,Aseang MMP,$443 million,alliancestats.php?allianceid=2044,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,27493 km 2,http://blocgame.com/stats.php?id=62626,198 Mbbl; 2 Mbbl,,,Good,3 Hundred Tons per month,2 Mbbl per month
Kukulala,Unkel,http://blocgame.com/alliancestats.php?allianceid=2039,18k active personnel,0 ships,First World War surplus,1 factory,Good,last online 5 hours ago,rankings.php?subregion=sea,The High Council,$442 million,alliancestats.php?allianceid=2039,Indochina,Untapped,Small,http://blocgame.com/rankings.php?subregion=sea,27728 km 2,http://blocgame.com/stats.php?id=60796,429 Mbbl,,,Normal,8 Hundred Tons per month,3 Mbbl per month
Tamarlania,Vagrant,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,1 ships,First World War surplus,3 factories,Elite,last online 4 hours ago,rankings.php?subregion=mes,The High Council,$442 million,alliancestats.php?allianceid=2039,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,27365 km 2,http://blocgame.com/stats.php?id=61626,4456 Mbbl,,,Questionable,2 Hundred Tons per month,18 Mbbl per month
Ballzinga,Carejo,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,Finest of the 19th century,None,Good,last online 9 hours ago,rankings.php?subregion=gui,The Order,$441 million,alliancestats.php?allianceid=2045,Guinea,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=gui,26998 km 2,http://blocgame.com/stats.php?id=63397,361 Mbbl; 1 Mbbl,,,Good,3 Hundred Tons per month,1 Mbbl per month
Hatmistan,Pertti II,http://blocgame.com/alliancestats.php?allianceid=2058,29k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 9 hours ago,rankings.php?subregion=atl,Al-Qassam Brigades,$440 million,alliancestats.php?allianceid=2058,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,27330 km 2,http://blocgame.com/stats.php?id=46162,2138 Mbbl; 3 Mbbl,,,Normal,4 Hundred Tons per month,3 Mbbl per month
Jemut,iwaniman/Ferozz,http://blocgame.com/alliancestats.php?allianceid=2044,32k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=ind,Aseang MMP,$440 million,alliancestats.php?allianceid=2044,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,26815 km 2,http://blocgame.com/stats.php?id=61811,426 Mbbl; 6 Mbbl,,,Good,8 Hundred Tons per month,6 Mbbl per month
