country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Kachan,Chłodna Kaczka,http://blocgame.com/alliancestats.php?allianceid=2041,30k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 11 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,2 Hundred Tons per month,15 Mbbl per month,$429 million,alliancestats.php?allianceid=2041,2788 Mbbl; 15 Mbbl,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,27166 km 2,http://blocgame.com/stats.php?id=62963,
Vilnus,Jurij Owsienko,http://blocgame.com/alliancestats.php?allianceid=2041,39k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 8 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,10 Hundred Tons per month,10 Mbbl per month,$428 million,alliancestats.php?allianceid=2041,3062 Mbbl; 10 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,27466 km 2,http://blocgame.com/stats.php?id=61610,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=2052,35k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,rankings.php?subregion=car,The Federal Colonies,5 Hundred Tons per month,1 Mbbl per month,$425 million,alliancestats.php?allianceid=2052,274 Mbbl; 1 Mbbl,Caribbean,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=car,27365 km 2,http://blocgame.com/stats.php?id=43375,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=2048,33k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 8 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,8 Hundred Tons per month,1 Mbbl per month,$423 million,alliancestats.php?allianceid=2048,103 Mbbl; 1 Mbbl,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,27167 km 2,http://blocgame.com/stats.php?id=53068,
Gubbins :3,Gubbins,http://blocgame.com/alliancestats.php?allianceid=2045,39k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 12 hours ago,rankings.php?subregion=eaf,The Order,23 Hundred Tons per month,1 Mbbl per month,$416 million,alliancestats.php?allianceid=2045,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,26666 km 2,http://blocgame.com/stats.php?id=46500,
Efren,Deling,http://blocgame.com/alliancestats.php?allianceid=2038,34k active personnel,0 ships,Finest of the 19th century,Axis of Evil,1 factory,Elite,online now,rankings.php?subregion=mex,Che Guevara League,5 Hundred Tons per month,3 Mbbl per month,$410 million,alliancestats.php?allianceid=2038,24 Mbbl; 3 Mbbl,Mesoamerica,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mex,27330 km 2,http://blocgame.com/stats.php?id=62725,
FlySoGood,ycheez,http://blocgame.com/alliancestats.php?allianceid=2048,43k active personnel,0 ships,First World War surplus,Normal,None,Poor,last online 2 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,8 Hundred Tons per month,5 Mbbl per month,$408 million,alliancestats.php?allianceid=2048,1695 Mbbl; 5 Mbbl,Atlas,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=atl,24063 km 2,http://blocgame.com/stats.php?id=54541,
Rararaland,Whiskertoes,http://blocgame.com/alliancestats.php?allianceid=2045,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 13 hours ago,rankings.php?subregion=ara,The Order,3 Hundred Tons per month,1 Mbbl per month,$398 million,alliancestats.php?allianceid=2045,1 Mbbl,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,23500 km 2,http://blocgame.com/stats.php?id=49272,
Inferia,Alexkovisk,,15k active personnel,0 ships,Finest of the 19th century,Good,None,Elite,last online 2 hours ago,rankings.php?subregion=mex,,4 Hundred Tons per month,1 Mbbl per month,$394 million,,328 Mbbl; 1 Mbbl,Mesoamerica,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mex,23665 km 2,http://blocgame.com/stats.php?id=60789,
Barr,general hadi,,36k active personnel,0 ships,First World War surplus,Good,1 factory,Good,online now,rankings.php?subregion=pac,,5 Hundred Tons per month,5 Mbbl per month,$394 million,,216 Mbbl,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,23865 km 2,http://blocgame.com/stats.php?id=61816,
