country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Khebab,Al Khebab,http://blocgame.com/alliancestats.php?allianceid=2058,15k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 53 hours ago,rankings.php?subregion=ara,Al-Qassam Brigades,6 Hundred Tons per month,6 Mbbl per month,$686 million,alliancestats.php?allianceid=2058,2703 Mbbl; 6 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,40968 km 2,http://blocgame.com/stats.php?id=63695,
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,49k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=sub,The Order,12 Hundred Tons per month,1 Mbbl per month,$667 million,alliancestats.php?allianceid=2045,226 Mbbl; 1 Mbbl,The Subcontinent,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sub,34332 km 2,http://blocgame.com/stats.php?id=389,
al-Bahrayn,dbdb,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=mes,The Order,6 Hundred Tons per month,6 Mbbl per month,$602 million,alliancestats.php?allianceid=2045,1020 Mbbl; 6 Mbbl,Mesopotamia,Untapped,Small,http://blocgame.com/rankings.php?subregion=mes,30107 km 2,http://blocgame.com/stats.php?id=59775,
Morovistan,Gustave Bergher,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,First World War surplus,Angelic,None,Standard,last online 1 hours ago,rankings.php?subregion=mes,The High Council,9 Hundred Tons per month,6 Mbbl per month,$602 million,alliancestats.php?allianceid=2039,3836 Mbbl; 6 Mbbl,Mesopotamia,,Meagre,http://blocgame.com/rankings.php?subregion=mes,23591 km 2,http://blocgame.com/stats.php?id=62905,
Kukulala,Unkel,http://blocgame.com/alliancestats.php?allianceid=2039,20k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=sea,The High Council,8 Hundred Tons per month,4 Mbbl per month,$594 million,alliancestats.php?allianceid=2039,481 Mbbl,Indochina,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sea,33563 km 2,http://blocgame.com/stats.php?id=60796,1 Tons
FlySoGood,ycheez,http://blocgame.com/alliancestats.php?allianceid=2048,47k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,9 Hundred Tons per month,9 Mbbl per month,$575 million,alliancestats.php?allianceid=2048,2055 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,31239 km 2,http://blocgame.com/stats.php?id=54541,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=2048,29k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,7 Hundred Tons per month,8 Mbbl per month,$565 million,alliancestats.php?allianceid=2048,1602 Mbbl; 8 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,33209 km 2,http://blocgame.com/stats.php?id=49295,
Tamarlania,Vagrant,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,1 ships,First World War surplus,Good,3 factories,Elite,online now,rankings.php?subregion=mes,The High Council,3 Hundred Tons per month,28 Mbbl per month,$561 million,alliancestats.php?allianceid=2039,5169 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30665 km 2,http://blocgame.com/stats.php?id=61626,
Memiaya,MrRoth,http://blocgame.com/alliancestats.php?allianceid=2038,38k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 1 hours ago,rankings.php?subregion=car,Che Guevara League,13 Hundred Tons per month,2 Mbbl per month,$560 million,alliancestats.php?allianceid=2038,429 Mbbl; 2 Mbbl,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,35712 km 2,http://blocgame.com/stats.php?id=62980,
German Empire,Frederick the Great,http://blocgame.com/alliancestats.php?allianceid=2064,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=egy,SPQR,9 Hundred Tons per month,5 Mbbl per month,$557 million,alliancestats.php?allianceid=2064,4513 Mbbl,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,27600 km 2,http://blocgame.com/stats.php?id=63053,
