country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Tamarlania,Vagrant,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,1 ships,First World War surplus,Good,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,The High Council,3 Hundred Tons per month,33 Mbbl per month,$746 million,alliancestats.php?allianceid=2039,5080 Mbbl,Mesopotamia,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,33442 km 2,http://blocgame.com/stats.php?id=61626,
Darkstone,Trakel,http://blocgame.com/alliancestats.php?allianceid=2039,61k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Elite,online now,rankings.php?subregion=ara,The High Council,12 Hundred Tons per month,11 Mbbl per month,$679 million,alliancestats.php?allianceid=2039,5281 Mbbl; 11 Mbbl,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,35666 km 2,http://blocgame.com/stats.php?id=57176,
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,49k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=sub,The Order,13 Hundred Tons per month,2 Mbbl per month,$673 million,alliancestats.php?allianceid=2045,222 Mbbl; 2 Mbbl,The Subcontinent,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sub,34332 km 2,http://blocgame.com/stats.php?id=389,
Morovistan,Gustave Bergher,http://blocgame.com/alliancestats.php?allianceid=2039,39k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 2 hours ago,rankings.php?subregion=mes,The High Council,10 Hundred Tons per month,9 Mbbl per month,$671 million,alliancestats.php?allianceid=2039,3814 Mbbl; 9 Mbbl,Mesopotamia,,Meagre,http://blocgame.com/rankings.php?subregion=mes,23985 km 2,http://blocgame.com/stats.php?id=62905,
South Uganda,Dr. Idi Amin,http://blocgame.com/alliancestats.php?allianceid=2048,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,19 Hundred Tons per month,3 Mbbl per month,$657 million,alliancestats.php?allianceid=2048,461 Mbbl; 3 Mbbl,Southern Africa,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=saf,34970 km 2,http://blocgame.com/stats.php?id=63128,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=2048,34k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,9 Hundred Tons per month,8 Mbbl per month,$650 million,alliancestats.php?allianceid=2048,2017 Mbbl; 8 Mbbl,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,36125 km 2,http://blocgame.com/stats.php?id=49295,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=2048,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,10 Hundred Tons per month,2 Mbbl per month,$646 million,alliancestats.php?allianceid=2048,121 Mbbl; 2 Mbbl,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,37258 km 2,http://blocgame.com/stats.php?id=53068,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=2049,20k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Elite,online now,rankings.php?subregion=pac,Brotherhood of Nod,6 Hundred Tons per month,3 Mbbl per month,$639 million,alliancestats.php?allianceid=2049,312 Mbbl; 3 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,31241 km 2,http://blocgame.com/stats.php?id=41268,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=2042,57k active personnel,1 ships,First World War surplus,Angelic,2 factories,Elite,online now,rankings.php?subregion=pac,Interpol,23 Hundred Tons per month,,$638 million,alliancestats.php?allianceid=2042,61 Mbbl,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,32861 km 2,http://blocgame.com/stats.php?id=54376,
al-Bahrayn,dbdb,http://blocgame.com/alliancestats.php?allianceid=2045,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,rankings.php?subregion=mes,The Order,6 Hundred Tons per month,6 Mbbl per month,$638 million,alliancestats.php?allianceid=2045,1002 Mbbl; 6 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,30107 km 2,http://blocgame.com/stats.php?id=59775,
