country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Ansari,Abad,The Khilafah,37k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,9 Hundred Tons per month,1 Mbbl per month,Free Market,$407 million,54 Mbbl,Untapped,Small,Congo,United States,26494 km 2,http://www.blocgame.com/stats.php?id=50625
Agonda,Agonda,The Federal Colonies,49k active personnel,0 ships,First World War surplus,Isolated,2 factories,Good,online now,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$433 million,138 Mbbl; 2 Mbbl,Untapped,Meagre,China,Soviet Union,26360 km 2,http://www.blocgame.com/stats.php?id=51268
Zerram,Bilgorin,The Order,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,9 Hundred Tons per month,1 Mbbl per month,Central Planning,$369 million,401 Mbbl; 1 Mbbl,Untapped,None,Guinea,Soviet Union,24273 km 2,http://www.blocgame.com/stats.php?id=65344
Bombay,Bombay,Interpol,37k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$411 million,3042 Mbbl; 4 Mbbl,Untapped,Meagre,Arabia,Soviet Union,25550 km 2,http://www.blocgame.com/stats.php?id=51989
Bombay,Bombay,Interpol,37k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$411 million,3042 Mbbl; 4 Mbbl,Untapped,Meagre,Arabia,Soviet Union,25550 km 2,http://www.blocgame.com/stats.php?id=51989
Grettistan,Grett,Brotherhood of Nod,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,12 Hundred Tons per month,,Central Planning,$402 million,,Untapped,Meagre,Southern Africa,Soviet Union,23605 km 2,http://www.blocgame.com/stats.php?id=51214
Wussan,Handri,SPQR,41k active personnel,0 ships,Finest of the 19th century,Questionable,1 factory,Elite,online now,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$441 million,1022 Mbbl; 3 Mbbl,Untapped,None,Persia,Soviet Union,26868 km 2,http://www.blocgame.com/stats.php?id=50197
Magahion,Hira,Socialist Arab Union,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,9 Hundred Tons per month,1 Mbbl per month,Central Planning,$354 million,56 Mbbl; 1 Mbbl,Untapped,None,East Africa,Soviet Union,23234 km 2,http://www.blocgame.com/stats.php?id=65308
Channary,Kardal,The Order,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,12 Hundred Tons per month,1 Mbbl per month,Free Market,$425 million,17 Mbbl; 1 Mbbl,Untapped,Meagre,Caribbean,United States,24554 km 2,http://www.blocgame.com/stats.php?id=50479
Opandos,KllK,The Order,45k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,online now,8 Hundred Tons per month,1 Mbbl per month,Central Planning,$358 million,163 Mbbl; 1 Mbbl,Untapped,None,Indochina,Soviet Union,23224 km 2,http://www.blocgame.com/stats.php?id=50208
Verbona,Omar,Interpol,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$338 million,664 Mbbl; 1 Mbbl,Untapped,Meagre,Egypt,Soviet Union,23447 km 2,http://www.blocgame.com/stats.php?id=65345
Bowen,Rice,PIRATES,49k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,10 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$418 million,3896 Mbbl; 5 Mbbl,Untapped,None,Mesopotamia,Neutral,25476 km 2,http://www.blocgame.com/stats.php?id=50453
Rupina,Rupina,The Federal Colonies,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,9 Hundred Tons per month,,Mixed Economy,$403 million,,Untapped,None,Gran Colombia,United States,25910 km 2,http://www.blocgame.com/stats.php?id=50287
Tiad,Sizzle,Brotherhood of Nod,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Good,online now,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$428 million,2623 Mbbl; 3 Mbbl,Untapped,None,Atlas,Soviet Union,26368 km 2,http://www.blocgame.com/stats.php?id=50332
Xelegor,Steph,The Order,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,10 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$343 million,68 Mbbl; 1 Mbbl,Untapped,Meagre,Amazonia,United States,23933 km 2,http://www.blocgame.com/stats.php?id=65347
Pegrram,Unhold,The Order,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,2 Hundred Tons per month,,Central Planning,$395 million,191 Mbbl,Plentiful,None,Guinea,Soviet Union,20296 km 2,http://www.blocgame.com/stats.php?id=65383
Jibid,Varramor,The Order,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$371 million,228 Mbbl; 1 Mbbl,Plentiful,None,Indochina,Soviet Union,23941 km 2,http://www.blocgame.com/stats.php?id=65373
grapondiu,yamado,,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,online now,5 Hundred Tons per month,,Central Planning,$355 million,510 Mbbl,Plentiful,None,West Africa,Soviet Union,22572 km 2,http://www.blocgame.com/stats.php?id=65382
Igguana,Yerram,The Order,49k active personnel,0 ships,First World War surplus,Isolated,1 factory,Standard,online now,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$396 million,60 Mbbl,,Meagre,Pacific Rim,Soviet Union,23665 km 2,http://www.blocgame.com/stats.php?id=65310
