country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Ansari,Abad,The Khilafah,47k active personnel,0 ships,First World War surplus,Normal,2 factories,Good,last online 9 hours ago,9 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$381 million,52 Mbbl,Untapped,Small,Congo,United States,26494 km 2,http://www.blocgame.com/stats.php?id=50625
Agonda,Agonda,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Questionable,2 factories,Standard,last online 9 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$413 million,133 Mbbl; 3 Mbbl,Untapped,Meagre,China,Soviet Union,26360 km 2,http://www.blocgame.com/stats.php?id=51268
Zerram,Bilgorin,The Order,45k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 9 hours ago,9 Hundred Tons per month,1 Mbbl per month,Central Planning,$343 million,399 Mbbl; 1 Mbbl,Untapped,None,Guinea,Soviet Union,24873 km 2,http://www.blocgame.com/stats.php?id=65344
Bombay,Bombay,Interpol,47k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 9 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$387 million,3034 Mbbl; 4 Mbbl,Untapped,Meagre,Arabia,Soviet Union,25550 km 2,http://www.blocgame.com/stats.php?id=51989
Grettistan,Grett,Brotherhood of Nod,39k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Elite,last online 11 hours ago,12 Hundred Tons per month,,Central Planning,$441 million,,Untapped,Meagre,Southern Africa,Soviet Union,27538 km 2,http://www.blocgame.com/stats.php?id=51214
Wussan,Handri,SPQR,41k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Good,last online 11 hours ago,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$422 million,1016 Mbbl; 3 Mbbl,Untapped,None,Persia,Soviet Union,26868 km 2,http://www.blocgame.com/stats.php?id=50197
Magahion,Hira,Socialist Arab Union,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 11 hours ago,9 Hundred Tons per month,1 Mbbl per month,Central Planning,$389 million,54 Mbbl; 1 Mbbl,Untapped,None,East Africa,Soviet Union,26567 km 2,http://www.blocgame.com/stats.php?id=65308
Channary,Kardal,The Order,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 11 hours ago,12 Hundred Tons per month,1 Mbbl per month,Free Market,$471 million,15 Mbbl; 1 Mbbl,Untapped,Meagre,Caribbean,United States,28187 km 2,http://www.blocgame.com/stats.php?id=50479
Opandos,KllK,The Order,55k active personnel,0 ships,First World War surplus,Normal,2 factories,Standard,last online 8 hours ago,9 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$396 million,160 Mbbl; 2 Mbbl,Untapped,None,Indochina,Soviet Union,29257 km 2,http://www.blocgame.com/stats.php?id=50208
Verbona,Omar,Interpol,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 9 hours ago,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$329 million,2562 Mbbl; 2 Mbbl,Untapped,Meagre,Egypt,Soviet Union,23447 km 2,http://www.blocgame.com/stats.php?id=65345
Bowen,Rice,PIRATES,49k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 8 hours ago,10 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$384 million,3886 Mbbl; 5 Mbbl,Untapped,None,Mesopotamia,Neutral,25476 km 2,http://www.blocgame.com/stats.php?id=50453
Rupina,Rupina,The Federal Colonies,39k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 10 hours ago,9 Hundred Tons per month,,Mixed Economy,$446 million,,Untapped,None,Gran Colombia,United States,28376 km 2,http://www.blocgame.com/stats.php?id=50287
Tiad,Sizzle,Brotherhood of Nod,39k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 9 hours ago,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$483 million,2617 Mbbl; 3 Mbbl,Untapped,None,Atlas,Soviet Union,31267 km 2,http://www.blocgame.com/stats.php?id=50332
Xelegor,Steph,The Order,39k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 12 hours ago,10 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$326 million,66 Mbbl; 1 Mbbl,Untapped,Meagre,Amazonia,United States,24233 km 2,http://www.blocgame.com/stats.php?id=65347
Pegrram,Unhold,The Order,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 12 hours ago,5 Hundred Tons per month,,Central Planning,$390 million,191 Mbbl,Untapped,None,Guinea,Soviet Union,20296 km 2,http://www.blocgame.com/stats.php?id=65383
Jibid,Varramor,The Order,37k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 12 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$366 million,226 Mbbl; 1 Mbbl,Untapped,None,Indochina,Soviet Union,23941 km 2,http://www.blocgame.com/stats.php?id=65373
grapondiu,yamado,The Order,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 9 hours ago,5 Hundred Tons per month,,Central Planning,$335 million,510 Mbbl,Untapped,None,West Africa,Soviet Union,22572 km 2,http://www.blocgame.com/stats.php?id=65382
Igguana,Yerram,The Order,59k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 9 hours ago,11 Hundred Tons per month,2 Mbbl per month,Central Planning,$379 million,56 Mbbl,,Meagre,Pacific Rim,Soviet Union,23665 km 2,http://www.blocgame.com/stats.php?id=65310
Menodux,Suferio,The Khilafah,38k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 8 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$360 million,5402 Mbbl; 2 Mbbl,Untapped,None,Egypt,Soviet Union,22933 km 2,http://www.blocgame.com/stats.php?id=65396
Origanium,Kallima,,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 8 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$360 million,435 Mbbl; 1 Mbbl,Untapped,None,The Subcontinent,Soviet Union,21890 km 2,http://www.blocgame.com/stats.php?id=65399
Costapilia,Iridom,,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,last online 8 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$365 million,2013 Mbbl; 3 Mbbl,Untapped,None,Arabia,Soviet Union,20755 km 2,http://www.blocgame.com/stats.php?id=65400
