country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Tamarlania,Vagrant,The High Council,269k active personnel,1 ships,5%,First World War surplus,Nice,5 factories,Standard,last online 2 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1831 million,4380 Mbbl; 61 Mbbl,Near Depletion,Powerful,Mesopotamia,United States,39945 km 2,http://blocgame.com/stats.php?id=61626,
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,,First World War surplus,Nice,2 factories,Elite,last online 2 hours ago,23 Hundred Tons per month,20 Mbbl per month,Central Planning,$1768 million,661 Mbbl; 20 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Elite,online now,25 Hundred Tons per month,2 Mbbl per month,Central Planning,$1616 million,382 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The High Council,50k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 17 hours ago,21 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1576 million,189 Mbbl,Plentiful,Mediocre,Indochina,United States,22726 km 2,http://blocgame.com/stats.php?id=63105,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1549 million,3557 Mbbl; 13 Mbbl,Plentiful,Mediocre,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,24 Hundred Tons per month,8 Mbbl per month,Central Planning,$1543 million,6732 Mbbl,,Meagre,Mesopotamia,Soviet Union,15370 km 2,http://blocgame.com/stats.php?id=1421,1 Tons
Jebawka,Shetay,The Order,78k active personnel,0 ships,,Second World War surplus,Angelic,2 factories,Standard,last online 4 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1455 million,2739 Mbbl,Untapped,Small,Arabia,United States,27114 km 2,http://blocgame.com/stats.php?id=54304,
Ekodebota,tfwqtp2tlgf|;3,The High Council,58k active personnel,0 ships,,Second World War surplus,Nice,1 factory,Poor,last online 2 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$1399 million,2720 Mbbl; 12 Mbbl,Untapped,Powerful,Atlas,Soviet Union,30805 km 2,http://blocgame.com/stats.php?id=53422,
temasik,lawrence,,6k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 9 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$1385 million,2 Mbbl,Untapped,Mediocre,East Indies,United States,15693 km 2,http://blocgame.com/stats.php?id=62827,
Femtonesia,1101,Comintern,59k active personnel,0 ships,,First World War surplus,Good,1 factory,Standard,last online 2 hours ago,35 Hundred Tons per month,5 Mbbl per month,Central Planning,$1350 million,175 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,37683 km 2,http://blocgame.com/stats.php?id=63083,
Feffiopia,Serloks,Divine League,61k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1316 million,185 Mbbl,,Mediocre,The Subcontinent,Soviet Union,23099 km 2,http://blocgame.com/stats.php?id=46505,
Asians,bigyihsuan,The High Council,54k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 8 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1315 million,354 Mbbl; 2 Mbbl,Plentiful,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,
constania,Comrade,Divine League,37k active personnel,0 ships,,Second World War surplus,Nice,1 factory,Elite,online now,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$1313 million,183 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1312 million,4391 Mbbl,Untapped,Large,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,,Second World War surplus,Normal,1 factory,Good,last online 4 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1310 million,3654 Mbbl; 10 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,
Cyleia,Silas Adar,The Order,81k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$1309 million,528 Mbbl; 6 Mbbl,,Large,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784,
