country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,100k active personnel,7 ships,Second World War surplus,Axis of Evil,7 factories,Good,last online 7 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$5393 million,18 Mbbl; 21 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,73174 km 2,http://blocgame.com/stats.php?id=63909,,
Sovngarde,Farron47,The Order,9k active personnel,13 ships,Korean War surplus,Gandhi-like,5 factories,Good,online now,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$5178 million,481 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,50708 km 2,http://blocgame.com/stats.php?id=62626,,
Tuonela,Beelzebub,The Order,113k active personnel,7 ships,Korean War surplus,Good,6 factories,Elite,online now,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$5155 million,318 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,49257 km 2,http://blocgame.com/stats.php?id=389,,
TheDarkSide,LordVader,Misanthropics,4k active personnel,11 ships,Vietnam War surplus,Normal,3 factories,Undisciplined Rabble,last online 2 hours ago,24 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$4824 million,710 Mbbl; 4 Mbbl,Untapped,Very Powerful,East Indies,Neutral,62466 km 2,http://blocgame.com/stats.php?id=63139,,
Markovia,RDM HC,The Federal Colonies,129k active personnel,11 ships,Korean War surplus,Angelic,4 factories,Elite,last online 2 hours ago,37 Hundred Tons per month,17 Mbbl per month,Free Market,$4787 million,217 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,44019 km 2,http://blocgame.com/stats.php?id=58369,,
USSR,CommissarBrian,The Order,48k active personnel,0 ships,Korean War surplus,Gandhi-like,8 factories,Good,last online 64 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$4685 million,152 Mbbl; 9 Mbbl,Untapped,Large,China,Soviet Union,47876 km 2,http://blocgame.com/stats.php?id=54182,,
Morovistan,Gustave Bergher,SPQR,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 158 hours ago,23 Hundred Tons per month,19 Mbbl per month,Central Planning,$4579 million,4982 Mbbl; 19 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
LOCAI,Agumentic,Brotherhood of Nod,79k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,12 Hundred Tons per month,7 Mbbl per month,Free Market,$4518 million,130 Mbbl; 7 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Jemut,iwaniman/Ferozz,PIRATES,140k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 7 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$4421 million,252 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,45619 km 2,http://blocgame.com/stats.php?id=61811,,
Lorigan,Lorigan,Steel Brotherhood,113k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4408 million,263 Mbbl; 8 Mbbl,Plentiful,Large,Amazonia,Soviet Union,44071 km 2,http://blocgame.com/stats.php?id=59787,,
Conferan,Cryptox,The Order,159k active personnel,5 ships,Korean War surplus,Angelic,4 factories,Elite,last online 1 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$4237 million,230 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,61230 km 2,http://blocgame.com/stats.php?id=56710,,
Uzbekistanstan,Shaikh Zayer,The Order,119k active personnel,3 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 19 hours ago,57 Hundred Tons per month,5 Mbbl per month,Free Market,$4166 million,210 Mbbl,Untapped,Very Powerful,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Coccoladia,Ernesto Caprone,The Federal Colonies,51k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 7 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$4106 million,4 Mbbl; 2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Reim,Azrael,SPQR,88k active personnel,10 ships,Korean War surplus,Gandhi-like,3 factories,Good,online now,28 Hundred Tons per month,11 Mbbl per month,Central Planning,$4103 million,104 Mbbl; 11 Mbbl,Plentiful,Very Powerful,Pacific Rim,Soviet Union,61628 km 2,http://blocgame.com/stats.php?id=41073,,
Niggerito,Jejomar Binay,SPQR,130k active personnel,5 ships,Second World War surplus,Angelic,5 factories,Good,online now,38 Hundred Tons per month,5 Mbbl per month,Free Market,$4059 million,174 Mbbl,Untapped,Very Powerful,East Indies,United States,53168 km 2,http://blocgame.com/stats.php?id=63087,,
Rome Reloaded,Tiberius Ceaser,SPQR,54k active personnel,6 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$4023 million,4546 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
