country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,55k active personnel,0 ships,First World War surplus,Gandhi-like,4 factories,Good,online now,25 Hundred Tons per month,21 Mbbl per month,Central Planning,$1971 million,636 Mbbl; 21 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,54k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$1814 million,372 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Good,2 factories,Standard,online now,40 Hundred Tons per month,5 Mbbl per month,Central Planning,$1778 million,150 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,39320 km 2,http://blocgame.com/stats.php?id=63083,,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$1749 million,3492 Mbbl; 13 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Jebawka,Shetay,The Order,86k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 11 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1736 million,3201 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
Rome Reloaded,Tiberius Ceaser,SPQR,68k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,8 Mbbl per month,Central Planning,$1682 million,6692 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,1 Tons,
Tamarlania,Vagrant,The High Council,219k active personnel,1 ships,First World War surplus,Angelic,5 factories,Standard,last online 5 hours ago,35 Hundred Tons per month,61 Mbbl per month,Free Market,$1680 million,4075 Mbbl; 61 Mbbl,Untapped,Powerful,Mesopotamia,United States,40141 km 2,http://blocgame.com/stats.php?id=61626,,5%
Kyranistan,Michael Hussain,Comintern,38k active personnel,0 ships,First World War surplus,Normal,1 factory,Elite,online now,9 Hundred Tons per month,8 Mbbl per month,Central Planning,$1546 million,5977 Mbbl; 8 Mbbl,Near Depletion,Large,Persia,Soviet Union,24069 km 2,http://blocgame.com/stats.php?id=61263,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 12 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1536 million,4356 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
constania,Comrade,Divine League,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,online now,15 Hundred Tons per month,6 Mbbl per month,Central Planning,$1512 million,153 Mbbl; 6 Mbbl,Untapped,Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
temasik,lawrence,SPQR,37k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$1490 million,549 Mbbl; 2 Mbbl,Near Depletion,Mediocre,East Indies,United States,15730 km 2,http://blocgame.com/stats.php?id=62827,,
Asians,bigyihsuan,The High Council,54k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 63 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1470 million,344 Mbbl; 2 Mbbl,Untapped,Meagre,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551,,
Biji Kurdistan,Myron2point0,Comintern,59k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Good,last online 8 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1460 million,3604 Mbbl; 10 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,25072 km 2,http://blocgame.com/stats.php?id=52906,1 Tons,
North Nubia,Sean Tony,N.S.D.A.P,119k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,28 Hundred Tons per month,10 Mbbl per month,Central Planning,$1460 million,148 Mbbl; 10 Mbbl,Untapped,Small,Congo,Soviet Union,24899 km 2,http://blocgame.com/stats.php?id=63084,,
Uzbekistanstan,Shaikh Zayer,The Order,59k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,38 Hundred Tons per month,4 Mbbl per month,Free Market,$1457 million,478 Mbbl,Untapped,Mediocre,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,,
VinnyNation,VinnyRuler,Interpol,47k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Good,last online 29 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1456 million,303 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Sintra,Daniel Lima,The Order,77k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,13 Hundred Tons per month,7 Mbbl per month,Central Planning,$1433 million,347 Mbbl; 7 Mbbl,Near Depletion,Mediocre,Caribbean,Soviet Union,32286 km 2,http://blocgame.com/stats.php?id=63167,,
Feffiopia,Serloks,The High Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$1432 million,155 Mbbl,Near Depletion,Somewhat Large,The Subcontinent,Soviet Union,23499 km 2,http://blocgame.com/stats.php?id=46505,,
Cyleia,Silas Adar,The Order,65k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$1430 million,498 Mbbl; 6 Mbbl,,Mediocre,Mesoamerica,United States,28908 km 2,http://blocgame.com/stats.php?id=62784,,
Ekodebota,tfwqtp2tlgf|;3,The High Council,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Poor,online now,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$1426 million,2656 Mbbl; 13 Mbbl,Untapped,Very Powerful,Atlas,Soviet Union,30805 km 2,http://blocgame.com/stats.php?id=53422,,
Shambala,Feranon,Brotherhood of Nod,40k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1422 million,210 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,1 Tons,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 11 hours ago,9 Hundred Tons per month,3 Mbbl per month,Free Market,$1417 million,414 Mbbl; 3 Mbbl,Untapped,Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Cirno,jc99,The Federal Colonies,118k active personnel,3 ships,First World War surplus,Gandhi-like,4 factories,Standard,last online 12 hours ago,34 Hundred Tons per month,2 Mbbl per month,Free Market,$1410 million,270 Mbbl,,Mediocre,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,1 Tons,
Glubistan,Glub,SPQR,69k active personnel,0 ships,Second World War surplus,Angelic,2 factories,Standard,online now,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$1401 million,1845 Mbbl; 13 Mbbl,Plentiful,Mediocre,Arabia,Soviet Union,23779 km 2,http://blocgame.com/stats.php?id=63027,,
Lorigan,Lorigan,The High Council,69k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 6 hours ago,16 Hundred Tons per month,8 Mbbl per month,Central Planning,$1396 million,353 Mbbl; 8 Mbbl,Plentiful,Somewhat Large,Amazonia,Soviet Union,36653 km 2,http://blocgame.com/stats.php?id=59787,,
Raja Udang,Mario,PIRATES,40k active personnel,1 ships,Second World War surplus,Nice,2 factories,Good,online now,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$1386 million,264 Mbbl; 5 Mbbl,Plentiful,Small,Pacific Rim,Soviet Union,37102 km 2,http://blocgame.com/stats.php?id=61754,,
Worthless Sand,Spirit of Saddam Hussein,Brotherhood of Nod,8k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1378 million,3660 Mbbl; 5 Mbbl,Plentiful,Mediocre,Mesopotamia,Soviet Union,19406 km 2,http://blocgame.com/stats.php?id=63192,,
BongoBongoBongo,oBerry,The Order,51k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,35 Hundred Tons per month,10 Mbbl per month,Central Planning,$1362 million,215 Mbbl; 10 Mbbl,Untapped,Mediocre,Congo,Soviet Union,20923 km 2,http://blocgame.com/stats.php?id=63942,,
Sepidajistan,Shah Squid,Al-Qassam Brigades,38k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 36 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$1356 million,3751 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,15382 km 2,http://blocgame.com/stats.php?id=59462,,
Ivalice,Nighthawk571,Interpol,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,21 Hundred Tons per month,19 Mbbl per month,Central Planning,$1356 million,2658 Mbbl; 19 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,35726 km 2,http://blocgame.com/stats.php?id=63060,,
Sovngarde,Farron47,The High Council,55k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$1354 million,611 Mbbl; 5 Mbbl,Untapped,Large,East Indies,Soviet Union,39873 km 2,http://blocgame.com/stats.php?id=62626,,
Russophia,Mikhail Putin,SPQR,8k active personnel,0 ships,Second World War surplus,Good,None,Elite,last online 1 hours ago,3 Hundred Tons per month,8 Mbbl per month,Central Planning,$1334 million,2524 Mbbl; 8 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,7959 km 2,http://blocgame.com/stats.php?id=54426,,
South Uganda,Dr. Idi Amin,,109k active personnel,3 ships,Second World War surplus,Angelic,3 factories,Good,last online 31 hours ago,30 Hundred Tons per month,5 Mbbl per month,Central Planning,$1330 million,402 Mbbl; 5 Mbbl,Untapped,Large,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128,,
Cameronia,Cameron Saxonson,Che Guevara League,44k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,16 Hundred Tons per month,9 Mbbl per month,Central Planning,$1329 million,374 Mbbl; 9 Mbbl,Untapped,Mediocre,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,,
Morjei,FlairWoW,The High Council,74k active personnel,0 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 1 hours ago,24 Hundred Tons per month,3 Mbbl per month,Central Planning,$1327 million,94 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,41630 km 2,http://blocgame.com/stats.php?id=53068,,
ZAMENTA,ShAh FAr HAn,The Order,80k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 11 hours ago,14 Hundred Tons per month,8 Mbbl per month,Central Planning,$1318 million,436 Mbbl; 8 Mbbl,Untapped,Somewhat Large,Pacific Rim,Soviet Union,44184 km 2,http://blocgame.com/stats.php?id=61998,1 Tons,
Junovia,dontworryaboutit,Interpol,29k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,13 Hundred Tons per month,5 Mbbl per month,Free Market,$1315 million,546 Mbbl; 5 Mbbl,Plentiful,Mediocre,Pacific Rim,Neutral,19517 km 2,http://blocgame.com/stats.php?id=63088,,
Hansetica,Svan,The Order,39k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 31 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$1315 million,298 Mbbl; 7 Mbbl,Plentiful,Mediocre,China,Soviet Union,25637 km 2,http://blocgame.com/stats.php?id=63390,,
Conferan,Cryptox,The High Council,91k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$1314 million,491 Mbbl,Untapped,Powerful,East Indies,Soviet Union,42731 km 2,http://blocgame.com/stats.php?id=56710,1 Tons,
Lubekran,septima,Interpol,36k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,online now,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$1312 million,75 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,11120 km 2,http://blocgame.com/stats.php?id=62568,,
Yummy Foods,iiruka,Interpol,129k active personnel,2 ships,Second World War surplus,Gandhi-like,4 factories,Elite,online now,55 Hundred Tons per month,1 Mbbl per month,Free Market,$1305 million,116 Mbbl,Untapped,Large,Pacific Rim,United States,45784 km 2,http://blocgame.com/stats.php?id=54376,,
Batu putih,Harzan,The Federal Colonies,42k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$1303 million,170 Mbbl,Near Depletion,Somewhat Large,East Indies,Soviet Union,10750 km 2,http://blocgame.com/stats.php?id=61926,,
Zinlandia,Alaah,Che Guevara League,59k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Good,last online 3 hours ago,34 Hundred Tons per month,5 Mbbl per month,Central Planning,$1297 million,396 Mbbl,Untapped,Mediocre,Amazonia,Soviet Union,47178 km 2,http://blocgame.com/stats.php?id=45831,,
CTSKRR,CTSKRR,The High Council,79k active personnel,3 ships,Second World War surplus,Good,2 factories,Standard,last online 9 hours ago,8 Hundred Tons per month,8 Mbbl per month,Central Planning,$1295 million,198 Mbbl; 8 Mbbl,Untapped,Large,China,Soviet Union,20237 km 2,http://blocgame.com/stats.php?id=60811,,
al-Bahrayn,dbdb,The Order,88k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,8 Hundred Tons per month,8 Mbbl per month,Central Planning,$1291 million,1093 Mbbl; 8 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,32888 km 2,http://blocgame.com/stats.php?id=59775,,
the Haunted,thedrunkenarchitect,The Order,59k active personnel,0 ships,Second World War surplus,Angelic,2 factories,Standard,last online 10 hours ago,27 Hundred Tons per month,4 Mbbl per month,Central Planning,$1291 million,506 Mbbl; 4 Mbbl,Untapped,Large,Southern Africa,Soviet Union,35990 km 2,http://blocgame.com/stats.php?id=63020,,
