country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,121k active personnel,3 ships,Second World War surplus,Angelic,5 factories,Standard,last online 1 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3683 million,179 Mbbl; 21 Mbbl,Near Depletion,Powerful,Indochina,Soviet Union,35586 km 2,http://blocgame.com/stats.php?id=63909,,
TheDarkSide,LordVader,The Divine Council,93k active personnel,5 ships,Korean War surplus,Nice,2 factories,Good,last online 1 hours ago,27 Hundred Tons per month,2 Mbbl per month,Central Planning,$3175 million,801 Mbbl; 2 Mbbl,,Very Powerful,East Indies,Soviet Union,79029 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3142 million,4005 Mbbl; 13 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Tuonela,Beelzebub,The Order,84k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 5 hours ago,33 Hundred Tons per month,3 Mbbl per month,Central Planning,$3123 million,353 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Newsoka,E Mark,The Divine Council,53k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,online now,32 Hundred Tons per month,13 Mbbl per month,Mixed Economy,$2881 million,607 Mbbl,Plentiful,Somewhat Large,Indochina,United States,27578 km 2,http://blocgame.com/stats.php?id=63105,,
whitmanistan,slim,The Order,95k active personnel,5 ships,Second World War surplus,Gandhi-like,5 factories,Good,online now,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2877 million,6626 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60991 km 2,http://blocgame.com/stats.php?id=36344,,
Aasyria,David al-Assad,The Order,98k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 8 hours ago,28 Hundred Tons per month,15 Mbbl per month,Central Planning,$2836 million,4177 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Junoma,VicReyes,Steel Brotherhood,63k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,17 Hundred Tons per month,5 Mbbl per month,Free Market,$2778 million,462 Mbbl,Untapped,Large,Southern Cone,United States,45159 km 2,http://blocgame.com/stats.php?id=40349,,
Eastasia,accounts being deleted,The Order,65k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Elite,online now,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$2737 million,916 Mbbl; 5 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,34461 km 2,http://blocgame.com/stats.php?id=63527,,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 10 hours ago,11 Hundred Tons per month,5 Mbbl per month,Free Market,$2720 million,315 Mbbl; 5 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Asians,bigyihsuan,The Divine Council,48k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Poor,online now,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2694 million,215 Mbbl; 5 Mbbl,Plentiful,Large,Pacific Rim,United States,16191 km 2,http://blocgame.com/stats.php?id=41551,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 8 hours ago,50 Hundred Tons per month,5 Mbbl per month,Free Market,$2664 million,365 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
temasik,lawrence,SPQR,9k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 60 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2647 million,887 Mbbl; 4 Mbbl,Near Depletion,Mediocre,East Indies,United States,18723 km 2,http://blocgame.com/stats.php?id=62827,,
Sovngarde,Farron47,The Order,82k active personnel,4 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 5 hours ago,28 Hundred Tons per month,7 Mbbl per month,Central Planning,$2627 million,546 Mbbl; 7 Mbbl,Untapped,Powerful,East Indies,Soviet Union,43859 km 2,http://blocgame.com/stats.php?id=62626,,
Kosan,Whitearcher8,The Divine Council,70k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,16 Hundred Tons per month,6 Mbbl per month,Central Planning,$2584 million,6636 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,34556 km 2,http://blocgame.com/stats.php?id=59227,,
Mirah,Filzah,The Order,110k active personnel,7 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 12 hours ago,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$2578 million,328 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,26543 km 2,http://blocgame.com/stats.php?id=64191,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 3 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$2575 million,211 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Tamarlania,Vagrant,The Order,139k active personnel,9 ships,Second World War surplus,Pariah,8 factories,Elite,last online 1 hours ago,70 Hundred Tons per month,67 Mbbl per month,Free Market,$2456 million,5141 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,58382 km 2,http://blocgame.com/stats.php?id=61626,,5%
Ken no Taiyou,Hikari,The Order,39k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 6 hours ago,9 Hundred Tons per month,32 Mbbl per month,Central Planning,$2456 million,1178 Mbbl; 32 Mbbl,Untapped,Large,Persia,Soviet Union,32081 km 2,http://blocgame.com/stats.php?id=64029,,
Raja Udang,Mario,PIRATES,17k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,18 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$2398 million,159 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,36135 km 2,http://blocgame.com/stats.php?id=61754,,
Markovia,RDM HC,The Federal Colonies,108k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Elite,last online 1 hours ago,25 Hundred Tons per month,12 Mbbl per month,Free Market,$2393 million,544 Mbbl; 12 Mbbl,Untapped,Powerful,Caribbean,United States,40901 km 2,http://blocgame.com/stats.php?id=58369,,
Hitlerwasright,Louis C Cuck,The Order,58k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,online now,35 Hundred Tons per month,25 Mbbl per month,Free Market,$2360 million,10195 Mbbl,,Large,Arabia,United States,33237 km 2,http://blocgame.com/stats.php?id=59621,,
USSR,CommissarBrian,The Order,79k active personnel,0 ships,Korean War surplus,Gandhi-like,5 factories,Standard,last online 4 hours ago,39 Hundred Tons per month,8 Mbbl per month,Central Planning,$2356 million,187 Mbbl; 8 Mbbl,Untapped,Small,China,Soviet Union,47029 km 2,http://blocgame.com/stats.php?id=54182,,
Alamo,linksith,The United Nations,68k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 26 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$2333 million,4354 Mbbl,Untapped,Mediocre,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,,
