country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,135k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 1 hours ago,31 Hundred Tons per month,21 Mbbl per month,Central Planning,$2169 million,552 Mbbl; 21 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Tuonela,Beelzebub,The Order,66k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,28 Hundred Tons per month,2 Mbbl per month,Central Planning,$1977 million,364 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389,,
Kyranistan,Michael Hussain,Comintern,48k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 7 hours ago,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$1973 million,5977 Mbbl; 11 Mbbl,Near Depletion,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Morovistan,Gustave Bergher,The High Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,17 Hundred Tons per month,13 Mbbl per month,Central Planning,$1913 million,3440 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Femtonesia,1101,Comintern,22k active personnel,0 ships,First World War surplus,Nice,2 factories,Elite,online now,40 Hundred Tons per month,5 Mbbl per month,Central Planning,$1835 million,157 Mbbl; 5 Mbbl,Depleted,Small,Pacific Rim,Soviet Union,41583 km 2,http://blocgame.com/stats.php?id=63083,,
temasik,lawrence,SPQR,37k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 11 hours ago,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$1813 million,560 Mbbl; 3 Mbbl,Near Depletion,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Tamarlania,Vagrant,The High Council,219k active personnel,1 ships,First World War surplus,Nice,5 factories,Standard,last online 2 hours ago,44 Hundred Tons per month,61 Mbbl per month,Free Market,$1783 million,4441 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,43375 km 2,http://blocgame.com/stats.php?id=61626,5%,
Rome Reloaded,Tiberius Ceaser,SPQR,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,25 Hundred Tons per month,10 Mbbl per month,Central Planning,$1770 million,6656 Mbbl,,Mediocre,Mesopotamia,Soviet Union,15568 km 2,http://blocgame.com/stats.php?id=1421,,1 Tons
Jebawka,Shetay,The Order,86k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 33 hours ago,11 Hundred Tons per month,10 Mbbl per month,Free Market,$1761 million,3161 Mbbl,Untapped,Small,Arabia,United States,28705 km 2,http://blocgame.com/stats.php?id=54304,,
Feffiopia,Serloks,The High Council,66k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,23 Hundred Tons per month,6 Mbbl per month,Central Planning,$1736 million,131 Mbbl,,Somewhat Large,The Subcontinent,Soviet Union,24983 km 2,http://blocgame.com/stats.php?id=46505,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 5 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1718 million,4328 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
constania,Comrade,The High Council,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$1678 million,126 Mbbl; 7 Mbbl,Untapped,Large,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Sovngarde,Farron47,The Order,36k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,20 Hundred Tons per month,5 Mbbl per month,Central Planning,$1673 million,591 Mbbl; 5 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,40749 km 2,http://blocgame.com/stats.php?id=62626,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1657 million,287 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
whitmanistan,slim,The Order,64k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,15 Hundred Tons per month,5 Mbbl per month,Free Market,$1645 million,5247 Mbbl; 5 Mbbl,Untapped,Large,Mesopotamia,United States,51923 km 2,http://blocgame.com/stats.php?id=36344,,
Alamo,linksith,The United Nations,46k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 12 hours ago,7 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1628 million,4392 Mbbl,Untapped,Mediocre,Mesopotamia,United States,16148 km 2,http://blocgame.com/stats.php?id=40536,,
LOCAI,Agumentic,Brotherhood of Nod,39k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 14 hours ago,9 Hundred Tons per month,4 Mbbl per month,Free Market,$1625 million,399 Mbbl; 4 Mbbl,Untapped,Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Uzbekistanstan,Shaikh Zayer,The Order,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,40 Hundred Tons per month,5 Mbbl per month,Free Market,$1620 million,459 Mbbl,Untapped,Somewhat Large,Congo,United States,38272 km 2,http://blocgame.com/stats.php?id=47207,,
Morjei,FlairWoW,The High Council,74k active personnel,0 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 3 hours ago,28 Hundred Tons per month,3 Mbbl per month,Central Planning,$1609 million,92 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Indochina,Soviet Union,42900 km 2,http://blocgame.com/stats.php?id=53068,,
Shambala,Feranon,Brotherhood of Nod,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$1602 million,190 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Pacific Rim,Soviet Union,31241 km 2,http://blocgame.com/stats.php?id=41268,,1 Tons
Asians,bigyihsuan,The High Council,58k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,9 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$1586 million,330 Mbbl; 4 Mbbl,Untapped,Small,Pacific Rim,United States,16667 km 2,http://blocgame.com/stats.php?id=41551,,
North Nubia,Sean Tony,N.S.D.A.P,118k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,28 Hundred Tons per month,10 Mbbl per month,Central Planning,$1580 million,108 Mbbl; 10 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,25593 km 2,http://blocgame.com/stats.php?id=63084,,
Biji Kurdistan,Myron2point0,Comintern,63k active personnel,0 ships,Second World War surplus,Nice,1 factory,Elite,last online 4 hours ago,10 Hundred Tons per month,10 Mbbl per month,Central Planning,$1579 million,3564 Mbbl; 10 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,24822 km 2,http://blocgame.com/stats.php?id=52906,,1 Tons
Raja Udang,Mario,PIRATES,40k active personnel,1 ships,Second World War surplus,Angelic,2 factories,Elite,online now,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$1558 million,244 Mbbl; 5 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,37452 km 2,http://blocgame.com/stats.php?id=61754,,
Sintra,Daniel Lima,The Order,77k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,16 Hundred Tons per month,10 Mbbl per month,Central Planning,$1549 million,312 Mbbl; 10 Mbbl,Near Depletion,Somewhat Large,Caribbean,Soviet Union,32286 km 2,http://blocgame.com/stats.php?id=63167,,
Cyleia,Silas Adar,The Order,26k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 23 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$1533 million,474 Mbbl; 6 Mbbl,,Mediocre,Mesoamerica,United States,27770 km 2,http://blocgame.com/stats.php?id=62784,,
Cirno,jc99,The Federal Colonies,118k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 7 hours ago,34 Hundred Tons per month,2 Mbbl per month,Free Market,$1532 million,262 Mbbl,,Mediocre,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375,,1 Tons
Glubistan,Glub,SPQR,64k active personnel,1 ships,Second World War surplus,Normal,2 factories,Poor,online now,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$1524 million,1793 Mbbl; 13 Mbbl,Plentiful,Somewhat Large,Arabia,Soviet Union,23779 km 2,http://blocgame.com/stats.php?id=63027,,
Almania,Almanich,Brotherhood of Nod,46k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 8 hours ago,2 Hundred Tons per month,,Central Planning,$1520 million,142 Mbbl,Untapped,Large,China,Soviet Union,48605 km 2,http://blocgame.com/stats.php?id=51725,,
Sepidajistan,Shah Squid,Al-Qassam Brigades,38k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 21 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$1518 million,3739 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,15382 km 2,http://blocgame.com/stats.php?id=59462,,
Hansetica,Svan,The Order,39k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 79 hours ago,17 Hundred Tons per month,7 Mbbl per month,Central Planning,$1512 million,270 Mbbl; 7 Mbbl,Untapped,Mediocre,China,Soviet Union,25637 km 2,http://blocgame.com/stats.php?id=63390,,
pelle,pelle,The Order,65k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 7 hours ago,31 Hundred Tons per month,4 Mbbl per month,Central Planning,$1510 million,508 Mbbl; 4 Mbbl,Untapped,Very Powerful,China,Soviet Union,47331 km 2,http://blocgame.com/stats.php?id=52372,,
Batu putih,Harzan,The Federal Colonies,54k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$1503 million,150 Mbbl,Near Depletion,Somewhat Large,East Indies,Soviet Union,10850 km 2,http://blocgame.com/stats.php?id=61926,,
Zeon Alliance,Char Aznable,The High Council,70k active personnel,6 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 6 hours ago,7 Hundred Tons per month,7 Mbbl per month,Free Market,$1493 million,254 Mbbl; 7 Mbbl,Untapped,Very Powerful,Pacific Rim,United States,32806 km 2,http://blocgame.com/stats.php?id=62248,,1 Tons
Cameronia,Cameron Saxonson,Che Guevara League,50k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 6 hours ago,17 Hundred Tons per month,9 Mbbl per month,Central Planning,$1489 million,338 Mbbl; 9 Mbbl,Untapped,Mediocre,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,,
KingBding,King B,The Order,32k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 11 hours ago,19 Hundred Tons per month,3 Mbbl per month,Central Planning,$1479 million,314 Mbbl; 3 Mbbl,Untapped,Powerful,Southern Africa,Soviet Union,25752 km 2,http://blocgame.com/stats.php?id=63205,,
BongoBongoBongo,oBerry,The Order,63k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,40 Hundred Tons per month,11 Mbbl per month,Central Planning,$1479 million,173 Mbbl; 11 Mbbl,Untapped,Mediocre,Congo,Soviet Union,20923 km 2,http://blocgame.com/stats.php?id=63942,,
Ivalice,Nighthawk571,Interpol,59k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,23 Hundred Tons per month,20 Mbbl per month,Central Planning,$1474 million,2579 Mbbl; 20 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,35726 km 2,http://blocgame.com/stats.php?id=63060,,
Harezland,Adam harez,The Order,18k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 10 hours ago,10 Hundred Tons per month,9 Mbbl per month,Central Planning,$1453 million,539 Mbbl; 9 Mbbl,Untapped,Mediocre,Pacific Rim,Neutral,20389 km 2,http://blocgame.com/stats.php?id=60587,,
Jerung Hantu,Syark Land,PIRATES,36k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,6 Hundred Tons per month,6 Mbbl per month,Free Market,$1440 million,1527 Mbbl,,Mediocre,Arabia,United States,19167 km 2,http://blocgame.com/stats.php?id=60505,,
Lorigan,Lorigan,The High Council,71k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,17 Hundred Tons per month,8 Mbbl per month,Central Planning,$1438 million,321 Mbbl; 8 Mbbl,Plentiful,Mediocre,Amazonia,Soviet Union,37025 km 2,http://blocgame.com/stats.php?id=59787,,
