country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,115k active personnel,9 ships,Korean War surplus,Nice,7 factories,Good,last online 1 hours ago,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$6986 million,297 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,49k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,online now,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$6441 million,80 Mbbl; 9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Shambala,Feranon,Brotherhood of Nod,70k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 4 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$5426 million,503 Mbbl; 5 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,
Jemut,iwaniman/Ferozz,PIRATES,9k active personnel,8 ships,Second World War surplus,Normal,7 factories,Elite,last online 2 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$5290 million,143 Mbbl,Depleted,None,East Indies,Soviet Union,51670 km 2,http://blocgame.com/stats.php?id=61811,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,13 ships,Korean War surplus,Gandhi-like,5 factories,Elite,online now,37 Hundred Tons per month,17 Mbbl per month,Free Market,$5201 million,30 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,
Platypus Island,Mark0Polo,SPQR,12k active personnel,5 ships,Second World War surplus,Nice,5 factories,Standard,last online 14 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$5197 million,21 Mbbl,Near Depletion,Meagre,Indochina,Soviet Union,68136 km 2,http://blocgame.com/stats.php?id=63909,,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Good,last online 1 hours ago,12 Hundred Tons per month,7 Mbbl per month,Free Market,$5163 million,53 Mbbl; 7 Mbbl,Untapped,Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Morovistan,Gustave Bergher,SPQR,98k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 19 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$5082 million,4773 Mbbl; 19 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Ferma,President Jacobo Vincenzo,The Order,9k active personnel,7 ships,Vietnam War surplus,Nice,3 factories,Good,online now,25 Hundred Tons per month,,Mixed Economy,$4896 million,266 Mbbl,Near Depletion,Meagre,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Sovngarde,Farron47,The Order,8k active personnel,15 ships,Korean War surplus,Nice,3 factories,Undisciplined Rabble,last online 8 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$4817 million,262 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,34863 km 2,http://blocgame.com/stats.php?id=62626,,
Uzbekistanstan,Shaikh Zayer,The Order,81k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Good,online now,59 Hundred Tons per month,5 Mbbl per month,Free Market,$4711 million,155 Mbbl,Untapped,Very Powerful,Congo,United States,42029 km 2,http://blocgame.com/stats.php?id=47207,,
Coccoladia,Ernesto Caprone,The Federal Colonies,59k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$4704 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Lorigan,Lorigan,Interpol,108k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 5 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4660 million,175 Mbbl; 8 Mbbl,Plentiful,Large,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
