country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl
Sucanti,Draban,The Order,58k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 17 hours ago,9 Hundred Tons per month,3 Mbbl per month,Free Market,$533 million,318 Mbbl,Untapped,Meagre,Pacific Rim,United States,28651 km 2,http://www.blocgame.com/stats.php?id=49810
Ansari,Abad,The Khilafah,59k active personnel,0 ships,First World War surplus,Angelic,2 factories,Standard,online now,15 Hundred Tons per month,2 Mbbl per month,Free Market,$403 million,22 Mbbl,Untapped,Small,Congo,United States,29071 km 2,http://www.blocgame.com/stats.php?id=50625
Agonda,Agonda,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 17 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$539 million,85 Mbbl; 3 Mbbl,Untapped,Meagre,China,Soviet Union,26360 km 2,http://www.blocgame.com/stats.php?id=51268
Zerram,Bilgorin,The Order,36k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 17 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$315 million,355 Mbbl; 3 Mbbl,Untapped,None,Guinea,Soviet Union,34639 km 2,http://www.blocgame.com/stats.php?id=65344
Bombay,Bombay,Interpol,58k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 17 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$406 million,3565 Mbbl; 5 Mbbl,Untapped,Meagre,Arabia,Soviet Union,27986 km 2,http://www.blocgame.com/stats.php?id=51989
Grettistan,Grett,Brotherhood of Nod,59k active personnel,2 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 17 hours ago,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$445 million,145 Mbbl; 3 Mbbl,Untapped,Somewhat Large,Southern Africa,Soviet Union,29638 km 2,http://www.blocgame.com/stats.php?id=51214
Wussan,Handri,SPQR,69k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 17 hours ago,10 Hundred Tons per month,6 Mbbl per month,Central Planning,$572 million,1007 Mbbl; 6 Mbbl,Plentiful,Meagre,Persia,Soviet Union,27701 km 2,http://www.blocgame.com/stats.php?id=50197
Magahion,Hira,Socialist Arab Union,55k active personnel,2 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 17 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$359 million,785 Mbbl; 2 Mbbl,Untapped,Somewhat Large,East Africa,Soviet Union,30877 km 2,http://www.blocgame.com/stats.php?id=65308
Channary,Kardal,The Order,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 17 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$414 million,67 Mbbl; 2 Mbbl,Plentiful,Meagre,Caribbean,United States,28187 km 2,http://www.blocgame.com/stats.php?id=50479
Opandos,KllK,The Order,55k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 17 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$401 million,114 Mbbl; 3 Mbbl,Untapped,Mediocre,Indochina,Soviet Union,44358 km 2,http://www.blocgame.com/stats.php?id=50208
Verbona,Omar,Interpol,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 17 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$349 million,2997 Mbbl; 5 Mbbl,Untapped,Meagre,Egypt,Soviet Union,31144 km 2,http://www.blocgame.com/stats.php?id=65345
Bowen,Rice,PIRATES,79k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Standard,online now,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$427 million,3790 Mbbl; 6 Mbbl,Untapped,Mediocre,Mesopotamia,Neutral,32192 km 2,http://www.blocgame.com/stats.php?id=50453
Rupina,Rupina,The Federal Colonies,53k active personnel,2 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 17 hours ago,10 Hundred Tons per month,2 Mbbl per month,Free Market,$457 million,509 Mbbl; 2 Mbbl,Untapped,Mediocre,Gran Colombia,United States,36142 km 2,http://www.blocgame.com/stats.php?id=50287
Tiad,Sizzle,Brotherhood of Nod,57k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 17 hours ago,11 Hundred Tons per month,6 Mbbl per month,Central Planning,$490 million,2521 Mbbl; 6 Mbbl,Untapped,Large,Atlas,Soviet Union,44033 km 2,http://www.blocgame.com/stats.php?id=50332
Xelegor,Steph,The Order,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 16 hours ago,12 Hundred Tons per month,2 Mbbl per month,Free Market,$379 million,489 Mbbl; 2 Mbbl,,Somewhat Large,Amazonia,United States,38815 km 2,http://www.blocgame.com/stats.php?id=65347
Pegrram,Unhold,The Order,68k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 16 hours ago,10 Hundred Tons per month,2 Mbbl per month,Central Planning,$460 million,965 Mbbl; 2 Mbbl,Plentiful,Small,Guinea,Soviet Union,25109 km 2,http://www.blocgame.com/stats.php?id=65383
Jibid,Varramor,The Order,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 16 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$323 million,240 Mbbl; 1 Mbbl,Untapped,Large,Indochina,Soviet Union,26232 km 2,http://www.blocgame.com/stats.php?id=65373
grapondiu,yamado,The Order,48k active personnel,2 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 16 hours ago,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$465 million,2111 Mbbl; 2 Mbbl,Untapped,Somewhat Large,West Africa,Soviet Union,35691 km 2,http://www.blocgame.com/stats.php?id=65382
Igguana,Yerram,The Order,58k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 16 hours ago,12 Hundred Tons per month,3 Mbbl per month,Central Planning,$449 million,41 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,27990 km 2,http://www.blocgame.com/stats.php?id=65310
Menodux,Suferio,The Khilafah,48k active personnel,2 ships,Finest of the 19th century,Gandhi-like,2 factories,Good,last online 16 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$457 million,6522 Mbbl; 5 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,31393 km 2,http://www.blocgame.com/stats.php?id=65396
Origanium,Kallima,The Order,68k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 17 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$411 million,371 Mbbl; 4 Mbbl,Untapped,Powerful,The Subcontinent,Soviet Union,21890 km 2,http://www.blocgame.com/stats.php?id=65399
Costapilia,Iridom,The Order,69k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 17 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$504 million,1937 Mbbl; 5 Mbbl,Plentiful,None,Arabia,Soviet Union,24388 km 2,http://www.blocgame.com/stats.php?id=65400
