country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,95k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2376 million,468 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Kyranistan,Michael Hussain,Comintern,52k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 7 hours ago,11 Hundred Tons per month,11 Mbbl per month,Central Planning,$2152 million,5933 Mbbl; 11 Mbbl,Near Depletion,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Tuonela,Beelzebub,The Order,65k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 9 hours ago,29 Hundred Tons per month,2 Mbbl per month,Central Planning,$2130 million,356 Mbbl; 2 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,39813 km 2,http://blocgame.com/stats.php?id=389,,
Morovistan,Gustave Bergher,The Divine Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 6 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2081 million,3388 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Asians,bigyihsuan,The Divine Council,58k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 5 hours ago,9 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$2019 million,399 Mbbl; 4 Mbbl,Untapped,Meagre,Pacific Rim,United States,20436 km 2,http://blocgame.com/stats.php?id=41551,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,40 Hundred Tons per month,5 Mbbl per month,Free Market,$2017 million,440 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Raja Udang,Mario,PIRATES,54k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$1986 million,240 Mbbl; 7 Mbbl,Untapped,Small,Pacific Rim,Soviet Union,40329 km 2,http://blocgame.com/stats.php?id=61754,,
temasik,lawrence,SPQR,39k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 14 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$1983 million,947 Mbbl; 4 Mbbl,Near Depletion,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
German Empire,Frederick the Great,SPQR,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 10 hours ago,14 Hundred Tons per month,7 Mbbl per month,Central Planning,$1884 million,4300 Mbbl,Untapped,Powerful,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053,,
Tamarlania,Vagrant,The Divine Council,178k active personnel,9 ships,First World War surplus,Angelic,5 factories,Good,last online 28 hours ago,53 Hundred Tons per month,61 Mbbl per month,Free Market,$1883 million,4450 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,46728 km 2,http://blocgame.com/stats.php?id=61626,5%,
