country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,115k active personnel,9 ships,Korean War surplus,Angelic,7 factories,Good,last online 5 hours ago,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$7046 million,294 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,49k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,online now,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$6518 million,71 Mbbl; 9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Shambala,Feranon,Brotherhood of Nod,70k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 13 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$5482 million,498 Mbbl; 5 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,
Conferan,Cryptox,The Order,178k active personnel,11 ships,Vietnam War surplus,Gandhi-like,5 factories,Elite,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$5309 million,146 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,73153 km 2,http://blocgame.com/stats.php?id=56710,,
Jemut,iwaniman/Ferozz,PIRATES,7k active personnel,6 ships,Second World War surplus,Normal,7 factories,Elite,last online 2 hours ago,27 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$5290 million,126 Mbbl,Near Depletion,None,East Indies,Soviet Union,51670 km 2,http://blocgame.com/stats.php?id=61811,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,13 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 2 hours ago,37 Hundred Tons per month,17 Mbbl per month,Free Market,$5240 million,13 Mbbl; 17 Mbbl,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Good,online now,12 Hundred Tons per month,7 Mbbl per month,Free Market,$5224 million,46 Mbbl; 7 Mbbl,Untapped,Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Morovistan,Gustave Bergher,SPQR,98k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 27 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$5130 million,4754 Mbbl; 19 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Sovngarde,Farron47,The Order,8k active personnel,15 ships,Korean War surplus,Angelic,3 factories,Undisciplined Rabble,last online 17 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$4930 million,254 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,34863 km 2,http://blocgame.com/stats.php?id=62626,,
Ferma,President Jacobo Vincenzo,The Order,9k active personnel,7 ships,Vietnam War surplus,Angelic,3 factories,Good,last online 3 hours ago,25 Hundred Tons per month,,Mixed Economy,$4907 million,266 Mbbl,Near Depletion,Meagre,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Uzbekistanstan,Shaikh Zayer,The Order,81k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Good,last online 9 hours ago,59 Hundred Tons per month,5 Mbbl per month,Free Market,$4761 million,150 Mbbl,Untapped,Very Powerful,Congo,United States,42029 km 2,http://blocgame.com/stats.php?id=47207,,
Coccoladia,Ernesto Caprone,The Federal Colonies,59k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 9 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$4759 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Tamarlania,Vagrant,The Order,133k active personnel,51 ships,Korean War surplus,Gandhi-like,8 factories,Elite,last online 6 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$4715 million,2280 Mbbl,Untapped,Very Powerful,Mesopotamia,Neutral,63802 km 2,http://blocgame.com/stats.php?id=61626,5%,
Lorigan,Lorigan,Interpol,108k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 5 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4681 million,167 Mbbl; 8 Mbbl,Plentiful,Large,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
TheDarkSide,LordVader,Misanthropics,7k active personnel,11 ships,Vietnam War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 1 hours ago,24 Hundred Tons per month,4 Mbbl per month,Central Planning,$4647 million,449 Mbbl; 4 Mbbl,,Very Powerful,East Indies,Neutral,41672 km 2,http://blocgame.com/stats.php?id=63139,,
Cirno,jc99,The Federal Colonies,163k active personnel,12 ships,Second World War surplus,Gandhi-like,8 factories,Poor,last online 5 hours ago,34 Hundred Tons per month,2 Mbbl per month,Central Planning,$4583 million,166 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,41625 km 2,http://blocgame.com/stats.php?id=43375,,1 Tons
Rome Reloaded,Tiberius Ceaser,SPQR,78k active personnel,7 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$4551 million,4402 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,12961 km 2,http://blocgame.com/stats.php?id=1421,,
Crayola,baker greg,The Order,138k active personnel,2 ships,Second World War surplus,Gandhi-like,5 factories,Standard,last online 9 hours ago,32 Hundred Tons per month,23 Mbbl per month,Central Planning,$4528 million,4288 Mbbl; 23 Mbbl,Untapped,Very Powerful,Egypt,United States,60719 km 2,http://blocgame.com/stats.php?id=63958,,
Cubania,General Fidelis,The Order,118k active personnel,4 ships,Korean War surplus,Gandhi-like,7 factories,Standard,last online 4 hours ago,60 Hundred Tons per month,18 Mbbl per month,Central Planning,$4484 million,18 Mbbl,Untapped,Very Powerful,Mesoamerica,Soviet Union,61756 km 2,http://blocgame.com/stats.php?id=47349,,
Hitlerwasright,Louis C Cuck,The Order,118k active personnel,11 ships,Vietnam War surplus,Gandhi-like,5 factories,Elite,last online 2 hours ago,35 Hundred Tons per month,25 Mbbl per month,Free Market,$4482 million,9120 Mbbl,Untapped,Very Powerful,Arabia,United States,33337 km 2,http://blocgame.com/stats.php?id=59621,,
Platypus Island,Mark0Polo,SPQR,6k active personnel,5 ships,Second World War surplus,Nice,4 factories,Standard,last online 23 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$4451 million,21 Mbbl,,Meagre,Indochina,Soviet Union,56213 km 2,http://blocgame.com/stats.php?id=63909,,
