country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Platypus Island,Mark0Polo,SPQR,65k active personnel,2 ships,Second World War surplus,Gandhi-like,4 factories,Poor,last online 1 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$2544 million,405 Mbbl; 21 Mbbl,Untapped,Large,Indochina,Soviet Union,29623 km 2,http://blocgame.com/stats.php?id=63909,,
Asians,bigyihsuan,The Divine Council,58k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 6 hours ago,10 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2413 million,391 Mbbl; 5 Mbbl,Untapped,Mediocre,Pacific Rim,United States,23786 km 2,http://blocgame.com/stats.php?id=41551,,
Kyranistan,Michael Hussain,Comintern,58k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,12 Hundred Tons per month,12 Mbbl per month,Central Planning,$2275 million,5899 Mbbl; 12 Mbbl,Near Depletion,Large,Persia,Soviet Union,25332 km 2,http://blocgame.com/stats.php?id=61263,,
Tuonela,Beelzebub,The Order,58k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,29 Hundred Tons per month,2 Mbbl per month,Central Planning,$2233 million,350 Mbbl; 2 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,40811 km 2,http://blocgame.com/stats.php?id=389,,
Morovistan,Gustave Bergher,The Divine Council,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 16 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$2207 million,3349 Mbbl; 13 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,40 Hundred Tons per month,5 Mbbl per month,Free Market,$2125 million,425 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
temasik,lawrence,SPQR,39k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,4 Hundred Tons per month,4 Mbbl per month,Central Planning,$2118 million,935 Mbbl; 4 Mbbl,,Mediocre,East Indies,United States,19295 km 2,http://blocgame.com/stats.php?id=62827,,
Raja Udang,Mario,PIRATES,66k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2100 million,219 Mbbl; 7 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,40329 km 2,http://blocgame.com/stats.php?id=61754,,
Almania,Almanich,Brotherhood of Nod,66k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,2 Hundred Tons per month,,Central Planning,$2081 million,171 Mbbl,Untapped,Very Powerful,China,Soviet Union,52660 km 2,http://blocgame.com/stats.php?id=51725,,
Tamarlania,Vagrant,The Divine Council,178k active personnel,9 ships,First World War surplus,Normal,5 factories,Standard,last online 14 hours ago,56 Hundred Tons per month,61 Mbbl per month,Free Market,$2021 million,4605 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,47922 km 2,http://blocgame.com/stats.php?id=61626,5%,
