country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,145k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Poor,last online 7 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3802 million,95 Mbbl; 21 Mbbl,Near Depletion,Very Powerful,Indochina,Soviet Union,36122 km 2,http://blocgame.com/stats.php?id=63909,,
TheDarkSide,LordVader,The Divine Council,97k active personnel,5 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 5 hours ago,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$3687 million,938 Mbbl; 3 Mbbl,,Very Powerful,East Indies,Soviet Union,82513 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 16 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3302 million,3953 Mbbl; 13 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Tuonela,Beelzebub,The Order,105k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,35 Hundred Tons per month,3 Mbbl per month,Central Planning,$3288 million,341 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Newsoka,E Mark,The Divine Council,59k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 15 hours ago,32 Hundred Tons per month,15 Mbbl per month,Mixed Economy,$3030 million,551 Mbbl,Untapped,Somewhat Large,Indochina,United States,27878 km 2,http://blocgame.com/stats.php?id=63105,,
Aasyria,David al-Assad,The Order,98k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Poor,online now,33 Hundred Tons per month,15 Mbbl per month,Central Planning,$2995 million,4117 Mbbl,,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
Asians,bigyihsuan,The Divine Council,29k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,last online 22 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2950 million,195 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Pacific Rim,United States,16030 km 2,http://blocgame.com/stats.php?id=41551,,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Good,online now,11 Hundred Tons per month,6 Mbbl per month,Free Market,$2944 million,292 Mbbl; 6 Mbbl,Plentiful,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Junoma,VicReyes,Steel Brotherhood,67k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,17 Hundred Tons per month,5 Mbbl per month,Free Market,$2930 million,442 Mbbl,Untapped,Powerful,Southern Cone,United States,45159 km 2,http://blocgame.com/stats.php?id=40349,1 Tons,
whitmanistan,slim,The Order,101k active personnel,5 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 10 hours ago,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2919 million,6590 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60991 km 2,http://blocgame.com/stats.php?id=36344,,
