country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,137k active personnel,9 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 9 hours ago,45 Hundred Tons per month,3 Mbbl per month,Free Market,$7904 million,246 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,59k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,last online 9 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$7795 million,9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Uzbekistanstan,Shaikh Zayer,The Order,99k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 8 hours ago,65 Hundred Tons per month,6 Mbbl per month,Free Market,$6567 million,173 Mbbl,Untapped,Very Powerful,Congo,United States,47062 km 2,http://blocgame.com/stats.php?id=47207,,
Tamarlania,Vagrant,The Order,143k active personnel,52 ships,Korean War surplus,Gandhi-like,8 factories,Good,last online 31 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$6511 million,1212 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,66977 km 2,http://blocgame.com/stats.php?id=61626,5%,
Shambala,Feranon,Brotherhood of Nod,98k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 13 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$6425 million,418 Mbbl; 5 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,1 Tons
Conferan,Cryptox,The Order,219k active personnel,19 ships,Vietnam War surplus,Gandhi-like,6 factories,Good,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$6389 million,213 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,82521 km 2,http://blocgame.com/stats.php?id=56710,,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Vietnam War surplus,Gandhi-like,7 factories,Elite,last online 13 hours ago,12 Hundred Tons per month,9 Mbbl per month,Free Market,$6264 million,269 Mbbl; 9 Mbbl,Untapped,Very Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Cirno,jc99,The Federal Colonies,199k active personnel,12 ships,Korean War surplus,Gandhi-like,9 factories,Poor,last online 2 hours ago,34 Hundred Tons per month,2 Mbbl per month,Central Planning,$6012 million,139 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,45504 km 2,http://blocgame.com/stats.php?id=43375,,
TheDarkSide,LordVader,Misanthropics,34k active personnel,11 ships,Almost Modern,Mad Dog,5 factories,Undisciplined Rabble,online now,24 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$5890 million,332 Mbbl; 4 Mbbl,Untapped,Very Powerful,East Indies,Neutral,51227 km 2,http://blocgame.com/stats.php?id=63139,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,16 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 5 hours ago,40 Hundred Tons per month,,Free Market,$5887 million,,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,6 Tons
Sovngarde,Farron47,The Order,5k active personnel,15 ships,Korean War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,35 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$5638 million,126 Mbbl; 8 Mbbl,Near Depletion,None,East Indies,Soviet Union,34863 km 2,http://blocgame.com/stats.php?id=62626,,
Aminichina,doublepedaldylan,The Order,13k active personnel,5 ships,Second World War surplus,Mad Dog,2 factories,Standard,last online 11 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$5604 million,850 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,35803 km 2,http://blocgame.com/stats.php?id=56720,,
Coccoladia,Ernesto Caprone,The Federal Colonies,78k active personnel,9 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 11 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$5599 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,
Ferma,President Jacobo Vincenzo,The Order,31k active personnel,7 ships,Vietnam War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 5 hours ago,25 Hundred Tons per month,,Free Market,$5537 million,266 Mbbl,,Meagre,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
