country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Platypus Island,Mark0Polo,SPQR,148k active personnel,7 ships,Second World War surplus,Gandhi-like,5 factories,Standard,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3830 million,74 Mbbl; 21 Mbbl,Near Depletion,Very Powerful,Indochina,Soviet Union,38122 km 2,http://blocgame.com/stats.php?id=63909,,
TheDarkSide,LordVader,The Divine Council,97k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$3680 million,935 Mbbl; 3 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,82513 km 2,http://blocgame.com/stats.php?id=63139,1 Tons,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 28 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3342 million,3940 Mbbl; 13 Mbbl,Untapped,Powerful,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,,
Tuonela,Beelzebub,The Order,105k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,37 Hundred Tons per month,3 Mbbl per month,Central Planning,$3325 million,338 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,,
Newsoka,E Mark,The Divine Council,59k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,33 Hundred Tons per month,15 Mbbl per month,Mixed Economy,$3070 million,536 Mbbl,Untapped,Somewhat Large,Indochina,United States,27878 km 2,http://blocgame.com/stats.php?id=63105,,
Aasyria,David al-Assad,The Order,98k active personnel,6 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 5 hours ago,33 Hundred Tons per month,15 Mbbl per month,Central Planning,$3034 million,4102 Mbbl,Plentiful,Very Powerful,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 3 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$2999 million,286 Mbbl; 6 Mbbl,Plentiful,Very Powerful,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,,
Asians,bigyihsuan,The Divine Council,33k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 10 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2990 million,190 Mbbl; 5 Mbbl,Near Depletion,Small,Pacific Rim,United States,15870 km 2,http://blocgame.com/stats.php?id=41551,,
Junoma,VicReyes,Steel Brotherhood,77k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,17 Hundred Tons per month,5 Mbbl per month,Free Market,$2967 million,437 Mbbl,Untapped,Powerful,Southern Cone,United States,45159 km 2,http://blocgame.com/stats.php?id=40349,1 Tons,
Batu putih,Harzan,The Federal Colonies,0k active personnel,4 ships,Second World War surplus,Good,3 factories,Elite,last online 1 hours ago,12 Hundred Tons per month,8 Mbbl per month,Central Planning,$2960 million,89 Mbbl,Near Depletion,Mediocre,East Indies,Soviet Union,10854 km 2,http://blocgame.com/stats.php?id=61926,,
whitmanistan,slim,The Order,105k active personnel,5 ships,Korean War surplus,Gandhi-like,5 factories,Good,online now,17 Hundred Tons per month,9 Mbbl per month,Free Market,$2931 million,6581 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,United States,60991 km 2,http://blocgame.com/stats.php?id=36344,,
Uzbekistanstan,Shaikh Zayer,The Order,79k active personnel,3 ships,Second World War surplus,Nice,4 factories,Elite,last online 8 hours ago,51 Hundred Tons per month,5 Mbbl per month,Free Market,$2918 million,340 Mbbl,Untapped,Large,Congo,United States,42881 km 2,http://blocgame.com/stats.php?id=47207,,
Sovngarde,Farron47,The Order,82k active personnel,4 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 7 hours ago,30 Hundred Tons per month,8 Mbbl per month,Central Planning,$2827 million,509 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,43859 km 2,http://blocgame.com/stats.php?id=62626,,
VinnyNation,VinnyRuler,Brotherhood of Nod,47k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$2805 million,191 Mbbl; 4 Mbbl,Untapped,Somewhat Large,Congo,Soviet Union,25007 km 2,http://blocgame.com/stats.php?id=62972,,
Cirno,jc99,The Federal Colonies,158k active personnel,4 ships,Second World War surplus,Angelic,6 factories,Poor,online now,34 Hundred Tons per month,2 Mbbl per month,Free Market,$2799 million,242 Mbbl,Untapped,Large,Caribbean,United States,41625 km 2,http://blocgame.com/stats.php?id=43375,1 Tons,
Mirah,Filzah,The Order,128k active personnel,9 ships,Korean War surplus,Gandhi-like,4 factories,Good,online now,25 Hundred Tons per month,12 Mbbl per month,Central Planning,$2782 million,268 Mbbl; 12 Mbbl,Untapped,Powerful,China,Soviet Union,26843 km 2,http://blocgame.com/stats.php?id=64191,,
Raja Udang,Mario,PIRATES,33k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,18 Hundred Tons per month,8 Mbbl per month,Free Market,$2779 million,119 Mbbl; 8 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,36135 km 2,http://blocgame.com/stats.php?id=61754,,
