country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
TheDarkSide,LordVader,The Divine Council,106k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 8 hours ago,27 Hundred Tons per month,3 Mbbl per month,Central Planning,$4259 million,960 Mbbl; 3 Mbbl,Plentiful,Very Powerful,1 Tons,East Indies,Soviet Union,85158 km 2,http://blocgame.com/stats.php?id=63139,
Platypus Island,Mark0Polo,SPQR,208k active personnel,8 ships,Second World War surplus,Gandhi-like,5 factories,Poor,online now,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$3883 million,32 Mbbl; 21 Mbbl,Near Depletion,Very Powerful,,Indochina,Soviet Union,39822 km 2,http://blocgame.com/stats.php?id=63909,
Raja Udang,Mario,PIRATES,33k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 17 hours ago,18 Hundred Tons per month,8 Mbbl per month,Free Market,$3550 million,117 Mbbl; 8 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,37944 km 2,http://blocgame.com/stats.php?id=61754,
Morovistan,Gustave Bergher,The Divine Council,78k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 5 hours ago,18 Hundred Tons per month,13 Mbbl per month,Central Planning,$3422 million,3914 Mbbl; 13 Mbbl,Untapped,Powerful,,Mesopotamia,Soviet Union,31247 km 2,http://blocgame.com/stats.php?id=62905,
Sovngarde,Farron47,The Order,95k active personnel,5 ships,Korean War surplus,Angelic,5 factories,Elite,online now,31 Hundred Tons per month,8 Mbbl per month,Central Planning,$3415 million,613 Mbbl; 8 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,46383 km 2,http://blocgame.com/stats.php?id=62626,
Tuonela,Beelzebub,The Order,116k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,38 Hundred Tons per month,3 Mbbl per month,Central Planning,$3396 million,332 Mbbl; 3 Mbbl,Untapped,Very Powerful,,The Subcontinent,Soviet Union,44874 km 2,http://blocgame.com/stats.php?id=389,
Newsoka,E Mark,The Divine Council,11k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 3 hours ago,33 Hundred Tons per month,15 Mbbl per month,Mixed Economy,$3150 million,506 Mbbl,Untapped,Large,,Indochina,United States,27324 km 2,http://blocgame.com/stats.php?id=63105,
LOCAI,Agumentic,Brotherhood of Nod,59k active personnel,1 ships,Second World War surplus,Gandhi-like,4 factories,Good,last online 12 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$3112 million,274 Mbbl; 6 Mbbl,Untapped,Very Powerful,,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011,
Aasyria,David al-Assad,The Order,98k active personnel,7 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 10 hours ago,35 Hundred Tons per month,15 Mbbl per month,Central Planning,$3112 million,4072 Mbbl,Plentiful,Very Powerful,,Mesopotamia,Soviet Union,45142 km 2,http://blocgame.com/stats.php?id=60967,
Conferan,Cryptox,The Divine Council,118k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Good,online now,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$3046 million,348 Mbbl,Untapped,Very Powerful,1 Tons,East Indies,Soviet Union,52919 km 2,http://blocgame.com/stats.php?id=56710,
