country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Tamarlania,Vagrant,The High Council,39k active personnel,1 ships,First World War surplus,Nice,3 factories,Elite,last online 15 hours ago,4 Hundred Tons per month,57 Mbbl per month,Free Market,$1280 million,5169 Mbbl,Untapped,Somewhat Large,1 Tons,Mesopotamia,United States,38547 km 2,http://blocgame.com/stats.php?id=61626
Tuonela,Beelzebub,The Order,54k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,17 Hundred Tons per month,2 Mbbl per month,Central Planning,$1223 million,406 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,The Subcontinent,Soviet Union,39557 km 2,http://blocgame.com/stats.php?id=389
Morovistan,Gustave Bergher,The High Council,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,13 Hundred Tons per month,13 Mbbl per month,Mixed Economy,$982 million,3726 Mbbl; 13 Mbbl,Untapped,Small,,Mesopotamia,Soviet Union,27224 km 2,http://blocgame.com/stats.php?id=62905
Kritch,Zorn,Brotherhood of Nod,74k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 8 hours ago,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$973 million,612 Mbbl; 3 Mbbl,Plentiful,Small,,The Subcontinent,Soviet Union,38312 km 2,http://blocgame.com/stats.php?id=63155
Femtonesia,1101,Comintern,59k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Standard,online now,17 Hundred Tons per month,2 Mbbl per month,Central Planning,$957 million,208 Mbbl; 2 Mbbl,Untapped,Meagre,,Pacific Rim,Soviet Union,37416 km 2,http://blocgame.com/stats.php?id=63083
South Uganda,Dr. Idi Amin,Brotherhood of Zion,53k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,23 Hundred Tons per month,4 Mbbl per month,Central Planning,$913 million,484 Mbbl; 4 Mbbl,Untapped,Somewhat Large,,Southern Africa,Soviet Union,39393 km 2,http://blocgame.com/stats.php?id=63128
bakhang,cukobi,The Order,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 1 hours ago,13 Hundred Tons per month,6 Mbbl per month,Central Planning,$927 million,1451 Mbbl; 6 Mbbl,Untapped,Mediocre,,Atlas,Neutral,40085 km 2,http://blocgame.com/stats.php?id=60485
Derse Moon,Jack Noir,The Order,38k active personnel,8 ships,Second World War surplus,Good,5 factories,Elite,online now,40 Hundred Tons per month,40 Mbbl per month,Free Market,$896 million,21417 Mbbl,Untapped,Very Powerful,,Egypt,United States,60501 km 2,http://blocgame.com/stats.php?id=62965
Platypus Island,Mark0Polo,SPQR,51k active personnel,0 ships,First World War surplus,Angelic,2 factories,Elite,last online 1 hours ago,12 Hundred Tons per month,9 Mbbl per month,Central Planning,$932 million,797 Mbbl; 9 Mbbl,Untapped,Mediocre,,Indochina,Soviet Union,23982 km 2,http://blocgame.com/stats.php?id=63909
ZAMENTA,ShAh FAr HAn,The Order,68k active personnel,1 ships,First World War surplus,Nice,2 factories,Standard,last online 5 hours ago,9 Hundred Tons per month,7 Mbbl per month,Central Planning,$851 million,359 Mbbl; 7 Mbbl,,Mediocre,,Pacific Rim,Soviet Union,39122 km 2,http://blocgame.com/stats.php?id=61998
Morjei,FlairWoW,Brotherhood of Zion,38k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,online now,14 Hundred Tons per month,3 Mbbl per month,Central Planning,$860 million,128 Mbbl; 3 Mbbl,Untapped,Small,,Indochina,Soviet Union,39862 km 2,http://blocgame.com/stats.php?id=53068
German Empire,Frederick the Great,SPQR,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 23 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$863 million,4453 Mbbl,Untapped,Somewhat Large,,Egypt,Soviet Union,27600 km 2,http://blocgame.com/stats.php?id=63053
Russophia,Mikhail Putin,SPQR,9k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 10 hours ago,2 Hundred Tons per month,4 Mbbl per month,Central Planning,$885 million,4 Mbbl,Untapped,None,,Arabia,Soviet Union,11575 km 2,http://blocgame.com/stats.php?id=54426
Conferan,Cryptox,The High Council,79k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,online now,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$827 million,557 Mbbl,Untapped,Large,,East Indies,Soviet Union,37659 km 2,http://blocgame.com/stats.php?id=56710
Asians,bigyihsuan,The High Council,31k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 21 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$863 million,378 Mbbl; 2 Mbbl,Plentiful,None,,Pacific Rim,Neutral,16667 km 2,http://blocgame.com/stats.php?id=41551
Markovia,RDM HC,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,8 Hundred Tons per month,4 Mbbl per month,Free Market,$836 million,462 Mbbl; 4 Mbbl,Untapped,Mediocre,,Caribbean,United States,35854 km 2,http://blocgame.com/stats.php?id=58369
Savannah,Watersfall,The United Nations,78k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$814 million,57 Mbbl,Plentiful,Small,,Pacific Rim,Soviet Union,34261 km 2,http://blocgame.com/stats.php?id=49817
Memiaya,MrRoth,Che Guevara League,44k active personnel,0 ships,Second World War surplus,Normal,1 factory,Good,online now,18 Hundred Tons per month,3 Mbbl per month,Central Planning,$820 million,562 Mbbl; 3 Mbbl,Untapped,Large,1 Tons,Caribbean,Soviet Union,45699 km 2,http://blocgame.com/stats.php?id=62980
Cirno,jc99,The Federal Colonies,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,25 Hundred Tons per month,2 Mbbl per month,Free Market,$829 million,304 Mbbl,Untapped,Small,,Caribbean,United States,39052 km 2,http://blocgame.com/stats.php?id=43375
Asiana,El_Xanatos,The High Council,37k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 2 hours ago,18 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$809 million,22 Mbbl; 2 Mbbl,Plentiful,Small,,Indochina,United States,38887 km 2,http://blocgame.com/stats.php?id=62221
Uzbekistanstan,Shaikh Zayer,The Order,33k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,20 Hundred Tons per month,3 Mbbl per month,Free Market,$814 million,542 Mbbl,Plentiful,Mediocre,,Congo,United States,36651 km 2,http://blocgame.com/stats.php?id=47207
Cyleia,Silas Adar,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,online now,6 Hundred Tons per month,5 Mbbl per month,Free Market,$830 million,590 Mbbl; 5 Mbbl,Untapped,Somewhat Large,,Mesoamerica,United States,28634 km 2,http://blocgame.com/stats.php?id=62784
Ambon,Chalkface,The Order,43k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,16 Hundred Tons per month,5 Mbbl per month,Central Planning,$793 million,509 Mbbl; 5 Mbbl,,Small,,Pacific Rim,Soviet Union,35612 km 2,http://blocgame.com/stats.php?id=42744
LOCAI,Agumentic,Brotherhood of Zion,23k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$812 million,218 Mbbl; 2 Mbbl,Untapped,Somewhat Large,,The Subcontinent,United States,36048 km 2,http://blocgame.com/stats.php?id=53011
Rome Reloaded,Tiberius Ceaser,SPQR,32k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Good,last online 10 hours ago,13 Hundred Tons per month,3 Mbbl per month,Central Planning,$841 million,2204 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,13517 km 2,http://blocgame.com/stats.php?id=1421
Irondale,Roger Red,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 168 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$837 million,2789 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=63209
Communistutopia,Bill Broskis,The Order,41k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$793 million,4830 Mbbl; 5 Mbbl,Untapped,Small,,Persia,Soviet Union,32240 km 2,http://blocgame.com/stats.php?id=49796
Ivalice,Nighthawk571,Interpol,39k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,11 Hundred Tons per month,9 Mbbl per month,Central Planning,$801 million,2419 Mbbl; 9 Mbbl,Untapped,Small,,Arabia,Soviet Union,33781 km 2,http://blocgame.com/stats.php?id=63060
al-Bahrayn,dbdb,The Order,38k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 11 hours ago,7 Hundred Tons per month,7 Mbbl per month,Central Planning,$800 million,941 Mbbl; 7 Mbbl,Untapped,Somewhat Large,,Mesopotamia,Soviet Union,30107 km 2,http://blocgame.com/stats.php?id=59775
