aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
37k active personnel,Dirk-Dirkastan,The Order,16k active personnel,,Pavlik,http://blocgame.com/news.php?page=1
42k active personnel,Minmaxia,Brotherhood of Zion,3k active personnel,The High Council,Wick,http://blocgame.com/news.php?page=1
41k active personnel,Lemonstan,Brotherhood of Nod,13k active personnel,The Order,Pan-demo-nium,http://blocgame.com/news.php?page=1
40k active personnel,south nation,PIRATES,8k active personnel,,bluestormy,http://blocgame.com/news.php?page=1
44k active personnel,awanghitam,The High Council,17k active personnel,,Gorland,http://blocgame.com/news.php?page=1
38k active personnel,Cirno,The Federal Colonies,14k active personnel,,South Minnesota,http://blocgame.com/news.php?page=1
46k active personnel,lordmason22,Brotherhood of Zion,31k active personnel,The United Nations,Androzia,http://blocgame.com/news.php?page=1
25k active personnel,Brutish Empire,Comintern,12k active personnel,,Falk,http://blocgame.com/news.php?page=1
28k active personnel,Neu-Berlin,The Order,25k active personnel,,Jbmach3,http://blocgame.com/news.php?page=1
23k active personnel,New Luzon,The Order,8k active personnel,,Yanzen,http://blocgame.com/news.php?page=1
49k active personnel,Praetoria Augusta,SPQR,4k active personnel,,Douchistan,http://blocgame.com/news.php?page=1
38k active personnel,Waifus,Che Guevara League,2k active personnel,,Carthya,http://blocgame.com/news.php?page=1
37k active personnel,Sector 6,The Order,22k active personnel,,Gerik,http://blocgame.com/news.php?page=1
44k active personnel,Kritch,Brotherhood of Nod,0k active personnel,,MayMay,http://blocgame.com/news.php?page=1
45k active personnel,Myhouse,,17k active personnel,The Order,Nueva Occitania,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
43k active personnel,The Shitposters,The Order,16k active personnel,,1428,http://blocgame.com/news.php?page=2
41k active personnel,MumbosMountain,The United Nations,7k active personnel,,Austone,http://blocgame.com/news.php?page=2
50k active personnel,Awesomeria,Brotherhood of Zion,8k active personnel,African Union,Burgaria,http://blocgame.com/news.php?page=2
24k active personnel,Cuttlefish,Interpol,25k active personnel,,Baffa,http://blocgame.com/news.php?page=2
40k active personnel,kodiang,,16k active personnel,,United Pacific,http://blocgame.com/news.php?page=2
17k active personnel,Boukachkistan,,5k active personnel,,Islamic Nations,http://blocgame.com/news.php?page=2
22k active personnel,North Nubia,/Pol/acks,3k active personnel,,kasturi,http://blocgame.com/news.php?page=2
30k active personnel,Prometheus,Interpol,21k active personnel,Followers of Guadian,the murloc,http://blocgame.com/news.php?page=2
24k active personnel,Tanus,Brotherhood of Zion,7k active personnel,,Bubstonia,http://blocgame.com/news.php?page=2
20k active personnel,CubeHead,SPQR,14k active personnel,,Phoenesia,http://blocgame.com/news.php?page=2
10k active personnel,Borderia,The United Nations,30k active personnel,,Trump Towers,http://blocgame.com/news.php?page=2
25k active personnel,Keksimania,The Order,5k active personnel,,Aincrad,http://blocgame.com/news.php?page=2
31k active personnel,Communistutopia,The Order,15k active personnel,,Qaramur,http://blocgame.com/news.php?page=2
30k active personnel,Trump Towers,,23k active personnel,The United Nations,New Armenia,http://blocgame.com/news.php?page=2
39k active personnel,Lombardy,The Order,7k active personnel,,Atyrauistan,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
41k active personnel,blanco,The Order,11k active personnel,,Del,http://blocgame.com/news.php?page=3
20k active personnel,RadYugoslavija,The High Council,10k active personnel,,The UCOA,http://blocgame.com/news.php?page=3
30k active personnel,Zeon Alliance,The High Council,2k active personnel,,Japanesia,http://blocgame.com/news.php?page=3
24k active personnel,Bruce Man,The High Council,8k active personnel,,durkadurkas,http://blocgame.com/news.php?page=3
33k active personnel,Deagle Nation!,Brotherhood of Nod,2k active personnel,,OnlyJuanOvue,http://blocgame.com/news.php?page=3
9k active personnel,kweensnkans,The Order,41k active personnel,PIRATES,RacRus,http://blocgame.com/news.php?page=3
41k active personnel,Tandak,PIRATES,4k active personnel,,Mont Blanc,http://blocgame.com/news.php?page=3
22k active personnel,VinnyNation,Brotherhood of Zion,2k active personnel,,Jenania,http://blocgame.com/news.php?page=3
37k active personnel,Puella-Magia,Comintern,4k active personnel,,Drelinka,http://blocgame.com/news.php?page=3
38k active personnel,ZAMENTA,The Order,1k active personnel,,Apokalyptom,http://blocgame.com/news.php?page=3
47k active personnel,Kennethland,The Order,4k active personnel,Che Guevara League,Sintra,http://blocgame.com/news.php?page=3
42k active personnel,NMZ,Brotherhood of Zion,10k active personnel,Divine League,Feffiopia,http://blocgame.com/news.php?page=3
40k active personnel,Chaouenne,The High Council,4k active personnel,,Norwegia,http://blocgame.com/news.php?page=3
