aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
38k active personnel,The Abarat,The Khilafah,22k active personnel,,Oilpotamia,http://blocgame.com/news.php?page=1
79k active personnel,Vanan,The Order,4k active personnel,,Aratana Kibo,http://blocgame.com/news.php?page=1
45k active personnel,Almania,Brotherhood of Nod,1k active personnel,,Toron,http://blocgame.com/news.php?page=1
39k active personnel,Pingaslavia,Interpol,2k active personnel,,Cartenesia,http://blocgame.com/news.php?page=1
59k active personnel,Aeter,The Order,31k active personnel,ISIS,Bantersciz,http://blocgame.com/news.php?page=1
29k active personnel,Baden,The High Council,24k active personnel,,Nusa Java,http://blocgame.com/news.php?page=1
43k active personnel,Buzir,Che Guevara League,9k active personnel,,Inoroth,http://blocgame.com/news.php?page=1
40k active personnel,Azhdahagate,Brotherhood of Nod,6k active personnel,,Agracia,http://blocgame.com/news.php?page=1
30k active personnel,Junoma,Brotherhood of Zion,15k active personnel,Che Guevara League,Nueva Galicia,http://blocgame.com/news.php?page=1
34k active personnel,Blackwater Inc,PIRATES,26k active personnel,The Federal Colonies,NL-Indies,http://blocgame.com/news.php?page=1
60k active personnel,Tanah Malaya,PIRATES,14k active personnel,Illuminati,House Tyrell,http://blocgame.com/news.php?page=1
61k active personnel,Feffiopia,Divine League,36k active personnel,Interpol,Brunstovia,http://blocgame.com/news.php?page=1
72k active personnel,Nhayat,The Order,16k active personnel,The Federal Colonies,Karat,http://blocgame.com/news.php?page=1
22k active personnel,Ashoqa,Brotherhood of Nod,22k active personnel,,Petrovistan,http://blocgame.com/news.php?page=1
38k active personnel,Kyranistan,Comintern,4k active personnel,SPQR,mani,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
53k active personnel,Sovngarde,The High Council,27k active personnel,,Cempaka,http://blocgame.com/news.php?page=2
99k active personnel,ileristanistan,The Order,2k active personnel,The Unknown,The Monarch,http://blocgame.com/news.php?page=2
55k active personnel,Gulam,PIRATES,68k active personnel,The Federal Colonies,TheDarkSide,http://blocgame.com/news.php?page=2
32k active personnel,KakMahRevenge,,6k active personnel,,Enggor Perak,http://blocgame.com/news.php?page=2
35k active personnel,Olut,Al-Qassam Brigades,5k active personnel,,Golden Woods,http://blocgame.com/news.php?page=2
31k active personnel,Bantersciz,ISIS,8k active personnel,Brotherhood of Zion,Alohaha,http://blocgame.com/news.php?page=2
57k active personnel,Melaka,The High Council,3k active personnel,,Red Crazyguy,http://blocgame.com/news.php?page=2
41k active personnel,Addin-territory,PIRATES,2k active personnel,,1428,http://blocgame.com/news.php?page=2
40k active personnel,Idaho,The Order,11k active personnel,,newlind,http://blocgame.com/news.php?page=2
74k active personnel,Parit Sayang,,6k active personnel,,Clearwater,http://blocgame.com/news.php?page=2
46k active personnel,Kamikazie,PIRATES,2k active personnel,,Ashraff,http://blocgame.com/news.php?page=2
79k active personnel,Iwo Jima,The Order,12k active personnel,,Gorgoroth,http://blocgame.com/news.php?page=2
67k active personnel,Mongolstan,Brotherhood of Zion,2k active personnel,,Skhrimm,http://blocgame.com/news.php?page=2
32k active personnel,Efren,Che Guevara League,2k active personnel,,National_East,http://blocgame.com/news.php?page=2
73k active personnel,Olympia,Brotherhood of Zion,25k active personnel,,Baloq,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
31k active personnel,Gammaria,,10k active personnel,,Luxuria,http://blocgame.com/news.php?page=3
78k active personnel,Kritch,Brotherhood of Nod,31k active personnel,The High Council,CTSKRR,http://blocgame.com/news.php?page=3
63k active personnel,Pooland,Brotherhood of Zion,2k active personnel,,Ilumina,http://blocgame.com/news.php?page=3
53k active personnel,Kekistonia,The Order,1k active personnel,,Hephaestus,http://blocgame.com/news.php?page=3
67k active personnel,carefree,The Order,2k active personnel,,kuci,http://blocgame.com/news.php?page=3
22k active personnel,Petrovistan,,21k active personnel,,RODINA,http://blocgame.com/news.php?page=3
53k active personnel,Cascoia,The United Nations,18k active personnel,Brotherhood of Nod,Royal Babylon,http://blocgame.com/news.php?page=3
79k active personnel,HiredGun,The Order,2k active personnel,,lordmason22,http://blocgame.com/news.php?page=3
57k active personnel,Lemonstan,Brotherhood of Nod,1k active personnel,SPQR,Honesty,http://blocgame.com/news.php?page=3
92k active personnel,Avarice,Brotherhood of Nod,20k active personnel,PIRATES,Persona-Grata,http://blocgame.com/news.php?page=3
53k active personnel,Uzbekistan.,Brotherhood of Nod,43k active personnel,The Khilafah,Zanyslavia,http://blocgame.com/news.php?page=3
57k active personnel,MyKingdom,PIRATES,20k active personnel,,Republic Malaya,http://blocgame.com/news.php?page=3
58k active personnel,SUNGAI KERAK,PIRATES,13k active personnel,The High Council,East Black Rock,http://blocgame.com/news.php?page=3
20k active personnel,Persona-Grata,PIRATES,12k active personnel,,qaiserazalea,http://blocgame.com/news.php?page=3
32k active personnel,ENdau 2,PIRATES,1k active personnel,,Berlanto,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
34k active personnel,oreoxmonster,The High Council,2k active personnel,,Kunkel,http://blocgame.com/news.php?page=4
30k active personnel,Blackpearl,,33k active personnel,,Asear,http://blocgame.com/news.php?page=4
2k active personnel,Picanninia,,27k active personnel,Brotherhood of Zion,Psychotropia,http://blocgame.com/news.php?page=4
32k active personnel,Caladan,The Order,31k active personnel,,Courlandia,http://blocgame.com/news.php?page=4
99k active personnel,North Nubia,,3k active personnel,Brotherhood of Nod,Subcon,http://blocgame.com/news.php?page=4
9k active personnel,Nimei,Illuminati,34k active personnel,The Order,Dicktopia,http://blocgame.com/news.php?page=4
56k active personnel,Obsrany Chlew,Lithuanian Coalition,5k active personnel,,Miserupia,http://blocgame.com/news.php?page=4
65k active personnel,Prometheus,Brotherhood of Zion,20k active personnel,,Angel,http://blocgame.com/news.php?page=4
105k active personnel,Acirassi,The Order,3k active personnel,The Federal Colonies,Sarnath,http://blocgame.com/news.php?page=4
62k active personnel,East Nubia,The Order,8k active personnel,,Elos,http://blocgame.com/news.php?page=4
62k active personnel,Ghost Shark,PIRATES,51k active personnel,Brotherhood of Nod,Jam,http://blocgame.com/news.php?page=4
49k active personnel,Gobi,Brotherhood of Zion,2k active personnel,The Order,Sheena,http://blocgame.com/news.php?page=4
35k active personnel,Chistriania,The United Nations,45k active personnel,,Veganism,http://blocgame.com/news.php?page=4
44k active personnel,Langgarpura,The Order,2k active personnel,,Tiny Island,http://blocgame.com/news.php?page=4
39k active personnel,Aaronafeltz,Che Guevara League,2k active personnel,,MTNRGuania,http://blocgame.com/news.php?page=4
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=5
59k active personnel,south nation,PIRATES,3k active personnel,,Tuaran,http://blocgame.com/news.php?page=5
