country,alliance,pageUrl,uranium
Platypus Island,SPQR,http://blocgame.com/stats.php?id=63909,
Tamarlania,The High Council,http://blocgame.com/stats.php?id=61626,
Jebawka,The Order,http://blocgame.com/stats.php?id=54304,
Tuonela,The Order,http://blocgame.com/stats.php?id=389,
Femtonesia,Comintern,http://blocgame.com/stats.php?id=63083,
Newsoka,The High Council,http://blocgame.com/stats.php?id=63105,
Morovistan,The High Council,http://blocgame.com/stats.php?id=62905,
Rome Reloaded,SPQR,http://blocgame.com/stats.php?id=1421,1
Ekodebota,The High Council,http://blocgame.com/stats.php?id=53422,
German Empire,SPQR,http://blocgame.com/stats.php?id=63053,
temasik,SPQR,http://blocgame.com/stats.php?id=62827,
constania,Divine League,http://blocgame.com/stats.php?id=62606,
North Nubia,,http://blocgame.com/stats.php?id=63084,
Asians,The High Council,http://blocgame.com/stats.php?id=41551,
Biji Kurdistan,Comintern,http://blocgame.com/stats.php?id=52906,
Feffiopia,Divine League,http://blocgame.com/stats.php?id=46505,
Cyleia,The Order,http://blocgame.com/stats.php?id=62784,
Uzbekistanstan,The Order,http://blocgame.com/stats.php?id=47207,
VinnyNation,Brotherhood of Zion,http://blocgame.com/stats.php?id=62972,
Conferan,The High Council,http://blocgame.com/stats.php?id=56710,1
Lorigan,The High Council,http://blocgame.com/stats.php?id=59787,
Cirno,The Federal Colonies,http://blocgame.com/stats.php?id=43375,
Shambala,Brotherhood of Nod,http://blocgame.com/stats.php?id=41268,1
Morjei,Brotherhood of Zion,http://blocgame.com/stats.php?id=53068,
Ivalice,Interpol,http://blocgame.com/stats.php?id=63060,
LOCAI,Brotherhood of Nod,http://blocgame.com/stats.php?id=53011,
South Uganda,Brotherhood of Zion,http://blocgame.com/stats.php?id=63128,
BongoBongoBongo,The Order,http://blocgame.com/stats.php?id=63942,
Senglia,Farmington Brigade,http://blocgame.com/stats.php?id=62920,
Lombardy,The Order,http://blocgame.com/stats.php?id=63882,
al-Bahrayn,The Order,http://blocgame.com/stats.php?id=59775,
Worthless Sand,Brotherhood of Nod,http://blocgame.com/stats.php?id=63192,
Sepidajistan,Al-Qassam Brigades,http://blocgame.com/stats.php?id=59462,
Junovia,Interpol,http://blocgame.com/stats.php?id=63088,
Zeon Alliance,The High Council,http://blocgame.com/stats.php?id=62248,1
Cameronia,Che Guevara League,http://blocgame.com/stats.php?id=62688,
the Haunted,Brotherhood of Zion,http://blocgame.com/stats.php?id=63020,
bakhang,The Order,http://blocgame.com/stats.php?id=60485,
Markovia,The Federal Colonies,http://blocgame.com/stats.php?id=58369,
