country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,oil_reserves,region/_text,uranium,manpower,airforce,region,territory,pageUrl
Bourbon Island,Gypsy Danger,http://blocgame.com/alliancestats.php?allianceid=1568,111k active personnel,9 ships,Almost Modern,10 factories,Elite,last online 8 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$9337 million,alliancestats.php?allianceid=1568,3008 Mbbl,Egypt,,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,43779 km 2,http://blocgame.com/stats.php?id=41247
Central Haven,El Ma�ana,http://blocgame.com/alliancestats.php?allianceid=1682,43k active personnel,11 ships,Vietnam War surplus,5 factories,Good,last online 3 hours ago,rankings.php?subregion=ara,S.T.A.L.K.E.R.,$7689 million,alliancestats.php?allianceid=1682,11139 Mbbl,Arabia,,,Powerful,http://blocgame.com/rankings.php?subregion=ara,22891 km 2,http://blocgame.com/stats.php?id=55569
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1382,138k active personnel,22 ships,Almost Modern,4 factories,Elite,last online 19 hours ago,rankings.php?subregion=atl,Non-Aligned Movement,$7590 million,alliancestats.php?allianceid=1382,1457 Mbbl,Atlas,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,34340 km 2,http://blocgame.com/stats.php?id=49465
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,218k active personnel,43 ships,Persian Gulf War surplus,10 factories,Good,last online 10 hours ago,rankings.php?subregion=ara,Wreckage brothers,$7442 million,alliancestats.php?allianceid=1599,,Arabia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,53675 km 2,http://blocgame.com/stats.php?id=52889
PMAOA,Mbatume II,http://blocgame.com/alliancestats.php?allianceid=1595,9k active personnel,20 ships,Korean War surplus,3 factories,Good,online now,rankings.php?subregion=gui,The High Council,$5935 million,alliancestats.php?allianceid=1595,,Guinea,,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=gui,8887 km 2,http://blocgame.com/stats.php?id=54574
Gatistan,Gaston Stallman,http://blocgame.com/alliancestats.php?allianceid=1682,138k active personnel,5 ships,Vietnam War surplus,8 factories,Elite,last online 2 hours ago,rankings.php?subregion=atl,S.T.A.L.K.E.R.,$7098 million,alliancestats.php?allianceid=1682,,Atlas,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,35947 km 2,http://blocgame.com/stats.php?id=55805
Utopia,Ozymandias,http://blocgame.com/alliancestats.php?allianceid=1393,239k active personnel,50 ships,Persian Gulf War surplus,28 factories,Standard,last online 5 hours ago,rankings.php?subregion=ara,BAMF,$6470 million,alliancestats.php?allianceid=1393,,Arabia,,,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,241317 km 2,http://blocgame.com/stats.php?id=40759
CIRD,John Wayne Gasey,http://blocgame.com/alliancestats.php?allianceid=1651,239k active personnel,30 ships,Persian Gulf War surplus,12 factories,Good,last online 15 hours ago,rankings.php?subregion=ara,UoHN,$6495 million,alliancestats.php?allianceid=1651,,Arabia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,70026 km 2,http://blocgame.com/stats.php?id=51022
North Arstozka,BasedRussia,http://blocgame.com/alliancestats.php?allianceid=1599,184k active personnel,43 ships,Almost Modern,7 factories,Good,last online 30 hours ago,rankings.php?subregion=ara,Wreckage brothers,$6233 million,alliancestats.php?allianceid=1599,,Arabia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,39650 km 2,http://blocgame.com/stats.php?id=53593
Orendoria,Sir Grammar Nazi,http://blocgame.com/alliancestats.php?allianceid=1393,229k active personnel,16 ships,Almost Modern,11 factories,Elite,last online 8 hours ago,rankings.php?subregion=egy,BAMF,$6105 million,alliancestats.php?allianceid=1393,,Egypt,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44362 km 2,http://blocgame.com/stats.php?id=52948
