country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,oil_reserves,region/_text,uranium,manpower,airforce,region,territory,pageUrl
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1644,469k active personnel,83 ships,Advanced,31 factories,Elite,last online 4 hours ago,rankings.php?subregion=ara,Inter/pol/,$27999 million,alliancestats.php?allianceid=1644,6408 Mbbl,Arabia,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,160627 km 2,http://blocgame.com/stats.php?id=52331
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,437k active personnel,35 ships,Almost Modern,18 factories,Standard,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27597 million,alliancestats.php?allianceid=1568,,Southern Cone,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,254k active personnel,61 ships,Persian Gulf War surplus,15 factories,Elite,last online 12 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$26836 million,alliancestats.php?allianceid=1568,,China,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,79k active personnel,51 ships,Persian Gulf War surplus,13 factories,Elite,last online 54 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$25184 million,alliancestats.php?allianceid=1568,,Congo,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,34507 km 2,http://blocgame.com/stats.php?id=40233
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,301k active personnel,39 ships,Persian Gulf War surplus,15 factories,Elite,online now,rankings.php?subregion=mes,Wreckage brothers,$19945 million,alliancestats.php?allianceid=1599,,Mesopotamia,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,292k active personnel,29 ships,Advanced,15 factories,Good,last online 29 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$19227 million,alliancestats.php?allianceid=1568,11325 Mbbl,Mesopotamia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,960k active personnel,58 ships,Advanced,27 factories,Standard,last online 9 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$18474 million,alliancestats.php?allianceid=1568,,China,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,104927 km 2,http://blocgame.com/stats.php?id=47945
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,198k active personnel,50 ships,Persian Gulf War surplus,11 factories,Elite,last online 6 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$18975 million,alliancestats.php?allianceid=1568,,Indochina,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,41223 km 2,http://blocgame.com/stats.php?id=53068
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,238k active personnel,54 ships,Persian Gulf War surplus,12 factories,Good,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,$18979 million,alliancestats.php?allianceid=1401,508 Mbbl,Caribbean,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,239k active personnel,51 ships,Persian Gulf War surplus,17 factories,Standard,last online 1 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$18700 million,alliancestats.php?allianceid=1568,10208 Mbbl,Egypt,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,138k active personnel,27 ships,Almost Modern,9 factories,Elite,last online 6 hours ago,rankings.php?subregion=ama,The High Council,$18555 million,alliancestats.php?allianceid=1595,57 Mbbl,Amazonia,1 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1382,144k active personnel,57 ships,Persian Gulf War surplus,12 factories,Elite,last online 9 hours ago,rankings.php?subregion=con,Non-Aligned Movement,$18586 million,alliancestats.php?allianceid=1382,,Southern Cone,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,299k active personnel,51 ships,Advanced,15 factories,Good,last online 3 hours ago,rankings.php?subregion=atl,Wreckage brothers,$18409 million,alliancestats.php?allianceid=1599,,Atlas,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,78320 km 2,http://blocgame.com/stats.php?id=53422
Death1812,Death1812,http://blocgame.com/alliancestats.php?allianceid=1576,216k active personnel,59 ships,Persian Gulf War surplus,12 factories,Standard,last online 32 hours ago,rankings.php?subregion=con,The Last Phoenix,$18116 million,alliancestats.php?allianceid=1576,,Southern Cone,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,35225 km 2,http://blocgame.com/stats.php?id=50027
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,199k active personnel,33 ships,Persian Gulf War surplus,10 factories,Good,last online 24 hours ago,rankings.php?subregion=pac,BAMF,$17815 million,alliancestats.php?allianceid=1393,,Pacific Rim,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,50704 km 2,http://blocgame.com/stats.php?id=52235
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,118k active personnel,50 ships,Persian Gulf War surplus,10 factories,Elite,last online 3 hours ago,rankings.php?subregion=saf,BAMF,$17830 million,alliancestats.php?allianceid=1393,,Southern Africa,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,42203 km 2,http://blocgame.com/stats.php?id=53011
