country,leader,alliance,army_size,navy,equipment,factories,training,last_online,gdp,oil_reserves,region/_text,uranium,manpower,airforce,territory,pageUrl,
Truinibad,Truin Andrest,Inter/pol/,456,86,Advanced,31,Elite,4,28171,6196,Arabia,2,Untapped,Very Powerful,161313,http://blocgame.com/stats.php?id=52331,
Skanonia,Beefy,Brotherhood of Zion,441,35,Almost Modern,18,Standard,15,27668,0,Southern Cone,0,Untapped,Very Powerful,28436,http://blocgame.com/stats.php?id=44384,
Olympia,Xasthur,Brotherhood of Zion,258,63,Persian Gulf War surplus,15,Elite,1,26961,0,China,0,Plentiful,Very Powerful,44959,http://blocgame.com/stats.php?id=51354,
Africanistan,Jacques Strahp,Brotherhood of Zion,15,40,Persian Gulf War surplus,13,Good,81,25368,0,Congo,0,Untapped,Very Powerful,33821,http://blocgame.com/stats.php?id=40233,
Best Syria,Bashar Hafez al-Assad,Wreckage brothers,309,39,Persian Gulf War surplus,15,Elite,2,20024,0,Mesopotamia,0,Plentiful,Very Powerful,85275,http://blocgame.com/stats.php?id=52852,
Minmaxia,Reanchi,Brotherhood of Zion,324,30,Advanced,15,Elite,4,19327,11265,Mesopotamia,0,Untapped,Very Powerful,47249,http://blocgame.com/stats.php?id=40270,
Coccoladia,Ernesto Caprone,The Federal Colonies,238,54,Persian Gulf War surplus,12,Good,16,19097,506,Caribbean,0,Untapped,Very Powerful,27330,http://blocgame.com/stats.php?id=40289,
Morjei,FlairWoW,Brotherhood of Zion,184,50,Persian Gulf War surplus,11,Elite,6,18124,0,Indochina,0,0,Very Powerful,42211,http://blocgame.com/stats.php?id=53068,
Arsinoe,Sobek,Brotherhood of Zion,239,51,Persian Gulf War surplus,17,Standard,9,18858,10054,Egypt,0,Untapped,Very Powerful,76898,http://blocgame.com/stats.php?id=49868,
Gertralia,Guillermicus,0,144,56,Persian Gulf War surplus,12,Elite,14,18728,0,Southern Cone,0,Untapped,Powerful,34928,http://blocgame.com/stats.php?id=45604,
