country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,465k active personnel,36 ships,Persian Gulf War surplus,18 factories,Standard,online now,rankings.php?subregion=con,Brotherhood of Zion,$27799 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,279k active personnel,66 ships,Persian Gulf War surplus,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$27249 million,alliancestats.php?allianceid=1568,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,418k active personnel,90 ships,Advanced,31 factories,Elite,last online 8 hours ago,rankings.php?subregion=ara,BAMF,$27206 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,161651 km 2,http://blocgame.com/stats.php?id=52331,5666 Mbbl,2 Tons
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,36k active personnel,41 ships,Persian Gulf War surplus,13 factories,Good,last online 4 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$24569 million,alliancestats.php?allianceid=1568,Congo,,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,323k active personnel,41 ships,Persian Gulf War surplus,15 factories,Good,last online 2 hours ago,rankings.php?subregion=mes,Wreckage brothers,$20222 million,alliancestats.php?allianceid=1599,Mesopotamia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,317k active personnel,45 ships,Persian Gulf War surplus,18 factories,Good,last online 6 hours ago,rankings.php?subregion=ama,BAMF,$20000 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,336k active personnel,31 ships,Advanced,15 factories,Good,online now,rankings.php?subregion=mes,Brotherhood of Zion,$19544 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270,11115 Mbbl,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,908k active personnel,62 ships,Advanced,29 factories,Good,last online 5 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$19092 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,111289 km 2,http://blocgame.com/stats.php?id=47945,,2 Tons
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,238k active personnel,54 ships,Persian Gulf War surplus,12 factories,Good,last online 4 hours ago,rankings.php?subregion=car,The Federal Colonies,$19387 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,501 Mbbl,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,289k active personnel,52 ships,Persian Gulf War surplus,17 factories,Good,last online 7 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$19247 million,alliancestats.php?allianceid=1568,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,9669 Mbbl,
