country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,495k active personnel,41 ships,Persian Gulf War surplus,18 factories,Standard,online now,rankings.php?subregion=con,Brotherhood of Zion,$27809 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,420k active personnel,93 ships,Advanced,31 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,BAMF,$27758 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,161651 km 2,http://blocgame.com/stats.php?id=52331,5022 Mbbl,2 Tons
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,69 ships,Persian Gulf War surplus,15 factories,Elite,last online 4 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$27584 million,alliancestats.php?allianceid=1568,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,36k active personnel,41 ships,Persian Gulf War surplus,14 factories,Standard,last online 2 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$25159 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,359k active personnel,42 ships,Persian Gulf War surplus,15 factories,Elite,last online 30 hours ago,rankings.php?subregion=mes,Wreckage brothers,$20434 million,alliancestats.php?allianceid=1599,Mesopotamia,,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,331k active personnel,46 ships,Persian Gulf War surplus,18 factories,Elite,last online 6 hours ago,rankings.php?subregion=ama,BAMF,$20265 million,alliancestats.php?allianceid=1393,Amazonia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,170k active personnel,50 ships,Persian Gulf War surplus,14 factories,Elite,last online 4 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$20037 million,alliancestats.php?allianceid=1568,Indochina,,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,344k active personnel,31 ships,Advanced,15 factories,Good,last online 7 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$19727 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270,10935 Mbbl,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,238k active personnel,56 ships,Persian Gulf War surplus,12 factories,Standard,last online 6 hours ago,rankings.php?subregion=car,The Federal Colonies,$19735 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,495 Mbbl,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,294k active personnel,52 ships,Persian Gulf War surplus,18 factories,Elite,last online 3 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$19674 million,alliancestats.php?allianceid=1568,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,9207 Mbbl,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,146k active personnel,57 ships,Persian Gulf War surplus,14 factories,Elite,online now,rankings.php?subregion=con,Brotherhood of Zion,$19542 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,116k active personnel,38 ships,Vietnam War surplus,14 factories,Elite,last online 3 hours ago,rankings.php?subregion=mex,BAMF,$19259 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,148k active personnel,27 ships,Almost Modern,10 factories,Elite,last online 3 hours ago,rankings.php?subregion=ama,The High Council,$18998 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,1 Tons
Death1812,Death1812,http://blocgame.com/alliancestats.php?allianceid=1576,222k active personnel,59 ships,Persian Gulf War surplus,12 factories,Good,last online 27 hours ago,rankings.php?subregion=con,The Last Phoenix,$18890 million,alliancestats.php?allianceid=1576,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,35225 km 2,http://blocgame.com/stats.php?id=50027,,
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,86k active personnel,51 ships,Persian Gulf War surplus,13 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,$18773 million,alliancestats.php?allianceid=1393,Southern Africa,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,245k active personnel,51 ships,Persian Gulf War surplus,14 factories,Elite,last online 22 hours ago,rankings.php?subregion=egy,BAMF,$18650 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,43821 km 2,http://blocgame.com/stats.php?id=49204,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Persian Gulf War surplus,12 factories,Elite,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$18588 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,249k active personnel,36 ships,Persian Gulf War surplus,10 factories,Elite,last online 5 hours ago,rankings.php?subregion=pac,BAMF,$18398 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,50704 km 2,http://blocgame.com/stats.php?id=52235,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,253k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 7 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$18244 million,alliancestats.php?allianceid=1568,Congo,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,416k active personnel,13 ships,Almost Modern,19 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,BAMF,$18194 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,
