country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,oil_reserves,region/_text,uranium,manpower,airforce,region,territory,pageUrl
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,420k active personnel,94 ships,Advanced,31 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,BAMF,$27850 million,alliancestats.php?allianceid=1393,4914 Mbbl,Arabia,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,161651 km 2,http://blocgame.com/stats.php?id=52331
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,495k active personnel,41 ships,Persian Gulf War surplus,18 factories,Standard,last online 4 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27795 million,alliancestats.php?allianceid=1568,,Southern Cone,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,69 ships,Persian Gulf War surplus,15 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$27636 million,alliancestats.php?allianceid=1568,,China,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,36k active personnel,41 ships,Persian Gulf War surplus,14 factories,Standard,last online 6 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$25259 million,alliancestats.php?allianceid=1568,,Congo,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,359k active personnel,42 ships,Persian Gulf War surplus,15 factories,Elite,last online 34 hours ago,rankings.php?subregion=mes,Wreckage brothers,$20473 million,alliancestats.php?allianceid=1599,,Mesopotamia,,,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,335k active personnel,46 ships,Persian Gulf War surplus,18 factories,Good,online now,rankings.php?subregion=ama,BAMF,$20314 million,alliancestats.php?allianceid=1393,,Amazonia,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,170k active personnel,50 ships,Persian Gulf War surplus,14 factories,Elite,last online 8 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$20111 million,alliancestats.php?allianceid=1568,,Indochina,,,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,257k active personnel,60 ships,Advanced,18 factories,Good,last online 2 hours ago,rankings.php?subregion=atl,Wreckage brothers,$20073 million,alliancestats.php?allianceid=1599,,Atlas,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,91861 km 2,http://blocgame.com/stats.php?id=53422
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,238k active personnel,56 ships,Persian Gulf War surplus,12 factories,Standard,online now,rankings.php?subregion=car,The Federal Colonies,$19793 million,alliancestats.php?allianceid=1401,494 Mbbl,Caribbean,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,349k active personnel,31 ships,Advanced,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$19753 million,alliancestats.php?allianceid=1568,10905 Mbbl,Mesopotamia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270
