country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,oil_reserves,region/_text,uranium,manpower,airforce,region,territory,pageUrl
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,440k active personnel,100 ships,Advanced,31 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,BAMF,$29025 million,alliancestats.php?allianceid=1393,3510 Mbbl,Arabia,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,161651 km 2,http://blocgame.com/stats.php?id=52331
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,318k active personnel,71 ships,Persian Gulf War surplus,16 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Zion,$28323 million,alliancestats.php?allianceid=1568,,China,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,416k active personnel,48 ships,Persian Gulf War surplus,18 factories,Standard,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27273 million,alliancestats.php?allianceid=1568,,Southern Cone,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,36k active personnel,41 ships,Persian Gulf War surplus,15 factories,Standard,last online 28 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$26583 million,alliancestats.php?allianceid=1568,,Congo,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,50 ships,Persian Gulf War surplus,16 factories,Good,last online 2 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$21133 million,alliancestats.php?allianceid=1568,,Indochina,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,177k active personnel,51 ships,Persian Gulf War surplus,15 factories,Good,last online 3 hours ago,rankings.php?subregion=per,BAMF,$21084 million,alliancestats.php?allianceid=1393,2572 Mbbl,Persia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,359k active personnel,46 ships,Persian Gulf War surplus,15 factories,Elite,online now,rankings.php?subregion=mes,Wreckage brothers,$20980 million,alliancestats.php?allianceid=1599,,Mesopotamia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,85275 km 2,http://blocgame.com/stats.php?id=52852
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,375k active personnel,51 ships,Persian Gulf War surplus,18 factories,Elite,last online 1 hours ago,rankings.php?subregion=ama,BAMF,$20964 million,alliancestats.php?allianceid=1393,,Amazonia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,287k active personnel,68 ships,Advanced,18 factories,Standard,last online 5 hours ago,rankings.php?subregion=atl,Wreckage brothers,$20785 million,alliancestats.php?allianceid=1599,1144 Mbbl,Atlas,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,91861 km 2,http://blocgame.com/stats.php?id=53422
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,294k active personnel,52 ships,Persian Gulf War surplus,19 factories,Good,last online 17 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$20672 million,alliancestats.php?allianceid=1568,8129 Mbbl,Egypt,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,216k active personnel,62 ships,Persian Gulf War surplus,14 factories,Standard,last online 10 hours ago,rankings.php?subregion=car,The Federal Colonies,$20586 million,alliancestats.php?allianceid=1401,481 Mbbl,Caribbean,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,205k active personnel,47 ships,Advanced,15 factories,Good,last online 10 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$20586 million,alliancestats.php?allianceid=1568,,Gran Colombia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,292k active personnel,52 ships,Persian Gulf War surplus,20 factories,Good,online now,rankings.php?subregion=pac,BAMF,$20493 million,alliancestats.php?allianceid=1393,,Pacific Rim,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,118k active personnel,41 ships,Vietnam War surplus,14 factories,Good,last online 2 hours ago,rankings.php?subregion=mex,BAMF,$20470 million,alliancestats.php?allianceid=1393,1 Mbbl,Mesoamerica,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,344k active personnel,33 ships,Advanced,15 factories,Elite,last online 19 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$20091 million,alliancestats.php?allianceid=1568,10515 Mbbl,Mesopotamia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,188k active personnel,47 ships,Almost Modern,10 factories,Elite,online now,rankings.php?subregion=ama,The High Council,$19856 million,alliancestats.php?allianceid=1595,,Amazonia,1 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,94k active personnel,51 ships,Persian Gulf War surplus,13 factories,Elite,last online 2 hours ago,rankings.php?subregion=saf,BAMF,$19903 million,alliancestats.php?allianceid=1393,,Southern Africa,,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011
Death1812,Death1812,http://blocgame.com/alliancestats.php?allianceid=1576,246k active personnel,61 ships,Persian Gulf War surplus,12 factories,Good,last online 21 hours ago,rankings.php?subregion=con,The Last Phoenix,$19647 million,alliancestats.php?allianceid=1576,,Southern Cone,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,35225 km 2,http://blocgame.com/stats.php?id=50027
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,230k active personnel,41 ships,Persian Gulf War surplus,14 factories,Elite,online now,rankings.php?subregion=egy,BAMF,$19528 million,alliancestats.php?allianceid=1393,,Egypt,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44121 km 2,http://blocgame.com/stats.php?id=49204
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Persian Gulf War surplus,13 factories,Elite,last online 2 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$19555 million,alliancestats.php?allianceid=1568,,Southern Cone,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,244k active personnel,51 ships,Persian Gulf War surplus,13 factories,Good,last online 9 hours ago,rankings.php?subregion=sub,BAMF,$19278 million,alliancestats.php?allianceid=1393,,The Subcontinent,,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,249k active personnel,41 ships,Persian Gulf War surplus,10 factories,Elite,last online 18 hours ago,rankings.php?subregion=pac,BAMF,$18916 million,alliancestats.php?allianceid=1393,,Pacific Rim,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,50704 km 2,http://blocgame.com/stats.php?id=52235
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,51 ships,Persian Gulf War surplus,17 factories,Poor,last online 2 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$18878 million,alliancestats.php?allianceid=1568,,Congo,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,433k active personnel,13 ships,Persian Gulf War surplus,19 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,BAMF,$18742 million,alliancestats.php?allianceid=1393,,China,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,196k active personnel,22 ships,Advanced,12 factories,Elite,last online 19 hours ago,rankings.php?subregion=chi,BAMF,$18758 million,alliancestats.php?allianceid=1393,594 Mbbl,China,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27793 km 2,http://blocgame.com/stats.php?id=46030
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,31 ships,Advanced,17 factories,Elite,last online 4 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$18665 million,alliancestats.php?allianceid=1568,,Caribbean,3 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,18 ships,Persian Gulf War surplus,12 factories,Elite,last online 71 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$18400 million,alliancestats.php?allianceid=1580,,Pacific Rim,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,807k active personnel,62 ships,Advanced,34 factories,Standard,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$17809 million,alliancestats.php?allianceid=1568,,China,3 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,117925 km 2,http://blocgame.com/stats.php?id=47945
Ardon,Frontrox,http://blocgame.com/alliancestats.php?allianceid=1393,140k active personnel,14 ships,Almost Modern,7 factories,Standard,last online 28 hours ago,rankings.php?subregion=ind,BAMF,$17998 million,alliancestats.php?allianceid=1393,,East Indies,,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ind,22437 km 2,http://blocgame.com/stats.php?id=43237
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,223k active personnel,51 ships,Persian Gulf War surplus,12 factories,Good,last online 7 hours ago,rankings.php?subregion=ind,The Federal Colonies,$17893 million,alliancestats.php?allianceid=1401,,East Indies,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,219k active personnel,18 ships,Advanced,9 factories,Elite,last online 3 hours ago,rankings.php?subregion=mex,The Federal Colonies,$17445 million,alliancestats.php?allianceid=1401,,Mesoamerica,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,289k active personnel,21 ships,Persian Gulf War surplus,19 factories,Standard,last online 143 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16705 million,alliancestats.php?allianceid=1580,1072 Mbbl,Persia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,133263 km 2,http://blocgame.com/stats.php?id=49526
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,196k active personnel,68 ships,Almost Modern,12 factories,Elite,last online 11 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$16678 million,alliancestats.php?allianceid=1568,,West Africa,,,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,77729 km 2,http://blocgame.com/stats.php?id=4816
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,97k active personnel,36 ships,Almost Modern,8 factories,Elite,last online 2 hours ago,rankings.php?subregion=car,The Federal Colonies,$16357 million,alliancestats.php?allianceid=1401,,Caribbean,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,102k active personnel,11 ships,Persian Gulf War surplus,5 factories,Elite,last online 11 hours ago,rankings.php?subregion=pac,The Federal Colonies,$16300 million,alliancestats.php?allianceid=1401,,Pacific Rim,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,210k active personnel,20 ships,Persian Gulf War surplus,10 factories,Good,last online 4 hours ago,rankings.php?subregion=mes,BAMF,$15989 million,alliancestats.php?allianceid=1393,129 Mbbl,Mesopotamia,1 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24854 km 2,http://blocgame.com/stats.php?id=49652
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,378k active personnel,18 ships,Persian Gulf War surplus,17 factories,Good,last online 3 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$15655 million,alliancestats.php?allianceid=1568,3259 Mbbl,Atlas,1 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1393,234k active personnel,51 ships,Advanced,18 factories,Poor,last online 6 hours ago,rankings.php?subregion=waf,BAMF,$15075 million,alliancestats.php?allianceid=1393,,West Africa,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,95830 km 2,http://blocgame.com/stats.php?id=44479
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,0 ships,Persian Gulf War surplus,13 factories,Standard,last online 1 hours ago,rankings.php?subregion=car,The Federal Colonies,$14888 million,alliancestats.php?allianceid=1401,294 Mbbl,Caribbean,,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,46443 km 2,http://blocgame.com/stats.php?id=44573
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,259k active personnel,48 ships,Persian Gulf War surplus,10 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,The Federal Colonies,$14756 million,alliancestats.php?allianceid=1401,3021 Mbbl,Persia,1 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35604 km 2,http://blocgame.com/stats.php?id=48914
