country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,414k active personnel,99 ships,Advanced,36 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,BAMF,$32961 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,181415 km 2,http://blocgame.com/stats.php?id=52331,,4 Tons,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,358k active personnel,71 ships,Persian Gulf War surplus,17 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Zion,$29733 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,70k active personnel,45 ships,Persian Gulf War surplus,16 factories,Elite,last online 2 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$29323 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233,,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,384k active personnel,51 ships,Persian Gulf War surplus,18 factories,Standard,last online 11 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27099 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,128 Mbbl,,
Ekodebota,tfwqtp2tlgf|;3,http://blocgame.com/alliancestats.php?allianceid=1599,8k active personnel,46 ships,Advanced,16 factories,Elite,last online 6 hours ago,rankings.php?subregion=atl,Wreckage brothers,$19249 million,alliancestats.php?allianceid=1599,Atlas,,None,http://blocgame.com/rankings.php?subregion=atl,79304 km 2,http://blocgame.com/stats.php?id=53422,,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,182k active personnel,50 ships,Advanced,17 factories,Good,last online 11 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$23520 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,235k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 24 hours ago,rankings.php?subregion=per,BAMF,$23238 million,alliancestats.php?allianceid=1393,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,127k active personnel,28 ships,Almost Modern,15 factories,Good,last online 24 hours ago,rankings.php?subregion=mex,BAMF,$22887 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,297k active personnel,53 ships,Persian Gulf War surplus,21 factories,Elite,last online 14 hours ago,rankings.php?subregion=pac,BAMF,$22718 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,454k active personnel,52 ships,Advanced,21 factories,Elite,last online 12 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$22552 million,alliancestats.php?allianceid=1568,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,,
