country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1393,414k active personnel,99 ships,Advanced,36 factories,Elite,last online 10 hours ago,rankings.php?subregion=ara,BAMF,$33348 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=ara,181415 km 2,http://blocgame.com/stats.php?id=52331,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,358k active personnel,71 ships,Persian Gulf War surplus,18 factories,Elite,last online 10 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$29932 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,44959 km 2,http://blocgame.com/stats.php?id=51354,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,78k active personnel,47 ships,Persian Gulf War surplus,16 factories,Elite,last online 3 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$29715 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,33483 km 2,http://blocgame.com/stats.php?id=40233,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,402k active personnel,51 ships,Persian Gulf War surplus,18 factories,Poor,last online 3 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27179 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,100 Mbbl,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,182k active personnel,50 ships,Advanced,17 factories,Good,last online 5 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$23860 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1393,249k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 5 hours ago,rankings.php?subregion=per,BAMF,$23539 million,alliancestats.php?allianceid=1393,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,127k active personnel,25 ships,Almost Modern,15 factories,Good,last online 12 hours ago,rankings.php?subregion=mex,BAMF,$23235 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,41385 km 2,http://blocgame.com/stats.php?id=47349,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,22 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$23038 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1568,454k active personnel,52 ships,Advanced,21 factories,Elite,last online 7 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$22752 million,alliancestats.php?allianceid=1568,Egypt,,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,261k active personnel,55 ships,Advanced,16 factories,Elite,last online 28 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$22768 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,112k active personnel,51 ships,Persian Gulf War surplus,14 factories,Elite,last online 9 hours ago,rankings.php?subregion=saf,BAMF,$22777 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,238k active personnel,64 ships,Persian Gulf War surplus,14 factories,Standard,last online 5 hours ago,rankings.php?subregion=car,The Federal Colonies,$22627 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,359k active personnel,61 ships,Persian Gulf War surplus,15 factories,Elite,last online 2 hours ago,rankings.php?subregion=mes,Wreckage brothers,$22225 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,86575 km 2,http://blocgame.com/stats.php?id=52852,1589 Mbbl,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,440k active personnel,51 ships,Persian Gulf War surplus,18 factories,Elite,last online 1 hours ago,rankings.php?subregion=ama,BAMF,$21972 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,49 Mbbl,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,62 ships,Persian Gulf War surplus,15 factories,Elite,last online 12 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$21990 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Persian Gulf War surplus,14 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$21896 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,230k active personnel,45 ships,Persian Gulf War surplus,15 factories,Good,last online 23 hours ago,rankings.php?subregion=egy,BAMF,$21670 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,2823 Mbbl,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,221k active personnel,74 ships,Almost Modern,14 factories,Elite,last online 1 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$21377 million,alliancestats.php?allianceid=1568,West Africa,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,10%
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,344k active personnel,44 ships,Advanced,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$20936 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,47249 km 2,http://blocgame.com/stats.php?id=40270,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,248k active personnel,51 ships,Almost Modern,10 factories,Good,last online 1 hours ago,rankings.php?subregion=ama,The High Council,$20765 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,196k active personnel,28 ships,Advanced,12 factories,Elite,last online 42 hours ago,rankings.php?subregion=chi,BAMF,$20752 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,27793 km 2,http://blocgame.com/stats.php?id=46030,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,305k active personnel,51 ships,Persian Gulf War surplus,15 factories,Standard,last online 14 hours ago,rankings.php?subregion=sub,BAMF,$20447 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,36 ships,Advanced,18 factories,Good,last online 20 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$20484 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,3 Tons,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,391k active personnel,51 ships,Advanced,17 factories,Standard,last online 7 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20404 million,alliancestats.php?allianceid=1568,Congo,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,138 Mbbl,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,23 ships,Persian Gulf War surplus,12 factories,Elite,last online 10 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$20072 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,
