country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1567,184k active personnel,100 ships,Advanced,40 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,ayyy lmao,$38831 million,alliancestats.php?allianceid=1567,Arabia,Plentiful,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=ara,184086 km 2,http://blocgame.com/stats.php?id=52331,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,378k active personnel,71 ships,Advanced,18 factories,Good,online now,rankings.php?subregion=chi,Brotherhood of Zion,$30627 million,alliancestats.php?allianceid=1568,China,,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,434k active personnel,51 ships,Persian Gulf War surplus,18 factories,Standard,last online 7 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27273 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,9 Mbbl,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,385k active personnel,68 ships,Advanced,19 factories,Good,last online 4 hours ago,rankings.php?subregion=mes,Wreckage brothers,$26353 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,102142 km 2,http://blocgame.com/stats.php?id=52852,3687 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,9k active personnel,47 ships,Persian Gulf War surplus,12 factories,Elite,last online 29 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$25871 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,200k active personnel,50 ships,Advanced,18 factories,Good,last online 9 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$24923 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,263k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 9 hours ago,rankings.php?subregion=per,SPQR,$24432 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,25 ships,Almost Modern,16 factories,Elite,last online 15 hours ago,rankings.php?subregion=mex,BAMF,$24337 million,alliancestats.php?allianceid=1393,Mesoamerica,Near Depletion,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,22 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$24078 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,51 ships,Advanced,14 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$23855 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
