country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Truinibad,Truin Andrest,http://blocgame.com/alliancestats.php?allianceid=1567,5k active personnel,99 ships,Advanced,30 factories,Elite,last online 7 hours ago,rankings.php?subregion=ara,ayyy lmao,$32912 million,alliancestats.php?allianceid=1567,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,151872 km 2,http://blocgame.com/stats.php?id=52331,,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,71 ships,Advanced,19 factories,Elite,last online 11 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$30863 million,alliancestats.php?allianceid=1568,China,,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,305k active personnel,43 ships,Advanced,27 factories,Elite,online now,rankings.php?subregion=mes,Brotherhood of Zion,$27949 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,4 Tons,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,454k active personnel,51 ships,Persian Gulf War surplus,19 factories,Poor,online now,rankings.php?subregion=con,Brotherhood of Zion,$27238 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,405k active personnel,72 ships,Advanced,19 factories,Good,last online 5 hours ago,rankings.php?subregion=mes,Wreckage brothers,$26625 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103342 km 2,http://blocgame.com/stats.php?id=52852,,2907 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,29k active personnel,47 ships,Persian Gulf War surplus,12 factories,Elite,last online 11 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$26421 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,208k active personnel,50 ships,Advanced,18 factories,Good,last online 14 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$25379 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,269k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 16 hours ago,rankings.php?subregion=per,SPQR,$24841 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,30 ships,Almost Modern,16 factories,Elite,last online 8 hours ago,rankings.php?subregion=mex,BAMF,$24846 million,alliancestats.php?allianceid=1393,Mesoamerica,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,22 factories,Good,online now,rankings.php?subregion=pac,BAMF,$24558 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,51 ships,Advanced,14 factories,Good,last online 4 hours ago,rankings.php?subregion=saf,BAMF,$24359 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,355k active personnel,56 ships,Advanced,16 factories,Good,last online 11 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23791 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,232k active personnel,71 ships,Persian Gulf War surplus,14 factories,Standard,last online 6 hours ago,rankings.php?subregion=car,The Federal Colonies,$23791 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,66 ships,Persian Gulf War surplus,15 factories,Elite,last online 17 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$23452 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Advanced,14 factories,Elite,last online 4 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$23350 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1835,240k active personnel,45 ships,Persian Gulf War surplus,15 factories,Elite,last online 23 hours ago,rankings.php?subregion=egy,SPQR,$22936 million,alliancestats.php?allianceid=1835,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,2215 Mbbl,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1835,901k active personnel,58 ships,Advanced,21 factories,Elite,last online 6 hours ago,rankings.php?subregion=egy,SPQR,$22688 million,alliancestats.php?allianceid=1835,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,269k active personnel,77 ships,Almost Modern,14 factories,Elite,last online 17 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$22476 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,10%
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,622k active personnel,76 ships,Advanced,40 factories,Standard,last online 6 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$22182 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,4 Tons,,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,34 ships,Advanced,12 factories,Elite,last online 6 hours ago,rankings.php?subregion=chi,BAMF,$22045 million,alliancestats.php?allianceid=1393,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,,,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,445k active personnel,51 ships,Persian Gulf War surplus,19 factories,Elite,online now,rankings.php?subregion=ama,BAMF,$21846 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,43 ships,Advanced,18 factories,Standard,online now,rankings.php?subregion=car,Brotherhood of Zion,$21616 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,3 Tons,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,26 ships,Persian Gulf War surplus,12 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$21012 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,17 factories,Good,last online 12 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20762 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,458k active personnel,13 ships,Persian Gulf War surplus,20 factories,Good,last online 8 hours ago,rankings.php?subregion=chi,BAMF,$20741 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,253k active personnel,51 ships,Almost Modern,10 factories,Standard,last online 27 hours ago,rankings.php?subregion=ama,The High Council,$20646 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,1 Tons,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,305k active personnel,51 ships,Persian Gulf War surplus,16 factories,Good,last online 20 hours ago,rankings.php?subregion=sub,BAMF,$20286 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,249k active personnel,52 ships,Advanced,13 factories,Good,last online 6 hours ago,rankings.php?subregion=ind,The Federal Colonies,$20093 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,229k active personnel,31 ships,Advanced,11 factories,Elite,last online 3 hours ago,rankings.php?subregion=mex,The Federal Colonies,$20081 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,,45%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,111k active personnel,42 ships,Almost Modern,8 factories,Elite,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,$19713 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,5 factories,Elite,last online 16 hours ago,rankings.php?subregion=pac,The Federal Colonies,$18866 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,245 Mbbl,5%
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Almost Modern,17 factories,Standard,online now,rankings.php?subregion=chi,BAMF,$18138 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,245k active personnel,12 ships,Persian Gulf War surplus,14 factories,Elite,online now,rankings.php?subregion=mes,Brotherhood of Nod,$17801 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,234k active personnel,51 ships,Persian Gulf War surplus,13 factories,Good,online now,rankings.php?subregion=pac,BAMF,$17772 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,1 Tons,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,452k active personnel,18 ships,Persian Gulf War surplus,21 factories,Standard,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$17665 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,1 Tons,,
Iwasaki,Saeka Nogushi,http://blocgame.com/alliancestats.php?allianceid=1393,210k active personnel,51 ships,Persian Gulf War surplus,11 factories,Good,last online 6 hours ago,rankings.php?subregion=pac,BAMF,$17206 million,alliancestats.php?allianceid=1393,Pacific Rim,,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,49696 km 2,http://blocgame.com/stats.php?id=52235,,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,418k active personnel,65 ships,Advanced,15 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$17139 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,122025 km 2,http://blocgame.com/stats.php?id=52362,23 Tons,,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,167k active personnel,27 ships,Persian Gulf War surplus,8 factories,Elite,last online 13 hours ago,rankings.php?subregion=ama,BAMF,$17206 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,126k active personnel,0 ships,Advanced,13 factories,Standard,online now,rankings.php?subregion=car,The Federal Colonies,$16931 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45979 km 2,http://blocgame.com/stats.php?id=44573,,,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1393,204k active personnel,56 ships,Advanced,19 factories,Elite,last online 21 hours ago,rankings.php?subregion=waf,BAMF,$16813 million,alliancestats.php?allianceid=1393,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,219k active personnel,49 ships,Persian Gulf War surplus,9 factories,Elite,last online 14 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$16762 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,25 ships,Persian Gulf War surplus,11 factories,Good,last online 8 hours ago,rankings.php?subregion=mes,BAMF,$16741 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24459 km 2,http://blocgame.com/stats.php?id=49652,,,
