country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,71 ships,Advanced,19 factories,Elite,last online 25 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$30904 million,alliancestats.php?allianceid=1568,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,305k active personnel,43 ships,Advanced,27 factories,Elite,last online 14 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$27972 million,alliancestats.php?allianceid=1568,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,Untapped,4 Tons,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,454k active personnel,51 ships,Persian Gulf War surplus,19 factories,Poor,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27230 million,alliancestats.php?allianceid=1568,Southern Cone,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,Untapped,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,419k active personnel,72 ships,Advanced,19 factories,Good,online now,rankings.php?subregion=mes,Wreckage brothers,$26666 million,alliancestats.php?allianceid=1599,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103342 km 2,http://blocgame.com/stats.php?id=52852,Untapped,,2777 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,22k active personnel,47 ships,Persian Gulf War surplus,12 factories,Good,last online 25 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$26506 million,alliancestats.php?allianceid=1568,Congo,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,Untapped,,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,208k active personnel,50 ships,Advanced,18 factories,Good,last online 4 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$25460 million,alliancestats.php?allianceid=1568,Indochina,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,Untapped,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,30 ships,Almost Modern,16 factories,Elite,last online 22 hours ago,rankings.php?subregion=mex,BAMF,$24936 million,alliancestats.php?allianceid=1393,Mesoamerica,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,Near Depletion,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,269k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 30 hours ago,rankings.php?subregion=per,SPQR,$24909 million,alliancestats.php?allianceid=1835,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,Untapped,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Persian Gulf War surplus,22 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$24638 million,alliancestats.php?allianceid=1393,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,Untapped,,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,51 ships,Advanced,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,$24443 million,alliancestats.php?allianceid=1393,Southern Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,Untapped,,,
