country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,418k active personnel,71 ships,Advanced,19 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$31436 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45372 km 2,http://blocgame.com/stats.php?id=51354,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,27 factories,Good,last online 24 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$28945 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,,3 Tons,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,484k active personnel,51 ships,Persian Gulf War surplus,19 factories,Poor,last online 20 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26991 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,439k active personnel,78 ships,Advanced,19 factories,Elite,last online 6 hours ago,rankings.php?subregion=mes,Wreckage brothers,$27126 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,1217 Mbbl,,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,66k active personnel,49 ships,Persian Gulf War surplus,12 factories,Elite,last online 29 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$27012 million,alliancestats.php?allianceid=1568,Congo,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,214k active personnel,50 ships,Advanced,18 factories,Good,last online 4 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$26459 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51927 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,131k active personnel,36 ships,Almost Modern,16 factories,Good,online now,rankings.php?subregion=mex,BAMF,$26013 million,alliancestats.php?allianceid=1393,Mesoamerica,,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,299k active personnel,51 ships,Advanced,17 factories,Good,last online 4 hours ago,rankings.php?subregion=per,SPQR,$25681 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,302k active personnel,53 ships,Advanced,23 factories,Good,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$25620 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,158k active personnel,51 ships,Advanced,15 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$25434 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,235k active personnel,71 ships,Persian Gulf War surplus,14 factories,Standard,last online 1 hours ago,rankings.php?subregion=car,The Federal Colonies,$24567 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,67 ships,Persian Gulf War surplus,15 factories,Elite,last online 9 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$24453 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
