country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,459k active personnel,77 ships,Advanced,20 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$32275 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,27 factories,Standard,last online 34 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$31689 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,9846 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,86k active personnel,51 ships,Almost Modern,12 factories,Good,last online 28 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$29342 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,27075 km 2,http://blocgame.com/stats.php?id=40233,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,19 factories,Elite,last online 58 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$29006 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,145k active personnel,43 ships,Almost Modern,17 factories,Elite,last online 12 hours ago,rankings.php?subregion=mex,BAMF,$28570 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,439k active personnel,90 ships,Advanced,19 factories,Good,last online 5 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28218 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,307k active personnel,62 ships,Advanced,24 factories,Good,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$27990 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,178k active personnel,57 ships,Advanced,16 factories,Elite,last online 1 hours ago,rankings.php?subregion=saf,BAMF,$27682 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,47483 km 2,http://blocgame.com/stats.php?id=53011,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,337k active personnel,51 ships,Advanced,17 factories,Good,last online 7 hours ago,rankings.php?subregion=per,SPQR,$27276 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,2588 Mbbl,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,11 ships,Advanced,17 factories,Elite,last online 14 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26850 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,186k active personnel,70 ships,Persian Gulf War surplus,15 factories,Elite,last online 13 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$26609 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,272k active personnel,71 ships,Persian Gulf War surplus,14 factories,Standard,last online 4 hours ago,rankings.php?subregion=car,The Federal Colonies,$26185 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,389 Mbbl,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,270k active personnel,55 ships,Advanced,16 factories,Good,last online 20 hours ago,rankings.php?subregion=egy,BAMF,$25582 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,698k active personnel,84 ships,Advanced,40 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$25429 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,378 Mbbl,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,45 ships,Advanced,19 factories,Standard,last online 42 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$24550 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,3 Tons,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,293k active personnel,44 ships,Advanced,12 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,BAMF,$23898 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,410 Mbbl,
