country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,199k active personnel,65 ships,Advanced,Gandhi-like,19 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$35304 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,279k active personnel,51 ships,Advanced,Gandhi-like,27 factories,Elite,last online 17 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$33656 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,8966 Mbbl,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,464k active personnel,80 ships,Advanced,Gandhi-like,21 factories,Elite,last online 33 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$33062 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,Gandhi-like,20 factories,Good,last online 3 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$30890 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,154k active personnel,49 ships,Almost Modern,Gandhi-like,18 factories,Good,last online 20 hours ago,rankings.php?subregion=mex,BAMF,$30408 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,312k active personnel,68 ships,Advanced,Gandhi-like,25 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$29644 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,14 ships,Advanced,Gandhi-like,18 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$28836 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,481k active personnel,97 ships,Advanced,Gandhi-like,19 factories,Good,last online 8 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28570 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,188k active personnel,26 ships,Advanced,Gandhi-like,17 factories,Good,last online 114 hours ago,rankings.php?subregion=per,SPQR,$28280 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50307 km 2,http://blocgame.com/stats.php?id=40078,1388 Mbbl,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,176k active personnel,70 ships,Advanced,Gandhi-like,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$28149 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Good,last online 5 hours ago,rankings.php?subregion=car,The Federal Colonies,$27372 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,369 Mbbl,,
