country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,193k active personnel,64 ships,Advanced,Gandhi-like,19 factories,Elite,last online 15 hours ago,rankings.php?subregion=saf,BAMF,$35132 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,279k active personnel,51 ships,Advanced,Gandhi-like,27 factories,Elite,last online 5 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$33457 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,9054 Mbbl,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,464k active personnel,80 ships,Advanced,Gandhi-like,21 factories,Elite,last online 14 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$32984 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,Gandhi-like,20 factories,Good,last online 3 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$30700 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,154k active personnel,49 ships,Almost Modern,Gandhi-like,18 factories,Elite,last online 2 hours ago,rankings.php?subregion=mex,BAMF,$30225 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,312k active personnel,67 ships,Advanced,Gandhi-like,25 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$29562 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,11 ships,Advanced,Gandhi-like,18 factories,Elite,last online 26 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$28643 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,481k active personnel,97 ships,Advanced,Gandhi-like,19 factories,Good,last online 19 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28589 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,223k active personnel,26 ships,Advanced,Gandhi-like,17 factories,Elite,last online 95 hours ago,rankings.php?subregion=per,SPQR,$28160 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50815 km 2,http://blocgame.com/stats.php?id=40078,1508 Mbbl,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,176k active personnel,70 ships,Advanced,Gandhi-like,15 factories,Elite,last online 9 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27992 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Good,last online 10 hours ago,rankings.php?subregion=car,The Federal Colonies,$27246 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,371 Mbbl,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,61 ships,Advanced,Angelic,16 factories,Good,last online 21 hours ago,rankings.php?subregion=egy,BAMF,$26806 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,45521 km 2,http://blocgame.com/stats.php?id=49204,,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,47 ships,Advanced,Gandhi-like,19 factories,Poor,last online 40 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$25914 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,3 Tons,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,676k active personnel,84 ships,Advanced,Good,40 factories,Elite,online now,rankings.php?subregion=chi,Brotherhood of Zion,$25518 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135756 km 2,http://blocgame.com/stats.php?id=47945,288 Mbbl,4 Tons,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,30 ships,Advanced,Gandhi-like,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$24236 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
