country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,199k active personnel,68 ships,Advanced,19 factories,Elite,last online 6 hours ago,rankings.php?subregion=saf,BAMF,$35748 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,,Gandhi-like
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,259k active personnel,51 ships,Advanced,27 factories,Elite,last online 4 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$34159 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,8746 Mbbl,,,Gandhi-like
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,469k active personnel,82 ships,Advanced,21 factories,Elite,last online 51 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$33257 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,1 Tons,,Gandhi-like
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,20 factories,Good,last online 9 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$31365 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,,Gandhi-like
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,154k active personnel,49 ships,Almost Modern,18 factories,Good,last online 66 hours ago,rankings.php?subregion=mex,BAMF,$30873 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,,Gandhi-like
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,327k active personnel,69 ships,Advanced,25 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$29823 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%,Gandhi-like
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,14 ships,Advanced,18 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$29303 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,,Gandhi-like
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,13k active personnel,26 ships,Advanced,17 factories,Good,last online 190 hours ago,rankings.php?subregion=per,SPQR,$28664 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,47364 km 2,http://blocgame.com/stats.php?id=40078,1088 Mbbl,,,Gandhi-like
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,166k active personnel,70 ships,Advanced,15 factories,Elite,last online 8 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$28549 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,,Gandhi-like
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,471k active personnel,98 ships,Advanced,19 factories,Good,last online 37 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28473 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,,,Questionable
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,310k active personnel,71 ships,Advanced,15 factories,Elite,last online 3 hours ago,rankings.php?subregion=car,The Federal Colonies,$27663 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,364 Mbbl,,,Gandhi-like
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,63 ships,Advanced,16 factories,Good,last online 42 hours ago,rankings.php?subregion=egy,BAMF,$27282 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,46121 km 2,http://blocgame.com/stats.php?id=49204,,,,Gandhi-like
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,49 ships,Advanced,19 factories,Undisciplined Rabble,last online 11 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$26447 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,3 Tons,,Gandhi-like
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,708k active personnel,84 ships,Advanced,40 factories,Elite,last online 7 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$26071 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135756 km 2,http://blocgame.com/stats.php?id=47945,253 Mbbl,4 Tons,,Gandhi-like
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,33 ships,Advanced,12 factories,Elite,online now,rankings.php?subregion=pac,Brotherhood of Nod,$24617 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,,Gandhi-like
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,339k active personnel,61 ships,Advanced,15 factories,Good,last online 3 hours ago,rankings.php?subregion=ind,The Federal Colonies,$24027 million,alliancestats.php?allianceid=1401,East Indies,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,,Gandhi-like
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,21 factories,Standard,last online 9 hours ago,rankings.php?subregion=chi,BAMF,$23684 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,,Gandhi-like
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,47 ships,Advanced,12 factories,Elite,online now,rankings.php?subregion=mex,The Federal Colonies,$23460 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,51 Mbbl,,45%,Gandhi-like
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,336k active personnel,62 ships,Advanced,19 factories,Good,last online 52 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23213 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,,Good
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,240k active personnel,60 ships,Persian Gulf War surplus,21 factories,Elite,last online 1 hours ago,rankings.php?subregion=ara,BAMF,$23176 million,alliancestats.php?allianceid=1393,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,104357 km 2,http://blocgame.com/stats.php?id=53748,,5 Tons,,Good
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,8 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,The Federal Colonies,$22991 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,,5%,Gandhi-like
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,499k active personnel,13 ships,Persian Gulf War surplus,24 factories,Poor,last online 7 hours ago,rankings.php?subregion=chi,BAMF,$22673 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,337 Mbbl,,,Gandhi-like
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,119k active personnel,43 ships,Persian Gulf War surplus,10 factories,Elite,last online 4 hours ago,rankings.php?subregion=car,The Federal Colonies,$22531 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23475 km 2,http://blocgame.com/stats.php?id=45853,,,,Gandhi-like
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,87 ships,Persian Gulf War surplus,16 factories,Elite,last online 8 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$22482 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,15%,Gandhi-like
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,153k active personnel,0 ships,Advanced,13 factories,Standard,last online 45 hours ago,rankings.php?subregion=car,The Federal Colonies,$22189 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,294 Mbbl,,,Gandhi-like
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,239k active personnel,66 ships,Almost Modern,10 factories,Elite,last online 39 hours ago,rankings.php?subregion=ama,The High Council,$21627 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,2 Tons,,Gandhi-like
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,276k active personnel,66 ships,Advanced,14 factories,Elite,last online 7 hours ago,rankings.php?subregion=pac,BAMF,$21452 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,,Gandhi-like
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,419k active personnel,51 ships,Advanced,18 factories,Poor,last online 5 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$21095 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,,Gandhi-like
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,318k active personnel,12 ships,Advanced,14 factories,Elite,online now,rankings.php?subregion=mes,Brotherhood of Nod,$20960 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,1670 Mbbl,,,Gandhi-like
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,201k active personnel,38 ships,Persian Gulf War surplus,11 factories,Good,last online 3 hours ago,rankings.php?subregion=ama,BAMF,$20944 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,,Gandhi-like
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,308k active personnel,51 ships,Persian Gulf War surplus,17 factories,Good,last online 189 hours ago,rankings.php?subregion=sub,BAMF,$20310 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,,Gandhi-like
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,275k active personnel,53 ships,Advanced,19 factories,Elite,online now,rankings.php?subregion=ama,BAMF,$20270 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,105627 km 2,http://blocgame.com/stats.php?id=45527,,,,Gandhi-like
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,459k active personnel,37 ships,Advanced,20 factories,Elite,last online 44 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$20222 million,alliancestats.php?allianceid=1580,Persia,,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,2497 Mbbl,1 Tons,,Gandhi-like
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,180k active personnel,47 ships,Persian Gulf War surplus,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=per,The Federal Colonies,$19901 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,3769 Mbbl,,,Gandhi-like
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,498k active personnel,18 ships,Advanced,24 factories,Elite,last online 7 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$19804 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,2544 Mbbl,1 Tons,,Gandhi-like
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1595,245k active personnel,58 ships,Advanced,20 factories,Undisciplined Rabble,last online 1 hours ago,rankings.php?subregion=waf,The High Council,$19637 million,alliancestats.php?allianceid=1595,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,,Angelic
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,66 ships,Persian Gulf War surplus,14 factories,Good,last online 100 hours ago,rankings.php?subregion=per,The Federal Colonies,$19462 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,,2 Tons,,Gandhi-like
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,43 ships,Persian Gulf War surplus,11 factories,Good,last online 64 hours ago,rankings.php?subregion=mes,BAMF,$19088 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24759 km 2,http://blocgame.com/stats.php?id=49652,911 Mbbl,,,Gandhi-like
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,45 ships,Persian Gulf War surplus,9 factories,Elite,last online 8 hours ago,rankings.php?subregion=ara,BAMF,$19069 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,,,,Gandhi-like
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,45 ships,Persian Gulf War surplus,14 factories,Elite,last online 32 hours ago,rankings.php?subregion=chi,BAMF,$18668 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,,,Gandhi-like
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,278k active personnel,35 ships,Almost Modern,14 factories,Good,last online 2 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$18614 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,,Gandhi-like
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,381k active personnel,55 ships,Advanced,15 factories,Elite,last online 2 hours ago,rankings.php?subregion=per,Inter/pol/,$18591 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,1805 Mbbl,,,Gandhi-like
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,70 ships,Persian Gulf War surplus,11 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$18461 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,,,Gandhi-like
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,555k active personnel,84 ships,Advanced,17 factories,Standard,last online 36 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$18252 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,131329 km 2,http://blocgame.com/stats.php?id=52362,2750 Mbbl,14 Tons,,Gandhi-like
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,8k active personnel,27 ships,Persian Gulf War surplus,10 factories,Elite,last online 30 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$18075 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=con,50204 km 2,http://blocgame.com/stats.php?id=40579,,,,Gandhi-like
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,350k active personnel,57 ships,Advanced,15 factories,Good,last online 9 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$17818 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,64179 km 2,http://blocgame.com/stats.php?id=7511,2331 Mbbl,,,Gandhi-like
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,197k active personnel,35 ships,Persian Gulf War surplus,12 factories,Elite,last online 2 hours ago,rankings.php?subregion=chi,The High Council,$17402 million,alliancestats.php?allianceid=1595,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,39433 km 2,http://blocgame.com/stats.php?id=44539,,,40%,Pariah
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,46 ships,Advanced,6 factories,Good,last online 10 hours ago,rankings.php?subregion=atl,BAMF,$17361 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,,5%,Gandhi-like
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,315k active personnel,55 ships,Persian Gulf War surplus,13 factories,Good,last online 3 hours ago,rankings.php?subregion=ara,Wreckage brothers,$17129 million,alliancestats.php?allianceid=1599,Arabia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,,,Gandhi-like
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,278k active personnel,45 ships,Persian Gulf War surplus,11 factories,Elite,last online 8 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$16624 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,2359 Mbbl,,,Gandhi-like
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,243k active personnel,53 ships,Persian Gulf War surplus,12 factories,Elite,last online 70 hours ago,rankings.php?subregion=per,Inter/pol/,$16428 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50924 km 2,http://blocgame.com/stats.php?id=49556,,,,Gandhi-like
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,258k active personnel,40 ships,Persian Gulf War surplus,14 factories,Good,last online 32 hours ago,rankings.php?subregion=ara,BAMF,$16342 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,2715 Mbbl,,,Nice
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=1393,409k active personnel,61 ships,Advanced,21 factories,Good,online now,rankings.php?subregion=mes,BAMF,$16308 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,138270 km 2,http://blocgame.com/stats.php?id=54825,4075 Mbbl,,,Gandhi-like
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,35 ships,Persian Gulf War surplus,11 factories,Standard,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$16294 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,,,Gandhi-like
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,168k active personnel,51 ships,Almost Modern,8 factories,Good,online now,rankings.php?subregion=con,Brotherhood of Zion,$16209 million,alliancestats.php?allianceid=1568,Southern Cone,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37866 km 2,http://blocgame.com/stats.php?id=52275,267 Mbbl,,,Gandhi-like
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,371k active personnel,52 ships,Persian Gulf War surplus,17 factories,Good,online now,rankings.php?subregion=chi,Brotherhood of Nod,$16125 million,alliancestats.php?allianceid=1580,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,,,Gandhi-like
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,224k active personnel,33 ships,Persian Gulf War surplus,11 factories,Elite,last online 2 hours ago,rankings.php?subregion=car,Wreckage brothers,$16124 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,,,Gandhi-like
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,16 ships,Persian Gulf War surplus,8 factories,Good,last online 43 hours ago,rankings.php?subregion=ara,BAMF,$16064 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,43797 km 2,http://blocgame.com/stats.php?id=39037,,,,Gandhi-like
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,359k active personnel,53 ships,Advanced,17 factories,Elite,last online 41 hours ago,rankings.php?subregion=ara,BAMF,$15983 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,,,,Gandhi-like
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,416k active personnel,51 ships,Persian Gulf War surplus,19 factories,Poor,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$15357 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,,Questionable
