country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,199k active personnel,71 ships,Advanced,Gandhi-like,19 factories,Elite,last online 3 hours ago,rankings.php?subregion=saf,BAMF,$36198 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,259k active personnel,51 ships,Advanced,Gandhi-like,27 factories,Elite,last online 32 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$34674 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,8526 Mbbl,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,469k active personnel,83 ships,Advanced,Gandhi-like,21 factories,Elite,last online 18 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$33452 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,Gandhi-like,20 factories,Good,online now,rankings.php?subregion=sea,Brotherhood of Zion,$31840 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,154k active personnel,51 ships,Almost Modern,Gandhi-like,18 factories,Good,last online 6 hours ago,rankings.php?subregion=mex,BAMF,$31338 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,327k active personnel,71 ships,Advanced,Gandhi-like,25 factories,Elite,last online 6 hours ago,rankings.php?subregion=pac,BAMF,$30197 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,18 ships,Advanced,Gandhi-like,18 factories,Elite,last online 8 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$29763 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,166k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Elite,last online 20 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$28948 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,471k active personnel,99 ships,Advanced,Good,19 factories,Good,last online 5 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28323 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,1 Tons,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,318k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Elite,last online 3 hours ago,rankings.php?subregion=car,The Federal Colonies,$27916 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,359 Mbbl,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,64 ships,Advanced,Gandhi-like,16 factories,Good,last online 8 hours ago,rankings.php?subregion=egy,BAMF,$27622 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,46121 km 2,http://blocgame.com/stats.php?id=49204,,,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,187k active personnel,40 ships,Advanced,Angelic,23 factories,Elite,last online 26 hours ago,rankings.php?subregion=ara,BAMF,$27210 million,alliancestats.php?allianceid=1393,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,111597 km 2,http://blocgame.com/stats.php?id=53748,,5 Tons,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,51 ships,Advanced,Gandhi-like,19 factories,Undisciplined Rabble,last online 3 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$26834 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,3 Tons,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,748k active personnel,84 ships,Advanced,Gandhi-like,40 factories,Good,last online 14 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$26453 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135756 km 2,http://blocgame.com/stats.php?id=47945,228 Mbbl,4 Tons,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,34 ships,Advanced,Gandhi-like,12 factories,Elite,last online 14 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$24889 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,359k active personnel,63 ships,Advanced,Gandhi-like,15 factories,Standard,last online 11 hours ago,rankings.php?subregion=ind,The Federal Colonies,$24237 million,alliancestats.php?allianceid=1401,East Indies,,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,21 factories,Good,last online 20 hours ago,rankings.php?subregion=chi,BAMF,$24149 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,47 ships,Advanced,Gandhi-like,12 factories,Elite,last online 17 hours ago,rankings.php?subregion=mex,The Federal Colonies,$23685 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,16 Mbbl,,45%
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,370k active personnel,63 ships,Advanced,Angelic,19 factories,Good,last online 10 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$23467 million,alliancestats.php?allianceid=1568,Gran Colombia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Elite,last online 21 hours ago,rankings.php?subregion=pac,The Federal Colonies,$23326 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,,5%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,129k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 17 hours ago,rankings.php?subregion=car,The Federal Colonies,$22872 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23475 km 2,http://blocgame.com/stats.php?id=45853,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,503k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,25 factories,Poor,last online 14 hours ago,rankings.php?subregion=chi,BAMF,$22858 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,307 Mbbl,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,184k active personnel,0 ships,Advanced,Angelic,14 factories,Elite,last online 16 hours ago,rankings.php?subregion=car,The Federal Colonies,$22542 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,294 Mbbl,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,299k active personnel,88 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Elite,last online 23 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$22292 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,,15%
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,294k active personnel,66 ships,Advanced,Gandhi-like,14 factories,Good,last online 3 hours ago,rankings.php?subregion=pac,BAMF,$21695 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
