country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_prod,oil_reserves,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,71 ships,Advanced,Gandhi-like,20 factories,Elite,last online 2 hours ago,rankings.php?subregion=saf,BAMF,54 Hundred Tons per month,$38690 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,284k active personnel,55 ships,Advanced,Gandhi-like,27 factories,Elite,last online 23 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,34 Hundred Tons per month,$37492 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,44 Mbbl per month,7294 Mbbl,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,479k active personnel,89 ships,Advanced,Gandhi-like,23 factories,Elite,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,30 Hundred Tons per month,$34353 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,5 Mbbl per month,325 Mbbl,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,238k active personnel,53 ships,Advanced,Gandhi-like,22 factories,Good,last online 1 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,50 Hundred Tons per month,$34443 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,8 Mbbl per month,,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,20 factories,Elite,last online 17 hours ago,rankings.php?subregion=mex,BAMF,30 Hundred Tons per month,$33990 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,15 Mbbl per month,,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,337k active personnel,79 ships,Advanced,Gandhi-like,27 factories,Good,last online 1 hours ago,rankings.php?subregion=pac,BAMF,71 Hundred Tons per month,$32681 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,2 Mbbl per month,,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,240k active personnel,33 ships,Advanced,Gandhi-like,20 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,35 Hundred Tons per month,$32265 million,alliancestats.php?allianceid=1568,Southern Cone,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,4 Mbbl per month,,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,954k active personnel,100 ships,Advanced,Gandhi-like,45 factories,Good,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,150 Hundred Tons per month,$31223 million,alliancestats.php?allianceid=1568,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,143334 km 2,http://blocgame.com/stats.php?id=47945,5 Mbbl per month,222 Mbbl,6 Tons,
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,204k active personnel,81 ships,Advanced,Gandhi-like,15 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,28 Hundred Tons per month,$31077 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,279k active personnel,69 ships,Advanced,Gandhi-like,17 factories,Good,last online 21 hours ago,rankings.php?subregion=egy,BAMF,25 Hundred Tons per month,$29507 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,47621 km 2,http://blocgame.com/stats.php?id=49204,35 Mbbl per month,,2 Tons,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,309k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Standard,last online 10 hours ago,rankings.php?subregion=car,The Federal Colonies,22 Hundred Tons per month,$29201 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,1 Mbbl per month,331 Mbbl,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,304k active personnel,51 ships,Advanced,Gandhi-like,20 factories,Elite,last online 12 hours ago,rankings.php?subregion=car,Brotherhood of Zion,39 Hundred Tons per month,$28864 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,18 Mbbl per month,,3 Tons,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,589k active personnel,100 ships,Advanced,Gandhi-like,22 factories,Good,online now,rankings.php?subregion=mes,Wreckage brothers,63 Hundred Tons per month,$28140 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,130 Mbbl per month,,1 Tons,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,23 factories,Standard,last online 9 hours ago,rankings.php?subregion=chi,BAMF,30 Hundred Tons per month,$26800 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,10 Mbbl per month,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,43 ships,Advanced,Gandhi-like,12 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,32 Hundred Tons per month,$26396 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,359k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Good,last online 3 hours ago,rankings.php?subregion=ind,The Federal Colonies,25 Hundred Tons per month,$25268 million,alliancestats.php?allianceid=1401,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,5 Mbbl per month,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Elite,last online 5 hours ago,rankings.php?subregion=pac,The Federal Colonies,11 Hundred Tons per month,$25169 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,10 Mbbl per month,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,279k active personnel,53 ships,Advanced,Gandhi-like,12 factories,Elite,last online 16 hours ago,rankings.php?subregion=mex,The Federal Colonies,18 Hundred Tons per month,$24917 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,7 Mbbl per month,,,45%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,117k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,online now,rankings.php?subregion=car,The Federal Colonies,10 Hundred Tons per month,$24728 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23475 km 2,http://blocgame.com/stats.php?id=45853,,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,184k active personnel,0 ships,Advanced,Angelic,15 factories,Poor,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,70 Hundred Tons per month,$24542 million,alliancestats.php?allianceid=1401,Caribbean,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,,294 Mbbl,,
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,462k active personnel,63 ships,Advanced,Angelic,21 factories,Good,online now,rankings.php?subregion=gra,Brotherhood of Zion,86 Hundred Tons per month,$24349 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,20 Mbbl per month,,,
