country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,71 ships,Advanced,20 factories,Elite,online now,rankings.php?subregion=saf,BAMF,$38960 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,,Gandhi-like,54 Hundred Tons per month,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,296k active personnel,58 ships,Advanced,27 factories,Elite,last online 17 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$37776 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,7162 Mbbl,,,Gandhi-like,34 Hundred Tons per month,44 Mbbl per month
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,484k active personnel,90 ships,Advanced,23 factories,Elite,last online 24 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$34391 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,310 Mbbl,1 Tons,,Gandhi-like,30 Hundred Tons per month,5 Mbbl per month
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,238k active personnel,53 ships,Advanced,22 factories,Good,last online 3 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$34722 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,,,Gandhi-like,50 Hundred Tons per month,8 Mbbl per month
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,51 ships,Persian Gulf War surplus,20 factories,Good,last online 13 hours ago,rankings.php?subregion=mex,BAMF,$34284 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,,,Gandhi-like,30 Hundred Tons per month,15 Mbbl per month
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,337k active personnel,80 ships,Advanced,27 factories,Good,last online 11 hours ago,rankings.php?subregion=pac,BAMF,$32959 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,,5%,Gandhi-like,71 Hundred Tons per month,2 Mbbl per month
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,250k active personnel,39 ships,Advanced,20 factories,Elite,last online 19 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$32523 million,alliancestats.php?allianceid=1568,Southern Cone,,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,,,Gandhi-like,35 Hundred Tons per month,4 Mbbl per month
Gertralia,Guillermicus,http://blocgame.com/alliancestats.php?allianceid=1568,204k active personnel,81 ships,Advanced,15 factories,Elite,last online 26 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$31305 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34928 km 2,http://blocgame.com/stats.php?id=45604,,,,Gandhi-like,28 Hundred Tons per month,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,589k active personnel,100 ships,Advanced,22 factories,Good,last online 7 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28200 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,1 Tons,,Gandhi-like,63 Hundred Tons per month,130 Mbbl per month
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,319k active personnel,71 ships,Advanced,15 factories,Standard,last online 6 hours ago,rankings.php?subregion=car,The Federal Colonies,$29346 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,328 Mbbl,,,Gandhi-like,22 Hundred Tons per month,1 Mbbl per month
