country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,oil_prod,uranium,reactor
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,71 ships,Advanced,Gandhi-like,20 factories,Elite,last online 6 hours ago,rankings.php?subregion=saf,BAMF,54 Hundred Tons per month,$39410 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,52883 km 2,http://blocgame.com/stats.php?id=53011,,,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,313k active personnel,60 ships,Advanced,Gandhi-like,27 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,34 Hundred Tons per month,$38249 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,6942 Mbbl,44 Mbbl per month,1 Tons,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,238k active personnel,53 ships,Advanced,Gandhi-like,23 factories,Standard,last online 5 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,50 Hundred Tons per month,$35187 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,8 Mbbl per month,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,159k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,20 factories,Good,last online 7 hours ago,rankings.php?subregion=mex,BAMF,30 Hundred Tons per month,$34774 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,15 Mbbl per month,,
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,484k active personnel,91 ships,Advanced,Gandhi-like,23 factories,Elite,last online 7 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,30 Hundred Tons per month,$34476 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,285 Mbbl,5 Mbbl per month,1 Tons,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,337k active personnel,82 ships,Advanced,Gandhi-like,27 factories,Good,online now,rankings.php?subregion=pac,BAMF,71 Hundred Tons per month,$33424 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,2 Mbbl per month,,5%
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,280k active personnel,42 ships,Advanced,Gandhi-like,20 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,35 Hundred Tons per month,$32953 million,alliancestats.php?allianceid=1568,Southern Cone,,Very Powerful,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,4 Mbbl per month,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,1049k active personnel,100 ships,Advanced,Gandhi-like,45 factories,Elite,last online 2 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,150 Hundred Tons per month,$30243 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,143334 km 2,http://blocgame.com/stats.php?id=47945,182 Mbbl,5 Mbbl per month,6 Tons,
German Reich,Frederick III,http://blocgame.com/alliancestats.php?allianceid=1393,320k active personnel,71 ships,Advanced,Gandhi-like,17 factories,Good,last online 2 hours ago,rankings.php?subregion=egy,BAMF,25 Hundred Tons per month,$29970 million,alliancestats.php?allianceid=1393,Egypt,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,48221 km 2,http://blocgame.com/stats.php?id=49204,,35 Mbbl per month,2 Tons,
Coccoladia,Ernesto Caprone,http://blocgame.com/alliancestats.php?allianceid=1401,319k active personnel,71 ships,Advanced,Gandhi-like,15 factories,Standard,last online 4 hours ago,rankings.php?subregion=car,The Federal Colonies,22 Hundred Tons per month,$29591 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27330 km 2,http://blocgame.com/stats.php?id=40289,323 Mbbl,1 Mbbl per month,,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,304k active personnel,55 ships,Advanced,Gandhi-like,20 factories,Elite,last online 70 hours ago,rankings.php?subregion=car,Brotherhood of Zion,39 Hundred Tons per month,$29437 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,18 Mbbl per month,3 Tons,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,579k active personnel,100 ships,Advanced,Gandhi-like,22 factories,Standard,last online 4 hours ago,rankings.php?subregion=mes,Wreckage brothers,63 Hundred Tons per month,$28200 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,130 Mbbl per month,1 Tons,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,208k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,24 factories,Standard,last online 4 hours ago,rankings.php?subregion=chi,BAMF,30 Hundred Tons per month,$27591 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,10 Mbbl per month,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,46 ships,Advanced,Gandhi-like,12 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,32 Hundred Tons per month,$26831 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,,
