country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
Tr�pico,rumsod,,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=1,1 Mbbl,,,Normal,,1 Mbbl per month
South Park,cartman,,20k active personnel,0 ships,Finest of the 19th century,,Standard,online now,rankings.php?subregion=car,,$300 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,None,http://blocgame.com/stats.php?id=228,,,,Normal,,
Edtopia,Edgar,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 18 hours ago,rankings.php?subregion=mex,,$300 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,None,http://blocgame.com/stats.php?id=249,,,,Normal,,
Tuonela,Beelzebub,,29k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=sub,,$300 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=389,,,,Normal,,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=2043,43k active personnel,0 ships,First World War surplus,,Good,online now,rankings.php?subregion=atl,BAMF,$300 million,alliancestats.php?allianceid=2043,Atlas,Plentiful,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=2570,,,,Questionable,,
Kashmir,Hereno,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 134 hours ago,rankings.php?subregion=sub,,$300 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=2681,,,,Normal,,
Gridland,grid,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 69 hours ago,rankings.php?subregion=eaf,,$300 million,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,None,http://blocgame.com/stats.php?id=2917,,,,Normal,,
New Caucasus,Cotton Luther,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=4392,,,,Normal,,
Whitey,Knee Grow,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=waf,,$300 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,None,http://blocgame.com/stats.php?id=4816,,,,Normal,,
McSkippumstan,Coldoldgold,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 154 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=4944,,,,Normal,,
Gensokyo,DrKourin,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 14 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=5212,,,,Normal,,
