country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
Vilnus,Jurij Owsienko,http://blocgame.com/alliancestats.php?allianceid=2041,39k active personnel,0 ships,First World War surplus,$429 million,Elite,online now,rankings.php?subregion=atl,Lithuanian Coalition,$429 million,alliancestats.php?allianceid=2041,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=61610,10 Mbbl,,,Normal,,10 Mbbl per month
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=2048,35k active personnel,0 ships,First World War surplus,$424 million,Good,last online 1 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$424 million,alliancestats.php?allianceid=2048,Indochina,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sea,None,http://blocgame.com/stats.php?id=53068,1 Mbbl,,,Normal,,1 Mbbl per month
Rararaland,Whiskertoes,http://blocgame.com/alliancestats.php?allianceid=2045,25k active personnel,0 ships,Finest of the 19th century,$387 million,Elite,online now,rankings.php?subregion=ara,The Order,$387 million,alliancestats.php?allianceid=2045,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=49272,1 Mbbl,,,Normal,,1 Mbbl per month
Tuonela,Beelzebub,http://blocgame.com/alliancestats.php?allianceid=2045,35k active personnel,0 ships,First World War surplus,$386 million,Elite,online now,rankings.php?subregion=sub,The Order,$386 million,alliancestats.php?allianceid=2045,The Subcontinent,Untapped,Small,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=389,1 Mbbl,,,Normal,,1 Mbbl per month
Pakyu,General Hamizan,http://blocgame.com/alliancestats.php?allianceid=2042,25k active personnel,0 ships,Finest of the 19th century,$382 million,Elite,online now,rankings.php?subregion=pac,Interpol,$382 million,alliancestats.php?allianceid=2042,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61656,387 Mbbl,,,Normal,6 Hundred Tons per month,5 Mbbl per month
Nova Ikaki,Bisimbi,http://blocgame.com/alliancestats.php?allianceid=2049,35k active personnel,0 ships,First World War surplus,$381 million,Good,online now,rankings.php?subregion=ara,Brotherhood of Nod,$381 million,alliancestats.php?allianceid=2049,Arabia,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=55911,5517 Mbbl,,,Normal,3 Hundred Tons per month,4 Mbbl per month
Barr,general hadi,,35k active personnel,0 ships,First World War surplus,$380 million,Elite,online now,rankings.php?subregion=pac,,$380 million,,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61816,221 Mbbl,,,Normal,4 Hundred Tons per month,5 Mbbl per month
Large Man,LargeMan,http://blocgame.com/alliancestats.php?allianceid=2058,33k active personnel,0 ships,First World War surplus,$378 million,Elite,online now,rankings.php?subregion=egy,Al-Qassam Brigades,$378 million,alliancestats.php?allianceid=2058,Egypt,Untapped,Small,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=52836,2 Mbbl,,,Normal,,2 Mbbl per month
liger,AdolfHilter,http://blocgame.com/alliancestats.php?allianceid=2039,15k active personnel,0 ships,Finest of the 19th century,$377 million,Elite,online now,rankings.php?subregion=sub,The High Council,$377 million,alliancestats.php?allianceid=2039,The Subcontinent,Untapped,Small,http://blocgame.com/rankings.php?subregion=sub,None,http://blocgame.com/stats.php?id=62918,283 Mbbl,,,Normal,5 Hundred Tons per month,5 Mbbl per month
Cyrodill,Tihomir,http://blocgame.com/alliancestats.php?allianceid=2045,28k active personnel,0 ships,Finest of the 19th century,$376 million,Elite,last online 1 hours ago,rankings.php?subregion=mes,The Order,$376 million,alliancestats.php?allianceid=2045,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=53759,6 Mbbl,,,Normal,,6 Mbbl per month
