leader_link/_source,leader_link,leader_link/_text,pageUrl
stats.php?id=53011,http://blocgame.com/stats.php?id=53011,LOCAI,http://blocgame.com/rankings.php?page=1
stats.php?id=40270,http://blocgame.com/stats.php?id=40270,Minmaxia,http://blocgame.com/rankings.php?page=1
stats.php?id=51354,http://blocgame.com/stats.php?id=51354,Olympia,http://blocgame.com/rankings.php?page=1
stats.php?id=53068,http://blocgame.com/stats.php?id=53068,Morjei,http://blocgame.com/rankings.php?page=1
stats.php?id=47349,http://blocgame.com/stats.php?id=47349,Cubania,http://blocgame.com/rankings.php?page=1
stats.php?id=53451,http://blocgame.com/stats.php?id=53451,Yulai,http://blocgame.com/rankings.php?page=1
stats.php?id=52852,http://blocgame.com/stats.php?id=52852,Best Syria,http://blocgame.com/rankings.php?page=1
stats.php?id=53442,http://blocgame.com/stats.php?id=53442,Briggs,http://blocgame.com/rankings.php?page=1
stats.php?id=40078,http://blocgame.com/stats.php?id=40078,Zanzabarland,http://blocgame.com/rankings.php?page=1
stats.php?id=45604,http://blocgame.com/stats.php?id=45604,Gertralia,http://blocgame.com/rankings.php?page=1
stats.php?id=40289,http://blocgame.com/stats.php?id=40289,Coccoladia,http://blocgame.com/rankings.php?page=1
stats.php?id=47945,http://blocgame.com/stats.php?id=47945,Mongolstan,http://blocgame.com/rankings.php?page=1
stats.php?id=49204,http://blocgame.com/stats.php?id=49204,German Reich,http://blocgame.com/rankings.php?page=1
stats.php?id=41629,http://blocgame.com/stats.php?id=41629,Northmarch,http://blocgame.com/rankings.php?page=1
stats.php?id=41268,http://blocgame.com/stats.php?id=41268,Shambala,http://blocgame.com/rankings.php?page=1
stats.php?id=43375,http://blocgame.com/stats.php?id=43375,Cirno,http://blocgame.com/rankings.php?page=2
stats.php?id=45853,http://blocgame.com/stats.php?id=45853,Karat,http://blocgame.com/rankings.php?page=2
stats.php?id=249,http://blocgame.com/stats.php?id=249,Edtopia,http://blocgame.com/rankings.php?page=2
stats.php?id=4816,http://blocgame.com/stats.php?id=4816,Whitey,http://blocgame.com/rankings.php?page=2
stats.php?id=47662,http://blocgame.com/stats.php?id=47662,Kennethland,http://blocgame.com/rankings.php?page=2
stats.php?id=56203,http://blocgame.com/stats.php?id=56203,JucheBox,http://blocgame.com/rankings.php?page=2
stats.php?id=52372,http://blocgame.com/stats.php?id=52372,pelle,http://blocgame.com/rankings.php?page=2
stats.php?id=53748,http://blocgame.com/stats.php?id=53748,Fapman,http://blocgame.com/rankings.php?page=2
stats.php?id=43574,http://blocgame.com/stats.php?id=43574,Falk,http://blocgame.com/rankings.php?page=2
stats.php?id=45846,http://blocgame.com/stats.php?id=45846,Mmhat,http://blocgame.com/rankings.php?page=2
stats.php?id=44573,http://blocgame.com/stats.php?id=44573,JaMon,http://blocgame.com/rankings.php?page=2
stats.php?id=52440,http://blocgame.com/stats.php?id=52440,Great Poverty,http://blocgame.com/rankings.php?page=2
stats.php?id=5212,http://blocgame.com/stats.php?id=5212,Gensokyo,http://blocgame.com/rankings.php?page=2
stats.php?id=56860,http://blocgame.com/stats.php?id=56860,Lyranistan,http://blocgame.com/rankings.php?page=2
stats.php?id=45527,http://blocgame.com/stats.php?id=45527,FreakTopia,http://blocgame.com/rankings.php?page=2
stats.php?id=53650,http://blocgame.com/stats.php?id=53650,MoonMania,http://blocgame.com/rankings.php?page=3
stats.php?id=49526,http://blocgame.com/stats.php?id=49526,Canuckistan!!,http://blocgame.com/rankings.php?page=3
stats.php?id=49792,http://blocgame.com/stats.php?id=49792,kocksmashistan,http://blocgame.com/rankings.php?page=3
stats.php?id=49295,http://blocgame.com/stats.php?id=49295,Pooland,http://blocgame.com/rankings.php?page=3
stats.php?id=48914,http://blocgame.com/stats.php?id=48914,Khuzestan,http://blocgame.com/rankings.php?page=3
stats.php?id=44479,http://blocgame.com/stats.php?id=44479,deepfriedbutter,http://blocgame.com/rankings.php?page=3
stats.php?id=54220,http://blocgame.com/stats.php?id=54220,Hashashin,http://blocgame.com/rankings.php?page=3
stats.php?id=49652,http://blocgame.com/stats.php?id=49652,nation name,http://blocgame.com/rankings.php?page=3
stats.php?id=40311,http://blocgame.com/stats.php?id=40311,Pheonix,http://blocgame.com/rankings.php?page=3
stats.php?id=52362,http://blocgame.com/stats.php?id=52362,Skhimm,http://blocgame.com/rankings.php?page=3
stats.php?id=52484,http://blocgame.com/stats.php?id=52484,Al-Petralia,http://blocgame.com/rankings.php?page=3
stats.php?id=40579,http://blocgame.com/stats.php?id=40579,Argenwhite,http://blocgame.com/rankings.php?page=3
stats.php?id=46908,http://blocgame.com/stats.php?id=46908,Kajima,http://blocgame.com/rankings.php?page=3
stats.php?id=54760,http://blocgame.com/stats.php?id=54760,Deponia,http://blocgame.com/rankings.php?page=3
stats.php?id=52349,http://blocgame.com/stats.php?id=52349,Kalayaan,http://blocgame.com/rankings.php?page=3
stats.php?id=44539,http://blocgame.com/stats.php?id=44539,QonoS,http://blocgame.com/rankings.php?page=4
stats.php?id=7511,http://blocgame.com/stats.php?id=7511,Celtic Nations,http://blocgame.com/rankings.php?page=4
stats.php?id=2570,http://blocgame.com/stats.php?id=2570,Crimea,http://blocgame.com/rankings.php?page=4
stats.php?id=52889,http://blocgame.com/stats.php?id=52889,OnlyJuanOvue,http://blocgame.com/rankings.php?page=4
stats.php?id=49465,http://blocgame.com/stats.php?id=49465,bro dude,http://blocgame.com/rankings.php?page=4
stats.php?id=43351,http://blocgame.com/stats.php?id=43351,Greekrules,http://blocgame.com/rankings.php?page=4
stats.php?id=44384,http://blocgame.com/stats.php?id=44384,Skanonia,http://blocgame.com/rankings.php?page=4
stats.php?id=50839,http://blocgame.com/stats.php?id=50839,Genowia,http://blocgame.com/rankings.php?page=4
stats.php?id=52275,http://blocgame.com/stats.php?id=52275,Scavia,http://blocgame.com/rankings.php?page=4
stats.php?id=49556,http://blocgame.com/stats.php?id=49556,Iranzamin,http://blocgame.com/rankings.php?page=4
stats.php?id=39037,http://blocgame.com/stats.php?id=39037,Vizio,http://blocgame.com/rankings.php?page=4
stats.php?id=54825,http://blocgame.com/stats.php?id=54825,Peach,http://blocgame.com/rankings.php?page=4
stats.php?id=55305,http://blocgame.com/stats.php?id=55305,Kardazar,http://blocgame.com/rankings.php?page=4
stats.php?id=228,http://blocgame.com/stats.php?id=228,South Park,http://blocgame.com/rankings.php?page=4
stats.php?id=51725,http://blocgame.com/stats.php?id=51725,Almania,http://blocgame.com/rankings.php?page=4
stats.php?id=40242,http://blocgame.com/stats.php?id=40242,Robots,http://blocgame.com/rankings.php?page=5
stats.php?id=52844,http://blocgame.com/stats.php?id=52844,See Aye Eh,http://blocgame.com/rankings.php?page=5
stats.php?id=39065,http://blocgame.com/stats.php?id=39065,Krakozhia,http://blocgame.com/rankings.php?page=5
stats.php?id=45936,http://blocgame.com/stats.php?id=45936,Casa del Nolano,http://blocgame.com/rankings.php?page=5
stats.php?id=58369,http://blocgame.com/stats.php?id=58369,Markovia,http://blocgame.com/rankings.php?page=5
stats.php?id=52368,http://blocgame.com/stats.php?id=52368,TheDesertFox,http://blocgame.com/rankings.php?page=5
stats.php?id=41247,http://blocgame.com/stats.php?id=41247,Bourbon Island,http://blocgame.com/rankings.php?page=5
