leader_link/_source,leader_link,leader_link/_text
stats.php?id=51354,http://blocgame.com/stats.php?id=51354,Olympia
stats.php?id=40270,http://blocgame.com/stats.php?id=40270,Minmaxia
stats.php?id=40233,http://blocgame.com/stats.php?id=40233,Africanistan
stats.php?id=52852,http://blocgame.com/stats.php?id=52852,Best Syria
stats.php?id=53068,http://blocgame.com/stats.php?id=53068,Morjei
stats.php?id=44384,http://blocgame.com/stats.php?id=44384,Skanonia
stats.php?id=47349,http://blocgame.com/stats.php?id=47349,Cubania
stats.php?id=53451,http://blocgame.com/stats.php?id=53451,Yulai
stats.php?id=40078,http://blocgame.com/stats.php?id=40078,Zanzabarland
stats.php?id=53011,http://blocgame.com/stats.php?id=53011,LOCAI
stats.php?id=40289,http://blocgame.com/stats.php?id=40289,Coccoladia
stats.php?id=45604,http://blocgame.com/stats.php?id=45604,Gertralia
stats.php?id=53442,http://blocgame.com/stats.php?id=53442,Briggs
stats.php?id=47662,http://blocgame.com/stats.php?id=47662,Kennethland
stats.php?id=49204,http://blocgame.com/stats.php?id=49204,German Reich
